LinkID,HomeID,Type,Front_QFF_ID,Front_OC,Front_EC,Backup_QFF_ID,Backup_OC,Backup_EC,Actual_OC,Actual_OM,Actual_EC,percent_adsorbed_OC_in_front_QFF,comments,datestarted,dateended,Actual_OC_flag,Actual_EC_flag
TX014220,TX214,OUTDOOR,30348,6.30014,0.951653,30342,1.45346,0.0430468,4.84668,6.78535,0.908606,23.0703,"","2000-01-31 00:00:00","2000-02-04 00:00:00",,
TX015210,TX215,INDOOR,30347,5.65811,0.335059,30345,3.0699,0,2.58821,3.62349,0.335059,54.2567,"","2000-01-31 00:00:00","2000-02-04 00:00:00",,
TX015220,TX215,OUTDOOR,30349,6.34997,0.671043,30341,1.68369,0.0419849,4.66627,6.53278,0.629058,26.515,"","2000-01-31 00:00:00","2000-02-04 00:00:00",,
TX018210,TX218,INDOOR,30531,22.4249,0.513308,30529,2.68727,0.0228591,19.7376,27.6326,0.490449,11.9834,"","2000-03-10 00:00:00","2000-03-12 00:00:00",,
TX018220,TX218,OUTDOOR,30532,5.35981,0.530533,30530,2.12796,0.0251558,3.23185,4.52458,0.505377,39.7022,"","2000-03-10 00:00:00","2000-03-12 00:00:00",,
TX021210,TX221,INDOOR,30928,6.19521,0.4791,NULL,3.11446,0.065,3.08075,4.31305,0.4141,50.2721,"bkup OC was estimated from existing data","2000-06-26 00:00:00","2000-06-28 00:00:00",,
TX021220,TX221,OUTDOOR,30924,3.36369,0.795958,NULL,1.87731,0.065,1.48638,2.08093,0.730958,55.811,"bkup OC was estimated from existing data","2000-06-26 00:00:00","2000-06-28 00:00:00",,
TX026210,TX226,INDOOR,30935,4.36714,0.25897,30941,2.96691,0.0238799,1.40024,1.96033,0.23509,67.937,"","2000-07-05 00:00:00","2000-07-07 00:00:00",,
TX026220,TX226,OUTDOOR,30936,3.56685,0.565275,30940,2.12929,0.024544,1.43755,2.01257,0.540731,59.6968,"","2000-07-05 00:00:00","2000-07-07 00:00:00",,
TX029210,TX229,INDOOR,30972,5.8229,0.19793,30969,3.6937,0.0236568,2.12919,2.98087,0.174273,63.4341,"","2000-07-26 00:00:00","2000-07-28 00:00:00",,
TX029220,TX229,OUTDOOR,30971,3.09292,0.335173,30970,2.69867,0.00388958,0.394248,0.551947,0.331284,87.2532,"","2000-07-26 00:00:00","2000-07-28 00:00:00",,
TX031210,TX231,INDOOR,30966,10.6689,0.188394,30964,4.05839,0.0143031,6.6105,9.25469,0.174091,38.0395,"","2000-07-24 00:00:00","2000-07-26 00:00:00",,
TX031220,TX231,OUTDOOR,31069,4.46259,0.539261,30961,4.4218,0.0758904,0.0407885,0.0571039,0.46337,99.086,"","2000-07-24 00:00:00","2000-07-26 00:00:00",<DL,
TX032210,TX232,INDOOR,30978,6.64602,0.820118,30975,2.65296,0,3.99306,5.59028,0.820118,39.918,"","2000-07-31 00:00:00","2000-08-02 00:00:00",,
TX032220,TX232,OUTDOOR,30976,4.65369,1.40709,30977,2.7124,0.00135588,1.94129,2.7178,1.40573,58.285,"","2000-07-31 00:00:00","2000-08-02 00:00:00",,
TX033210,TX233,INDOOR,31223,4.54983,0.300265,31242,1.32181,0.0248005,3.22801,4.51922,0.275464,29.0519,"","2000-11-07 00:00:00","2000-11-09 00:00:00",,
TX033220,TX233,OUTDOOR,31222,2.63734,0.46355,31225,1.11311,0.0253524,1.52423,2.13393,0.438198,42.2056,NULL,"2000-11-07 00:00:00","2000-11-09 00:00:00",,
TX043210,TX243,INDOOR,30979,6.24661,0.609455,30983,4.28894,0,1.95767,2.74074,0.609455,68.6603,NULL,"2000-08-02 00:00:00","2000-08-04 00:00:00",,
TX043220,TX243,OUTDOOR,30990,2.82225,0.832534,30986,1.0131,0.0974551,1.80915,2.5328,0.735079,35.8969,NULL,"2000-08-02 00:00:00","2000-08-04 00:00:00",,
TX044210,TX244,INDOOR,31275,11.9105,0.339523,31281,3.83175,0.00473533,8.07879,11.3103,0.334788,32.1711,NULL,"2000-09-19 00:00:00","2000-09-21 00:00:00",,
TX044220,TX244,OUTDOOR,31273,2.62255,0.495688,31279,2.19904,0.0438387,0.423512,0.592916,0.45185,83.8511,NULL,"2000-09-19 00:00:00","2000-09-21 00:00:00",,
TX049210,TX249,INDOOR,31036,11.4771,0.525337,31040,4.47769,0.146968,6.99939,9.79914,0.378369,39.0142,NULL,"2000-08-16 00:00:00","2000-08-18 00:00:00",,
TX049220,TX249,OUTDOOR,31035,6.22749,1.197,31038,2.46221,0.0552855,3.76528,5.2714,1.14171,39.5377,NULL,"2000-08-16 00:00:00","2000-08-18 00:00:00",,
TX050210,TX250,INDOOR,31043,5.82266,0.280577,31048,3.61384,0.0303178,2.20882,3.09235,0.250259,62.0651,NULL,"2000-08-21 00:00:00","2000-08-23 00:00:00",,
TX050220,TX250,OUTDOOR,31044,20.7418,0.556624,31047,2.49072,0.0303644,18.2511,25.5515,0.526259,12.0082,NULL,"2000-08-21 00:00:00","2000-08-23 00:00:00",,
TX051210,TX251,INDOOR,31042,6.14035,0.359814,31061,3.49944,0.0222598,2.64091,3.69727,0.337555,56.9909,NULL,"2000-08-21 00:00:00","2000-08-23 00:00:00",,
TX051220,TX251,OUTDOOR,31041,3.96107,0.669829,31049,2.65654,0.0111614,1.30453,1.82634,0.658668,67.0662,NULL,"2000-08-21 00:00:00","2000-08-23 00:00:00",,
TX052210,TX252,INDOOR,31270,13.6967,0.856998,31229,3.50404,0.0517413,10.1927,14.2698,0.805256,25.583,NULL,"2000-10-17 00:00:00","2000-10-19 00:00:00",,
TX052220,TX252,OUTDOOR,31272,6.63961,0.872485,31284,1.99138,0.0513269,4.64823,6.50752,0.821158,29.9924,NULL,"2000-10-17 00:00:00","2000-10-19 00:00:00",,
TX053210,TX253,INDOOR,31294,27.9341,0.760551,31227,3.84891,0.0553814,24.0852,33.7193,0.70517,13.7785,NULL,"2000-11-02 00:00:00","2000-11-04 00:00:00",,
TX053220,TX253,OUTDOOR,31224,2.48966,0.799878,31226,1.64458,0.0789015,0.845073,1.1831,0.720977,66.0566,NULL,"2000-11-02 00:00:00","2000-11-04 00:00:00",,
TX054210,TX254,INDOOR,31409,18.7335,1.02621,31406,3.4712,0.0313468,15.2623,21.3672,0.994863,18.5294,NULL,"2000-11-14 00:00:00","2000-11-16 00:00:00",,
TX054220,TX254,OUTDOOR,31408,5.75376,0.868277,31407,1.21043,0.0449415,4.54334,6.36067,0.823336,21.0371,"","2000-11-14 00:00:00","2000-11-16 00:00:00",,
TX059210,TX259,INDOOR,31292,9.05339,0.571306,31241,4.68235,0.0344468,4.37103,6.11945,0.536859,51.7194,"","2000-10-03 00:00:00","2000-10-05 00:00:00",,
TX059220,TX259,OUTDOOR,31293,3.47488,0.842696,31287,3.16367,0.0170278,0.311208,0.43569,0.825668,91.0441,"","2000-10-03 00:00:00","2000-10-05 00:00:00",,
TX063210,TX263,INDOOR,31056,15.7292,0.299497,NULL,3.41064,0.065,12.3185,17.2459,0.234497,21.6836,"bkup OC was estimated from existing data","2000-08-23 00:00:00","2000-08-25 00:00:00",,
TX063220,TX263,OUTDOOR,31060,3.07885,0.6461,NULL,1.8353,0.065,1.24355,1.74098,0.5811,59.6098,"bkup OC was estimated from existing data","2000-08-23 00:00:00","2000-08-25 00:00:00",,
TX072210,TX272,INDOOR,31234,8.07946,0.830635,31233,3.61074,0.327514,4.46871,6.2562,0.503121,44.6904,"","2000-09-12 00:00:00","2000-09-14 00:00:00",,
TX072220,TX272,OUTDOOR,31235,5.0858,1.04059,31230,2.8322,0.0320993,2.2536,3.15503,1.00849,55.6885,"","2000-09-12 00:00:00","2000-09-14 00:00:00",,
TX073210,TX273,INDOOR,31246,7.27831,0.486587,31250,4.32887,0.0419512,2.94945,4.12922,0.444636,59.4762,"","2000-08-30 00:00:00","2000-09-01 00:00:00",,
TX073220,TX273,OUTDOOR,31247,6.72807,1.12989,31251,5.01825,0.0394344,1.70981,2.39374,1.09046,74.5869,"","2000-08-30 00:00:00","2000-09-01 00:00:00",,
TX074210,TX274,INDOOR,31252,7.35688,1.00467,31245,4.13328,0.0118031,3.22361,4.51305,0.992869,56.1824,"","2000-08-30 00:00:00","2000-09-01 00:00:00",,
TX074220,TX274,OUTDOOR,31248,7.09393,1.0675,31249,5.04453,0.0451405,2.0494,2.86916,1.02236,71.1105,"","2000-08-30 00:00:00","2000-09-01 00:00:00",,
