LinkID,SampleID,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Arsenic,Se,Br,Rb,Sr,Y,Zr,Mo,Pd,Ag,Cd,Indium,Sn,Sb,Ba,La,Hg,Pb,datestarted,dateended,Al_flag,Si_flag,P_flag,S_flag,Cl_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Ge_flag,Arsenic_flag,Se_flag,Br_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Mo_flag,Pd_flag,Ag_flag,Cd_flag,Indium_flag,Sn_flag,Sb_flag,Ba_flag,La_flag,Hg_flag,Pb_flag
CA022220,10585,0.0247201,0.235294,0,1.68498,0.0101736,0.11949,0.117931,0.0148512,0.0053331,0.00037562,0.00362509,0.225408,0,0.00191708,0.00418497,0.0146634,0.000163005,0,0.000141743,0.000935507,0.00781006,0.000233877,0.00257264,0.000258682,0.000655563,0.000630758,0.000655563,7.08717e-05,0,0,0.00374203,0.00271439,0.0332105,0.000141743,0,0.00416371,"2000-05-31 00:00:00","2000-06-02 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,,,<DL,ND,<DL,,,<DL,,<DL,,<DL,<DL,<DL,ND,ND,<DL,<DL,,<DL,ND,
CA046120,10588,0.000394089,0.0692118,0,1.19177,0.0266819,0.0324208,0.0412738,0.00856791,0.00348346,0.00157987,0.00304363,0.108093,0,0.00239268,0.0025088,0.025475,0,0,0.000812808,0.00123153,0.00520056,0.000140746,0.000510204,0,0.000323716,0,0.000348346,0.000953554,0.000161858,0.00246305,0.0159536,0,0.0174631,0,0,0.00399367,"2000-05-24 00:00:00","2000-05-26 00:00:00",<DL,,ND,,,,,,,,,,ND,,<DL,,ND,ND,,,,<DL,,ND,<DL,ND,<DL,<DL,<DL,,,ND,<DL,ND,ND,
CA046110,10589,0.0191354,0.106215,0,1.02396,0.0342847,0.0355556,0.0883333,0.0115486,0.00290972,0.00160417,0.00192361,0.0702778,0,0.00208681,0.00877778,0.0176215,0,0,0.000204861,0.000458333,0.00378125,0,0.00112153,2.43056e-05,0.00114583,6.94444e-05,0,0.000319444,0,0,0.00999306,4.51389e-05,0.00811111,0,0,0.00366667,"2000-05-24 00:00:00","2000-05-26 00:00:00",,,ND,,,,,,,,,,ND,,,,ND,ND,<DL,,,ND,,<DL,,<DL,ND,<DL,ND,ND,,<DL,<DL,ND,ND,
CA043110,10591,0.0159,0.0597,0,0.4591,0.0228,0.0434,0.0548,0.0049,0.0034,0.0005,0.0014,0.0665,0,0.0008,0.0069,0.0087,0,0,0,0.0006,0.0028,0,0.0012,0.0003,0.0007,0.0003,0.0012,0,0.0004,0,0.0023,0,0.009,0,0,0.0026,"2000-05-16 00:00:00","2000-05-18 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,,,ND,ND,ND,,,ND,,<DL,,<DL,<DL,ND,<DL,ND,<DL,ND,<DL,ND,ND,
CA043120,10592,0.02,0.0888,0,0.6134,0.0104,0.0608,0.0715,0.0066,0.0039,0.0004,0.0019,0.1262,0,0.0009,0.0052,0.0124,0,0.0001,0.0013,0.0012,0.0026,0,0.0017,0,0.0001,0.0001,0,0,0.0007,0.0011,0.0027,0.0041,0.0225,0,0.0001,0.0023,"2000-05-16 00:00:00","2000-05-18 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,,,ND,<DL,,,,ND,,ND,<DL,<DL,ND,ND,<DL,<DL,<DL,,,ND,<DL,
TX054110,10599,0.0160122,0.0798842,0,0.376819,0.00659698,0.0271543,0.0411075,0.00349626,0.00291355,0.000324905,0.000723973,0.0275745,0,0.0010736,0.000141263,0.00272638,0.000466168,7.06315e-05,0.000374347,0.000278994,0.000607431,0,0.000374347,0.000441447,0,0.000233084,0.000840515,0.00109479,0,0.000536799,0.00218958,0.00156096,0.00650163,0.00179404,0.000162452,0.000699252,"2000-05-01 00:00:00","2000-05-03 00:00:00",,,ND,,<DL,,,,,,<DL,,ND,<DL,<DL,,<DL,<DL,<DL,<DL,,ND,,,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,<DL,<DL,<DL
TX058110,10602,0.0124294,0.0514866,0,0.525578,0.0315623,0.0849011,0.0657577,0.00243957,0.00421914,0.000501044,0.000708373,0.0173327,0,0.00114031,0.00177957,0.0207536,0,4.49212e-05,0.00177957,0,0.0023048,0.000297171,0.000158952,0,0.0011645,0.000387013,0.000228062,0.00202836,0,0,0.000317904,0.0011645,0.0120182,0.00269182,0,0.000594342,"2000-05-10 00:00:00","2000-05-12 00:00:00",,,ND,,,,,,,,<DL,,ND,<DL,<DL,,ND,<DL,,ND,,<DL,<DL,ND,,<DL,<DL,<DL,ND,ND,<DL,<DL,<DL,<DL,ND,<DL
TX057120,10605,0.0170217,0.131642,0,1.31185,0.0150178,0.127295,0.0991486,0.0047237,0.00867264,0.000346513,0.00811365,0.0853861,0,0.00379857,0.00157566,0.00610648,0,0,0.000192871,0.000173257,0.00614898,8.49939e-05,0.00045439,0,0.000107877,0.000496887,0.00013076,0.00110165,0,0,0.00263154,0.00110165,0.0118011,0.00418431,0,0.0032788,"2000-05-08 00:00:00","2000-05-10 00:00:00",,,ND,,<DL,,,,,,,,ND,,<DL,,ND,ND,<DL,<DL,,<DL,,ND,<DL,<DL,<DL,<DL,ND,ND,<DL,<DL,<DL,<DL,ND,
TX056110,10606,0.0263553,0.147321,0,1.06211,0.0859405,0.134339,0.0988468,0.00480948,0.0071402,0.000277105,0.00233072,0.0596345,0,0.00212953,0.00222823,0.0231743,0,0,0.00107805,0.0003758,0.00430841,0.000250533,0.000800947,0.000223962,0.000201186,0.000474495,0.000903438,0.00170439,0,0,0.00350747,0.00170439,0.0125267,0,0,0.00245599,"2000-05-08 00:00:00","2000-05-10 00:00:00",,,ND,,,,,,,<DL,,,ND,,<DL,,ND,ND,,,,<DL,,<DL,<DL,<DL,<DL,<DL,ND,ND,<DL,<DL,<DL,ND,ND,
TX057110,10608,0.0465152,0.227883,0,0.606325,0.051549,0.0701702,0.118616,0.00384536,0.00317166,7.5696e-05,0.00344795,0.0353955,0,0.00172209,0.00152527,0.00826979,0.000325493,0,2.64936e-05,4.92024e-05,0.00337226,0,0.000223303,7.5696e-05,0.00124898,0.000124898,0.000900783,0.00119978,0.000847795,0.000700188,0.00292187,0,0.01414,0,0,0.00184698,"2000-05-08 00:00:00","2000-05-10 00:00:00",,,ND,,,,,,,<DL,,,ND,<DL,<DL,,<DL,ND,<DL,<DL,,ND,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,ND,ND,
TX056120,10609,0.0391348,0.143545,0,1.38263,0.0059424,0.200993,0.101104,0.00484055,0.0100307,0.000349553,0.00303579,0.0653132,0,0.00310798,0.00120444,0.00739761,0.000402746,0,0.00117784,0.000653512,0.00471517,0,9.87868e-05,0,0,0.000577523,0.000452139,0,0.000702906,0.000927076,0.00458978,0.000851086,0,0,0,0.00260645,"2000-05-08 00:00:00","2000-05-10 00:00:00",,,ND,,<DL,,,,,,,,ND,,<DL,,<DL,ND,,,,ND,<DL,ND,ND,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,ND,ND,
TX059110,10610,0.00461927,0.0779844,0,0.845469,0.122208,0.111818,0.0877188,0.00365677,0.00514792,0.000313542,0.000816667,0.0265162,0,0.0019724,0.00093698,0.00382448,0.000386459,0.000240625,0.000386459,0.000408334,0.00370417,0.000193229,0.000408334,4.73959e-05,0.000408334,0.000696355,0.00103542,0.000167708,0,0,0.00372969,0.00151667,0.0212224,0.00818126,0.000193229,0.00161146,"2000-05-10 00:00:00","2000-05-12 00:00:00",,,ND,,,,,,,,,,ND,<DL,<DL,,<DL,<DL,<DL,,,<DL,,<DL,<DL,<DL,<DL,<DL,ND,ND,<DL,<DL,,<DL,<DL,
TX058120,10611,0.0184168,0.0743706,0,1.26827,0.00247142,0.189085,0.117743,0.00124711,0.00992802,0.000794502,0.00180391,0.036241,0.000345153,0.0121845,0.000602389,0.00451303,0,0.000214906,0,0.000537266,0.00590992,8.46601e-05,0.00118199,0.000237699,0,0.000107453,0,0.000752172,0,0,0.00234118,0,0.0167204,0.000107453,0.000237699,0.00242909,"2000-05-10 00:00:00","2000-05-12 00:00:00",,,ND,,<DL,,,,,,,,,,<DL,,ND,<DL,ND,,,<DL,,<DL,ND,<DL,ND,<DL,ND,ND,<DL,ND,<DL,<DL,<DL,
TX059120,10612,0,0.0876735,0,1.44833,0.0457348,0.182282,0.123736,0.00356607,0.0092747,0.000313902,0.00144541,0.0415737,0,0.00284337,0.000602253,0.00474503,0.000386902,4.74503e-05,0.000193451,0.000335802,0.00638389,0.000386902,0.000890605,9.49005e-05,4.74503e-05,0.000576703,0,0,0,0,0.00392742,0.00202211,0.0130817,0,0.000120451,0.00204766,"2000-05-10 00:00:00","2000-05-12 00:00:00",ND,,ND,,,,,,,,,,ND,,<DL,,<DL,<DL,<DL,,,,,<DL,<DL,<DL,ND,ND,ND,ND,<DL,<DL,<DL,ND,<DL,
CA024210,10613,0.0316007,0.222014,0,0.747569,0.00710417,0.086875,0.104028,0.0103125,0.00396528,9.02778e-05,0.00203819,0.154931,0,0.00114583,0.00419444,0.00898264,0.000229167,0,0.000458333,0.000618056,0.00485764,0.000229167,0.00121528,4.51389e-05,0.000114583,0.000159722,0,0.000847222,0,0,0.004125,0,0.0280729,0,0,0.00210764,"2000-06-05 00:00:00","2000-06-07 00:00:00",,,ND,,<DL,,,,,<DL,,,ND,<DL,,,<DL,ND,,,,<DL,,<DL,<DL,<DL,ND,<DL,ND,ND,<DL,ND,,ND,ND,
CA024220,10614,0.0541374,0.282083,0,0.819074,0.00701262,0.105189,0.1277,0.0131206,0.00462833,0,0.00261571,0.206802,0,0.00104137,0.00439691,0.0110168,0,0,0.00016129,0.000834502,0.00647966,0.000301543,0.00131837,0,0.000809958,0.00069425,0,0,0.000417251,0,0.00451262,0.000322581,0.0442847,0.00134292,0,0.00293829,"2000-06-05 00:00:00","2000-06-07 00:00:00",,,ND,,<DL,,,,,ND,,,ND,<DL,,,ND,ND,<DL,,,,,ND,,<DL,ND,ND,<DL,ND,<DL,<DL,,<DL,ND,
CA048120,10617,0.0104981,0.123738,0,1.14669,0.0370663,0.0955685,0.100069,0.0187496,0.00866025,0.000996221,0.00324287,0.13473,0,0.00355891,0.00387839,0.0204741,0,0.000113363,0.000316043,0.0013844,0.00421848,0.000340089,0.00267606,0,0.000793542,0.000656132,0,0.0013157,0.00158708,0.000182068,0.00448987,0.00600825,0.0241704,0.00419444,0,0.00448987,"2000-06-12 00:00:00","2000-06-14 00:00:00",,,ND,,,,,,,,,,ND,,<DL,,ND,<DL,<DL,,,,,ND,,<DL,ND,<DL,<DL,<DL,<DL,,,<DL,ND,
CA048110,10618,0.000474403,0.0888737,0,1.21775,0.0211297,0.0857338,0.0742321,0.0170307,0.00986689,0.00108191,0.00274744,0.103038,0,0.00312969,0.00376109,0.0450512,0.000112628,0.000112628,0.000744027,0.0012628,0.00479863,0,0.00267918,0,6.82594e-05,0.00101365,0.000136519,0.00115017,0.000406143,0,0.0043686,0.00813311,0.0149113,0,0.000201365,0.0035802,"2000-06-12 00:00:00","2000-06-14 00:00:00",<DL,,ND,,<DL,,,,,,,,ND,,<DL,,<DL,<DL,,,,ND,,ND,<DL,,<DL,<DL,<DL,ND,<DL,,<DL,ND,<DL,
