LinkID,HomeID,PufID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
NJ090220,NJ290,41286,"2001-01-03 00:00:00",NJ,OUTDOOR,"2001-09-22 00:00:00","2002-03-12 00:00:00",27.9589,LBP09221,NULL,NULL,NULL,NULL,NULL,0.714207,13.7427,1.11066,0.308349,1.447,0.874496,0.0422761,0.744907,0.375016,0.00985877,1.65224,1.40964,0.100599,0.0658821,0.0482251,0.0007864,0.00050595,0.0003772,0.0009784,0.169524,0.00093085,0.0115432,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0025365,0.0291348,0.0154553,0.00162961,0.0083655,0.0006713,0.827513,0.778961,0.868275,0.747935,"",,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,<DL,,,,,
NJ092210,NJ292,41267,"2001-01-16 00:00:00",NJ,INDOOR,"2001-09-22 00:00:00","2002-04-06 00:00:00",27.2932,LBP09221,NULL,NULL,NULL,NULL,NULL,1.78111,19.2034,0.960468,0.412214,2.56337,1.00726,0.0896321,0.809634,0.542533,0.0032949,3.31525,3.56849,0.324773,1.00839,0.0458339,0.00229596,0.0278851,0.0666596,0.00309409,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0182801,0.177745,0.0446322,0.00642473,0.0110018,0.0023186,1.19692,0.92931,0.756248,0.606069,"",,,,,,,,,,<DL,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
NJ092220,NJ292,41268,"2001-01-16 00:00:00",NJ,OUTDOOR,"2001-09-22 00:00:00","2002-04-06 00:00:00",29.1353,LBP09220,NULL,NULL,NULL,NULL,NULL,0.622235,10.3701,0.697678,0.302551,1.24892,0.801293,0.00378125,0.520897,0.420893,0.00713781,1.52829,1.58917,0.0398143,0.0815827,0.0303497,0.0007864,0.00227312,0.00425196,0.00218687,0.00662295,0.00417566,0.00446702,0.00280996,0.00366915,0.00396352,0.00283963,0.00636568,0.0260791,0.0117885,0.00330863,0.00312788,0.00276654,0.0035046,0.899428,0.818181,0.835048,0.825961,"",,,,,,,,,,,,,,,,<DL,,,,<DL,,,,,,,,,,,,,,,,,,
NJ094110,NJ194,41228,"2000-10-31 00:00:00",NJ,INDOOR,"2001-08-03 00:00:00","2001-09-05 00:00:00",27.4225,LBP08031,NULL,NULL,NULL,NULL,NULL,2.24695,21.7902,0.585602,0.0400781,2.35874,1.54091,0.0954154,0.80654,0.430693,0.100915,1.55667,1.66426,0.0381653,0.543894,0.0130099,0.0164974,0.0110628,0.0180781,0.13567,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0473298,5.17428,3.44054,0.589036,2.16293,0.260551,0.949424,0.720259,0.8865,0.936755,"",,,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
NJ094120,NJ194,41229,"2000-10-31 00:00:00",NJ,OUTDOOR,"2001-08-03 00:00:00","2001-09-05 00:00:00",27.0069,LBP08031,NULL,NULL,NULL,NULL,NULL,0.71327,10.4778,0.598009,0.100539,0.743452,0.72413,0.00823229,0.59847,0.226496,0.0100656,1.62739,1.07565,0.0316786,0.0601641,0.0154167,0.0007864,0.00050595,0.0003772,0.0009784,0.0363519,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0025365,0.0632481,0.0450829,0.00771386,0.0204565,0.00256984,0.909128,0.913111,0.944391,0.946614,"",,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,
NJ094210,NJ294,41295,"2001-02-13 00:00:00",NJ,INDOOR,"2001-12-03 00:00:00","2002-04-06 00:00:00",28.9933,LBP12031,NULL,NULL,NULL,NULL,NULL,1.4115,16.3002,0.779417,0.296199,2.92704,1.04713,0.0913516,0.646494,0.770991,0.0032949,2.07712,2.89769,0.258677,0.71058,0.0250452,0.00343619,0.00557458,0.0788559,0.0928162,0.00662295,0.00344379,0.00381865,0.00251388,0.00326796,0.00386662,0.00221629,0.00603256,0.0227233,5.05923,3.3127,0.537631,2.11484,0.208557,0.975165,0.892257,0.768378,0.664821,"",,,,,,,,,,<DL,,,,,,,,,,<DL,,,,,,,,,,,,,,,,,,
NJ094220,NJ294,41296,"2001-02-13 00:00:00",NJ,OUTDOOR,"2001-12-03 00:00:00","2002-04-06 00:00:00",29.9948,LBP12031,NULL,NULL,NULL,NULL,NULL,1.12345,19.156,1.57784,0.533159,1.82708,1.22136,0.00467028,0.887645,0.582456,0.00910656,2.83211,2.7113,0.220116,0.153381,0.191326,0.00359178,0.0174005,0.00542473,0.00279005,0.00662295,0.00652015,0.0069751,0.00438766,0.00572924,0.0061889,0.00443399,0.00993979,0.0332723,0.00376001,0.00422122,0.00399061,0.0141184,0.00447124,1.09753,0.973747,0.903647,0.837842,"",,,,,,,,,,,,,,,,,,,,<DL,,,,,,,,,,,,,,,,,,
NJ097110,NJ197,41235,"2000-11-07 00:00:00",NJ,INDOOR,"2001-08-03 00:00:00","2001-09-05 00:00:00",29.2879,LBP08031,NULL,NULL,NULL,NULL,NULL,3.4838,27.2818,1.31358,0.826895,4.75626,3.85189,0.197437,1.3596,1.34196,0.0981604,NULL,2.93604,0.103853,1.09008,0.030406,0.0114527,0.116365,0.0507354,0.157376,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0548321,1.93444,1.43449,0.199226,0.684729,0.0824089,1.05315,0.895236,0.899676,1.00315,"",,,,,,,,,,,NA,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
NJ097120,NJ197,41236,"2000-11-07 00:00:00",NJ,OUTDOOR,"2001-08-03 00:00:00","2002-04-06 00:00:00",29.7941,LBP08031,NULL,NULL,NULL,NULL,NULL,2.2134,39.2111,3.60134,1.63017,6.09244,2.59392,0.161251,2.19047,1.86607,0.0032949,5.44855,5.86465,0.430233,0.279741,0.273479,0.0007864,0.00536472,0.00428294,0.00208936,0.00662295,0.00391414,0.0049379,0.00251972,0.00382829,0.00424329,0.00255537,0.00630748,0.0246883,0.0259339,0.0180835,0.00578463,0.00841983,0.0031314,0.674496,0.85213,0.751487,0.545297,"",,,,,,,,,,<DL,,,,,,<DL,,,,<DL,,,,,,,,,,,,,,,,,,
NJ099110,NJ199,41310,"2000-12-05 00:00:00",NJ,INDOOR,"2001-08-07 00:00:00","2001-11-29 00:00:00",27.0358,LBP08071,NULL,NULL,NULL,NULL,NULL,0.0516298,20.1727,0.860743,2.93206,1.71223,1.39627,0.161256,1.00116,0.374981,0.113563,3.27741,2.85705,0.109967,0.667411,0.0160646,0.00891244,0.0220857,0.0298299,0.13653,0.015854,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.00825412,0.335159,0.234911,0.0465518,0.142239,0.0184419,0.943424,0.969649,1.00341,0.976386,"",,,,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
