LinkID,HomeID,studytime,home,school_work,other_indoor,neighbor,out_far,car_open,car_clos
CA015230,NULL,3675,2730,0,0,180,0,0,0
CA016230,NULL,3675,2910,0,0,0,0,0,0
CA017230,NULL,3675,1875,195,345,127.5,7.5,300,90
CA018230,NULL,3675,1657.5,855,225,30,15,127.5,45
CA019230,NULL,3675,2220,0,105,480,0,90,45
CA020230,NULL,3675,2535,75,105,0,0,45,90
CA022230,NULL,3675,2880,0,0,0,0,0,0
CA023230,NULL,3675,2520,0,0,0,180,270,0
CA024230,NULL,3675,1530,1335,0,0,15,30,90
CA025230,NULL,3675,2790,0,0,120,0,0,0
CA027230,NULL,3675,2175,0,345,0,150,0,270
CA029230,NULL,3675,2865,225,0,0,0,0,30
CA030230,NULL,3675,2250,300,0,150,0,30,30
CA032230,NULL,3675,2730,0,0,150,0,0,0
CA033230,NULL,3675,2010,0,435,240,0,0,195
CA034230,NULL,3675,2325,75,105,0,315,0,120
CA035230,NULL,3675,1710,1140,0,0,0,30,30
CA036230,NULL,3675,1755,870,105,30,0,135,45
CA037230,NULL,3675,2415,0,285,30,0,90,30
CA039230,NULL,3675,2355,0,0,210,0,0,135
CA041230,NULL,3675,2220,30,270,285,0,60,60
CA043230,NULL,3675,2565,0,0,15,180,0,120
CA046230,NULL,3675,1740,0,0,0,1020,30,90
CA047230,NULL,3675,1560,1230,0,0,0,120,0
CA050230,NULL,3675,2355,495,0,0,0,60,180
CA051230,NULL,3675,1380,1365,0,0,0,195,0
CA052230,NULL,3675,1620,1065,0,0,0,0,195
CA055230,NULL,3675,1965,285,0,0,0,0,90
CA058230,NULL,3675,2520,0,165,0,0,135,60
CA059230,NULL,3675,1335,450,705,0,0,0,195
CA060230,NULL,3675,1530,1005,75,0,0,45,225
CA061230,NULL,3675,2610,270,150,0,0,0,330
CA062230,NULL,3675,2460,0,120,150,0,60,60
CA063230,NULL,3675,2310,30,150,75,120,15,135
CA065230,NULL,3675,2490,285,0,0,0,45,60
CA066230,NULL,3675,2820,0,0,30,0,0,30
CA069230,NULL,3675,2010,60,0,0,510,90,240
CA070230,NULL,3675,2265,510,0,0,0,0,60
CA072230,NULL,3675,2535,0,180,0,0,0,180
CA073230,NULL,3675,1770,990,0,0,0,0,120
CA074230,NULL,3675,2895,0,60,0,0,0,45
CA075230,NULL,3675,2280,0,270,30,30,0,270
CA077230,NULL,3675,2160,0,0,60,405,195,0
CA078230,NULL,3675,1995,0,345,420,0,0,60
CA080230,NULL,3675,1770,900,0,0,60,0,180
CA081230,NULL,3675,1500,540,450,0,240,0,180
CA082230,NULL,3675,2340,270,150,45,0,30,135
CA083230,NULL,3675,2325,135,45,165,120,0,150
CA084230,NULL,3675,2175,120,210,180,30,135,0
CA085230,NULL,3675,1380,1455,0,0,0,45,75
CA086230,NULL,3675,2745,0,60,30,0,0,0
CA087230,NULL,3675,1905,780,45,0,45,0,120
CA088230,NULL,3675,1485,795,240,150,105,15,90
CA089230,NULL,3675,2505,0,0,270,0,60,45
CA090230,NULL,3675,1710,990,0,0,0,90,90
CA092230,NULL,3675,1380,1260,0,0,0,60,180
CA093230,NULL,3675,1710,735,15,195,30,30,150
CA094230,NULL,3675,2220,600,0,0,0,60,120
CA095230,NULL,3675,2040,0,570,45,75,0,150
CA096230,NULL,3675,2355,0,150,0,60,195,120
CA098230,NULL,3675,2370,0,0,450,0,0,60
CA099230,NULL,3675,1635,810,60,0,150,60,150
CA101230,NULL,3675,2310,0,240,30,90,0,210
CA102230,NULL,3675,180,0,30,90,0,0,0
CA103230,NULL,3675,1530,1155,0,0,0,0,195
CA104230,NULL,3675,1590,900,90,30,0,270,0
CA105230,NULL,3675,2175,375,90,90,60,60,30
CA106230,NULL,3675,1950,210,360,0,150,0,240
CA060140,NULL,3675,1875,0,165,90,600,30,0
CA065140,NULL,3675,2670,0,45,75,0,30,0
CA021140,NULL,3675,2010,825,0,15,0,0,0
CA022140,NULL,3675,2115,720,0,0,15,0,30
CA026140,NULL,3675,2025,825,0,15,0,15,0
CA031140,NULL,3675,1500,960,30,90,60,150,0
CA051140,NULL,3675,1665,0,0,90,1050,135,0
CA052140,NULL,3675,1665,570,180,375,60,90,0
CA077140,NULL,3675,1950,900,0,0,0,0,60
CA021240,NULL,3675,1935,720,60,120,0,0,15
CA022240,NULL,3675,2235,615,0,0,0,0,30
CA031240,NULL,3675,1575,960,0,75,60,90,0
CA051240,NULL,3675,1770,840,0,225,0,90,15
CA052240,NULL,3675,1815,810,0,285,0,0,0
CA060240,NULL,3675,1995,420,180,210,0,0,75
CA077240,NULL,3675,2310,435,30,0,0,0,15
CA008150,NULL,3675,2685,0,0,180,0,0,0
CA012150,NULL,3675,1485,0,270,0,855,0,240
CA020150,NULL,3675,1890,810,0,0,0,0,180
CA022150,NULL,3675,2055,900,0,0,15,0,30
CA034150,NULL,3675,2760,0,0,45,105,0,30
CA051150,NULL,3675,1515,0,0,240,1050,135,0
CA052150,NULL,3675,1710,570,420,60,60,120,0
CA056150,NULL,3675,2820,0,0,45,0,0,0
CA060150,NULL,3675,1695,0,330,0,690,30,15
CA065150,NULL,3675,2280,360,180,0,0,0,0
CA077150,NULL,3675,1665,450,0,0,660,0,150
CA012250,NULL,3675,2340,0,240,0,90,0,210
CA020250,NULL,3675,1860,870,45,0,0,45,90
CA022250,NULL,3675,1695,840,0,360,15,0,30
CA051250,NULL,3675,1680,765,0,375,0,105,15
CA052250,NULL,3675,1455,840,45,0,450,60,60
CA060250,NULL,3675,2265,330,30,90,90,0,60
