LinkID,HomeID,QFFID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
CA077120,CA087,31171,"2000-10-02 00:00:00",CA,OUTDOOR,"2001-04-06 00:00:00","2001-07-23 00:00:00",28.04,LBF04061,NULL,NULL,NULL,NULL,NULL,0,0.0363896,0.0019497,0.000270353,0.00761423,0.0111021,0.000288525,0.00450488,0.00468321,0.000260032,0.0455547,0.0585144,0.00330721,0.000428192,0.0042099,0.00542529,0.00975642,0.0143133,0.0793163,0.121222,0.0665254,0.0154735,0.000397572,0.0791175,0.00185733,0.109393,0.00805842,NULL,NULL,NULL,NULL,NULL,NULL,0.0437127,0.239064,0.47217,0.837809,NULL,ND,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,<DL,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA077210,CA287,31620,"2001-01-31 00:00:00",CA,INDOOR,"2001-06-06 00:00:00","2001-07-23 00:00:00",27.41,LBF06041,NULL,NULL,NULL,NULL,NULL,0.00433142,0.0904131,0.00953153,0.00434957,0.0238317,0.0208305,0.00282841,0.00711629,0.0150733,0.000208638,0.0811555,0.13252,0.0110249,0.024053,0.00786823,0.00754698,0.110578,0.0895846,0.183274,0.497693,0.303147,0.239619,0.0557125,1.59845,0.0421522,1.7028,2.51305,5.82718e-05,0.0214077,0.0121832,0.0029866,0.0112253,0.00785755,0.454913,0.651116,0.771572,0.888715,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA077220,CA287,31618,"2001-01-31 00:00:00",CA,OUTDOOR,"2001-07-05 00:00:00","2001-07-23 00:00:00",27.08,LBF07051,NULL,NULL,NULL,NULL,NULL,0.00720579,0.179983,0.0173552,0.00724452,0.0326282,0.0271837,0.0017355,0.14369,0.0252901,NULL,0.244016,0.322914,0.0391326,0.0892491,0.0373029,0.0256809,0.325564,0.340497,0.578534,0.823863,0.46415,0.386213,0.070377,2.2054,0.071722,1.79072,4.6842,3.87269e-05,0.0109642,0.00847871,0.0030594,0.00502378,0.00419466,0.72295,0.799529,0.827422,0.883111,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,,,NA,,,,,,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
NJ001110,NJ101,30041,"1999-06-08 00:00:00",NJ,INDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",27.8,LBF01260,0.0115364,0.003973,0.00395621,0.00556102,0.0391634,0.00579799,0.0856647,0.00784254,0.00409058,0.023476,0.0189777,0.0208422,0.00666304,0.014809,0.00249388,0.0840546,0.0796606,0.0112109,0.0123613,0.0040753,0.00612848,0.0209151,0.0259524,0.0807707,0.149118,0.0767534,0.0674264,0.0151533,0.126662,0.0100647,0.140441,0.11919,NULL,NULL,NULL,NULL,NULL,NULL,9.55268,0.804491,0.953048,1.0277,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ001120,NJ101,30042,"1999-06-08 00:00:00",NJ,OUTDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",27.21,LBF01260,0.050508,0.00809383,0.00520087,0.0110741,0.0290113,0.00855932,0.14293,0.0155864,0.00627761,0.0301772,0.0260433,0.0206527,0.01206,0.0215433,NULL,0.226599,0.197326,0.0285831,0.0133764,0.0132465,0.0226443,0.0480043,0.080812,0.240971,0.306102,0.14139,0.128335,0.0238735,0.188664,0.0180498,0.196908,0.124346,NULL,NULL,NULL,NULL,NULL,NULL,0.64335,0.715217,0.852239,0.907379,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,NA,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ002110,NJ102,30047,"1999-06-23 00:00:00",NJ,INDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",27.3,LBF01260,0.0606641,0.00540966,0.00287581,0.0067934,0.0173946,0.00539546,0.0806226,0.00800368,0.00426325,0.0281744,0.0211645,0.0269906,0.00708912,0.016029,0.00638194,0.114973,0.106007,0.0177245,0.0160653,0.00595105,0.0104216,0.0225513,0.0315171,0.102645,0.142027,0.0724864,0.0489075,0.0114263,0.0969878,0.00541195,0.111863,0.0930798,NULL,NULL,NULL,NULL,NULL,NULL,0.386944,0.485708,0.610541,0.699783,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ002120,NJ102,30045,"1999-06-23 00:00:00",NJ,OUTDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",29.54,LBF01260,0.0850961,0.0080186,0.00403119,0.0108936,0.0235043,0.0076196,0.126275,0.013231,0.00593029,0.0277086,0.0237387,0.0119511,0.0108849,0.0169172,NULL,0.201268,0.167888,0.0244476,0.00563264,0.00942717,0.0226495,0.0192049,0.0616549,0.206425,0.215144,0.105966,0.0817642,0.0152319,0.136401,0.0101932,0.148723,0.116846,NULL,NULL,NULL,NULL,NULL,NULL,0.482936,0.522454,0.68819,0.753503,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,NA,,,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ002210,NJ202,30299,"1999-12-13 00:00:00",NJ,INDOOR,"2001-07-26 00:00:00","2001-09-05 00:00:00",28.2172,LBF07261,NULL,NULL,NULL,NULL,NULL,0.00506415,0.148333,0.0271005,0.0648179,0.0487869,0.0429747,0.00245969,0.0163116,0.0307512,0.00771687,0.168816,0.204089,0.0316022,0.0423339,0.0226996,0.0187798,0.397437,0.17361,0.275291,0.792198,0.380379,0.406402,0.081566,0.918638,0.0446694,0.962983,0.934405,0.0111099,0.0379421,0.0177232,0.00323935,0.0072507,0.00309012,0.712429,0.750629,0.850431,0.977081,NULL,<DL,,<DL,,,,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,,,,,,,,,,,<DL,,<DL,<DL,<DL,<DL,,,,,
NJ002220,NJ202,30294,"1999-12-13 00:00:00",NJ,OUTDOOR,"2001-07-26 00:00:00","2001-11-29 00:00:00",28.4029,LBF07261,NULL,NULL,NULL,NULL,NULL,0.0112674,0.311532,0.0338544,0.26801,0.147057,0.132029,0.0056247,0.053209,0.149447,0.00176229,0.70262,1.14856,0.119342,0.0463388,0.065837,0.0528513,0.468228,0.580746,1.0107,1.55255,0.73556,0.721462,0.0749666,2.05777,0.0277967,1.80989,1.60974,9.61601e-05,0.00481995,0.00230652,0.00133511,0.000565766,0.000553685,0.566395,0.63071,0.68695,0.795856,NULL,<DL,,<DL,,,,<DL,,,<DL,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
NJ002221,NJ202,30296,"1999-12-13 00:00:00",NJ,"DUPLICATE OUTDOOR","2001-07-26 00:00:00","2001-09-05 00:00:00",28.3133,LBF07261,NULL,NULL,NULL,NULL,NULL,0.0101725,0.211301,0.0385805,0.192415,0.118353,0.101487,0.00295204,0.0427784,0.123527,0.00114938,0.541927,0.891602,0.133522,0.0448094,0.113661,0.0388055,0.481083,0.458899,0.786825,1.27878,0.652966,0.59168,0.134791,0.0237066,0.0592491,1.34484,1.17255,0.0019414,0.00347005,0.00201149,0.000614921,0.00171639,0.000703706,0.677841,0.756471,0.977472,1.00153,NULL,<DL,,,,,,<DL,,,<DL,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
