LinkID,HomeID,QFFID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
CA033220,CA243,31192,"2000-08-21 00:00:00",CA,OUTDOOR,"2001-07-05 00:00:00","2001-07-23 00:00:00",25.14,LBF07051,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0921568,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0382862,0.0105204,NULL,0.0884431,0.141906,0.0176572,0.0175963,0.0171114,0.0155878,0.0494564,0.0637857,0.225747,0.110876,0.0612776,0.0309919,0.00711559,0.110228,0.00201061,0.111109,0.0799132,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.648204,0.700509,0.756761,0.851474,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,,,NA,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA035210,CA245,31211,"2000-09-13 00:00:00",CA,INDOOR,"2001-04-06 00:00:00","2001-07-23 00:00:00",27.3577,LBF04061,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0816842,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.0152762,0.0138429,0.089077,0.141581,0.0176572,0.0175963,0.0171114,0.0155878,0.062863,0.0567576,0.23162,0.114821,0.0607803,0.0279529,0.00687349,0.0791747,0.00084045,0.094626,0.0470166,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.552642,0.641151,0.780982,1.00891,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA035220,CA245,31212,"2000-09-13 00:00:00",CA,OUTDOOR,"2001-07-05 00:00:00","2001-07-23 00:00:00",27.7,LBF07051,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0934922,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0418215,0.0150094,0.0138429,0.118087,0.174474,0.0176572,0.0175963,0.0171114,0.0330019,0.071502,0.0659657,0.248645,0.136657,0.0703256,0.0323074,0.00850317,0.101946,0.00084045,0.109157,0.0470485,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.62454,0.699347,0.798021,0.967776,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,,,<DL,,,<DL,<DL,<DL,,,,,,,,,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA037110,CA047,30789,"2000-04-24 00:00:00",CA,INDOOR,"2000-12-14 00:00:00","2001-03-01 00:00:00",23.99,LBF12140,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0177154,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00738389,0.0138429,0.0177684,0.0178224,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0168959,0.0582176,0.0234364,0.00506623,0.00239337,0.0342753,0.00330586,0.0553332,0.0247129,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.593488,0.641432,0.792898,1.05027,NULL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA037111,CA047,30478,"2000-04-24 00:00:00",CA,"DUPLICATE INDOOR","2000-12-14 00:00:00","2001-03-01 00:00:00",24.54,LBF12140,0.0293756,0.00236889,0.00131666,0.00438658,0.0357533,0.0177154,0.0177154,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00666861,0.0138429,0.0177684,0.0178224,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0168959,0.0571805,0.0262781,0.00829714,0.00173721,0.0917919,0.00423239,0.179567,0.311297,NULL,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.909627,0.675493,0.819418,1.01794,NULL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
CA037120,CA047,30479,"2000-04-24 00:00:00",CA,OUTDOOR,"2000-12-21 00:00:00","2001-03-01 00:00:00",26.01,LBF12210,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0485328,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00816397,0.0138429,0.0425975,0.0551963,0.0176572,0.0175963,0.0171114,0.0155878,0.033762,0.0149338,0.120083,0.122356,0.0631074,0.0159556,0.00294385,0.0849656,0.0019847,0.196704,0.103156,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.538652,0.642106,0.781231,1.00473,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,<DL,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA037210,CA247,31181,"2000-09-11 00:00:00",CA,INDOOR,"2001-06-06 00:00:00","2001-07-23 00:00:00",28.08,LBF06041,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0520115,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.0108465,0.0138429,0.0398138,0.0546926,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0864039,0.347886,0.047218,0.0315604,NULL,0.174674,0.0114915,0.116755,0.100806,0.0139544,0.0829777,0.0177307,0.0176638,0.0177307,0.0167855,0.660083,0.728413,0.937275,0.98949,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,NA,,,,,<DL,,<DL,<DL,<DL,<DL,,,,,
CA038110,CA048,30824,"2000-05-01 00:00:00",CA,INDOOR,"2000-12-21 00:00:00","2001-03-01 00:00:00",27.52,LBF12210,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0433248,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00573697,0.0138429,0.0471272,0.0439415,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0727878,0.0770544,0.0341204,0.00179315,0.00136962,0.026851,0.00183724,0.0502544,0.162816,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.607894,0.674195,0.818044,0.936904,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,<DL,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA038120,CA048,30825,"2000-05-01 00:00:00",CA,OUTDOOR,"2000-12-21 00:00:00","2001-03-01 00:00:00",28.84,LBF12210,0.0599126,0.0324359,0.0233535,0.00307687,0.00218787,0.0177154,0.0369646,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00916304,0.0138429,0.0177684,0.0363934,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0168959,NULL,NULL,0.00179315,0.00172775,0.0254088,0.00084045,0.0530647,0.0385362,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.621213,0.621213,0.709914,0.842453,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,NA,NA,<DL,,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA038121,CA048,30828,"2000-05-01 00:00:00",CA,"DUPLICATE OUTDOOR","2000-12-21 00:00:00","2001-03-01 00:00:00",28.08,LBF12210,0.0633995,0.00670903,0.00342834,0.00682868,0.0260655,0.0177154,0.0582697,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00613775,0.0138429,0.0518897,0.0523791,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.125653,0.0937099,0.0402797,0.00973294,0.00151027,0.0276378,0.00084045,0.0716405,0.0309139,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.544856,0.691442,0.74659,0.992588,NULL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
