LinkID,XRF_ID,Number_of_experiment,Sample_ID,Li,Be,Mg,Al,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Arsenic,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi,U,datestarted,dateended,Be_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Arsenic_flag,Se_flag,Rb_flag,Sr_flag,Ag_flag,Cd_flag,Cs_flag,Ba_flag,Tl_flag,Pb_flag,Bi_flag,U_flag,Li_flag,Mg_flag,Al_flag
NJ001120,T2408,3,10053,0.0729964,-0.0390789,351.194,-44.8227,-0.107651,0.0162214,-0.199818,-0.00958538,0.00958538,0.931994,-0.0280188,0.923146,0.0162214,-0.0206454,-28.8933,0.0420282,-0.305258,0.0110601,-0.185072,0.230787,-0.0685724,0.0110601,0.319267,0.0140094,0.0287561,"1999-06-08 00:00:00","1999-06-10 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ001130,T2409,1,20047,0,0.0161865,102.924,65.176,16.714,2.38216,4.67447,7.15243,1.12503,1219.19,67.3795,402.901,0.297915,0.392823,0.403902,0.149379,1.64143,0.209451,0.754635,0.0829888,3.07589,0.227401,24.7428,0.369562,0.0969189,"1999-06-08 00:00:00","1999-06-10 00:00:00",<DL,<DL,,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,,
NJ002110,T2411,1,10040,0,0.0206546,28.8369,29.7901,9.7572,2.89783,1.57057,4.77269,0.422388,485.875,19.69,145.972,0.130977,0.577321,0.487894,0.103637,0.873887,0.11881,0.374191,0.0300554,1.72532,0.0842656,12.7228,0.0817788,0.0317933,"1999-06-23 00:00:00","1999-06-25 00:00:00",<DL,<DL,<DL,<DL,,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,,
NJ002110,T2411,2,10040,0.336589,0.0390248,38.7878,70.9415,16.8078,4.63349,5.48159,8.6412,0.870392,1731.72,20.272,226.413,0.237633,0.91987,2.64184,0.19373,1.52197,0.282233,0.682237,0.0195124,0,0.0202093,13.4775,0.0641121,0.0264811,"1999-06-23 00:00:00","1999-06-25 00:00:00",<DL,<DL,<DL,<DL,,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,,
NJ002110,T2411,3,10040,0.130315,-0.0348435,558.403,133.381,11.1931,3.65718,4.14917,6.42167,0.677359,899.521,30.9411,82.1471,0.133102,0.700355,1.66482,0.154008,0.84182,0.151221,0.551922,0.121256,2.29758,0.0459935,13.9102,0.0731714,0.0327529,"1999-06-23 00:00:00","1999-06-25 00:00:00",<DL,<DL,<DL,<DL,,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,,
NJ002120,T2412,1,10043,0,0.0131945,30.5336,21.7995,7.52511,2.26198,1.524,2.22902,0.0914297,6.1493,63.0703,44.3973,0.0891333,0.389262,0.548751,0.0722478,0.540482,0.0763977,0.241689,0.0264719,1.10289,0.0739617,7.24974,0.0724719,0.0277964,"1999-06-23 00:00:00","1999-06-25 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,,
NJ002130,T2413,1,20041,0,0.0487121,135.494,246.341,15.1366,3.01939,6.10856,7.27152,0.340086,152.194,148.38,355.658,0.448458,0.483269,-0.246825,0.244369,2.4544,0.406009,0.66693,0.0903722,6.26527,0.248307,52.9631,0.428534,0.106069,"1999-06-23 00:00:00","1999-06-25 00:00:00",<DL,<DL,,<DL,,<DL,<DL,,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,ND,,
NJ003110,T2415,1,10044,0,-0.011355,39.0225,33.8119,7.9825,6.00777,1.83526,4.74995,0.141692,9.70055,13.7589,58.2046,0.118656,0.431631,0.860532,0.155452,0.651753,0.216462,0.887087,0.0427257,1.2932,0.130591,8.79117,0.11408,0.0855271,"1999-07-13 00:00:00","1999-07-15 00:00:00",ND,<DL,,<DL,,<DL,<DL,,<DL,<DL,<DL,,,<DL,,<DL,<DL,,,<DL,,<DL,ND,,
NJ003120,T2416,1,10045,0,0.0502652,43.4432,33.1792,10.3282,7.94536,2.03497,4.75629,0.173566,18.1748,18.2811,89.3565,0.142462,0.31079,0.889906,0.0391532,0.901555,0.210058,0.500183,0.040229,1.56977,0.148527,11.75,0.134474,0.100938,"1999-07-13 00:00:00","1999-07-15 00:00:00",<DL,<DL,,<DL,,<DL,<DL,,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,,,<DL,,,ND,,
NJ003130,T2417,1,20039,0,0.226655,167.554,165.343,34.8808,5.70121,5.73789,8.61056,0.530347,156.665,47.517,300.134,0.55337,0.761162,2.61422,0.0692469,3.42906,0.689309,1.44549,0.08822,5.18902,0.487256,28.4137,0.62523,0.344974,"1999-07-13 00:00:00","1999-07-15 00:00:00",<DL,<DL,,<DL,,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,,<DL,<DL,,,<DL,,<DL,ND,,
