LinkID,SampleID,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Arsenic,Se,Br,Rb,Sr,Y,Zr,Mo,Pd,Ag,Cd,Indium,Sn,Sb,Ba,La,Hg,Pb,datestarted,dateended,Al_flag,Si_flag,P_flag,S_flag,Cl_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Ge_flag,Arsenic_flag,Se_flag,Br_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Mo_flag,Pd_flag,Ag_flag,Cd_flag,Indium_flag,Sn_flag,Sb_flag,Ba_flag,La_flag,Hg_flag,Pb_flag
TX106120,10964,0.0302,0.1194,0.0007,0.5914,0.0271,0.1124,0.1586,0.0074,0.0015,0.0251,0.0224,0.2211,0.0118,0.001,0.0059,0.0344,0.00065,0.0003,0.0026,0.0014,0.004,0.00015,0.0009,0.0006,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.0104,"2000-11-09 00:00:00","2000-11-11 00:00:00",,,ND,,,,,,,,,,,<DL,,,ND,<DL,,,,ND,,,<DL,<DL,ND,<DL,<DL,ND,<DL,<DL,<DL,ND,ND,
TX106110,10965,0.0197,0.0852,0.0007,0.4037,0.012,0.0759,0.0989,0.0048,0.001,0.0175,0.0153,0.1319,0.0084,0.001,0.0059,0.0225,0.00065,0.0003,0.0072,0.0005,0.002,0.00015,0.0007,0.0002,0.00025,0.00045,0.0008,0.00105,0.0027,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.0064,"2000-11-09 00:00:00","2000-11-11 00:00:00",,,ND,,<DL,,,,,,,,,<DL,,,ND,ND,,,,<DL,,ND,<DL,<DL,ND,ND,,<DL,<DL,<DL,<DL,<DL,ND,
CA046220,10968,0.0276,0.086,0.0007,0.7546,0.012,0.041,0.0686,0.007,0.0029,0.0004,0.0026,0.1094,0.00015,0.001,0.002,0.0224,0.00065,0.0003,0.0002,0.0009,0.0025,0.00015,0.0003,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0282,0.00165,0.00985,0.00425,0.0004,0.0049,"2000-10-09 00:00:00","2000-10-11 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,<DL,,ND,ND,<DL,,,ND,,ND,<DL,ND,<DL,ND,<DL,ND,,<DL,<DL,ND,ND,
CA050210,10975,0.0793,0.2044,0.0007,2.536,0.0659,0.0642,0.2556,0.0176,0.0104,0.0015,0.0045,0.1658,0.00015,0.005,0.0061,0.0286,0.00065,0.0003,0.0006,0.0013,0.0123,0.0003,0.0018,0.0002,0.00025,0.001,0.0008,0.00105,0.00085,0.0007,0.0187,0.0049,0.00985,0.00425,0.0004,0.0056,"2000-10-18 00:00:00","2000-10-20 00:00:00",,,ND,,,,,,,,,,ND,,,,ND,ND,,,,,,ND,<DL,,ND,<DL,<DL,ND,,,<DL,ND,ND,
CA050220,10976,0.0466,0.1356,0.0007,2.068,0.0439,0.051,0.0753,0.0235,0.0153,0.0019,0.0058,0.2216,0.00015,0.007,0.0048,0.0398,0.00065,0.0003,0.0022,0.003,0.0176,0.00015,0.0011,0.0002,0.0013,0.00045,0.0008,0.00105,0.00085,0.0016,0.0209,0.0039,0.00985,0.00425,0.0004,0.0074,"2000-10-18 00:00:00","2000-10-20 00:00:00",,,ND,,,,,,,,,,ND,,,,ND,ND,,,,ND,,<DL,,<DL,<DL,ND,<DL,,,,<DL,<DL,ND,
CA051210,10977,0.0279162,0.23098,0.0007,0.302942,0.133679,0.106369,0.19242,0.0140741,0.00230876,0.00191762,0.00447906,0.275043,0.00015,0.001,0.0087712,0.0293804,0.00065,0.0003,0.000456906,0.00196608,0.0149879,0.00015,0.00123226,0.0002,0.00198685,0.00045,0.0008,0.00105,0.00085,0.0007,0.0363101,0.00165,0.00985,0.0105538,0.0004,0.0082243,"2000-10-31 00:00:00","2000-11-02 00:00:00",,,<DL,,,,,,,,,,ND,<DL,,,ND,ND,,,,ND,,ND,,<DL,<DL,<DL,ND,ND,,<DL,<DL,,ND,
TX104210,10986,0.0983,0.24,0.0007,0.9946,0.0297,0.0658,0.0813,0.0059,0.0047,0.0013,0.0017,0.0632,0.00015,0.001,0.0113,0.0114,0.00065,0.0003,0.0008,0.00015,0.0034,0.00015,0.0008,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.002,"2000-12-15 00:00:00","2000-12-17 00:00:00",,,ND,,,,,,,,,,ND,<DL,,,ND,ND,,<DL,,<DL,,<DL,ND,<DL,<DL,<DL,ND,ND,<DL,ND,<DL,<DL,ND,
TX001220,10990,0.0362696,0.20081,0.0007,0.956007,0.106642,0.0752296,0.378769,0.00334393,0.00274293,0.000600998,0.00350466,0.0566755,0.00015,0.001,0.002,0.00523428,0.00065,0.0003,0.000761731,0.000831614,0.0046822,0.00015,0.00124393,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.000877038,0.00075,"2001-02-07 00:00:00","2001-02-09 00:00:00",,,ND,,,,,,,,,,ND,<DL,<DL,,ND,<DL,,,,ND,,<DL,<DL,ND,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,,<DL
NJ094110,11016,0.0137079,0.0781597,0.0007,0.346136,0.012,0.0344208,0.0777596,0.00544826,0.00201491,0.00015,0.00110566,0.0404437,0.00015,0.001,0.002,0.0090962,0.00065,0.0003,0.0002,0.00015,0.00165485,0.00015,0.000527369,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00655392,"2000-10-31 00:00:00","2000-11-02 00:00:00",,,ND,,<DL,,,,,<DL,,,ND,<DL,<DL,,<DL,<DL,<DL,<DL,,ND,,ND,<DL,<DL,ND,<DL,ND,ND,<DL,<DL,<DL,ND,<DL,
CA066210,11018,0.1073,0.3195,0.0007,0.3876,0.012,0.0842,0.1028,0.0144,0.0035,0.0005,0.0036,0.1701,0.00015,0.001,0.0047,0.0132,0.00065,0.0003,0.0005,0.0004,0.0028,0.0003,0.0016,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.0042,"2000-10-23 00:00:00","2000-10-25 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,,,ND,ND,,,,,,ND,<DL,<DL,<DL,ND,ND,ND,<DL,<DL,<DL,ND,ND,
