,pm25_in,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_ou,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
100,12.2,-0.1113611321728934,23.8387,0.508026,63.76,19.2,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
102,12.2,-0.1113611321728934,23.8387,0.508026,63.76,15.5,0.3181028461582728,87.61806666666666,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
104,11.6,-0.19003687107855685,24.1298,0.181107,49.8267,9.2,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
106,11.6,-0.19003687107855685,24.1298,0.181107,49.8267,10.0,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
108,7.5,-0.8542999511344173,23.495,0.181107,57.0915,9.2,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
110,7.5,-0.8542999511344173,23.495,0.181107,57.0915,10.0,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
112,13.4,0.03604865425810756,22.8406,0.685132,61.6345,10.7,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
114,13.4,0.03604865425810756,22.8406,0.685132,61.6345,10.7,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
116,13.4,0.03604865425810756,22.8406,0.685132,61.6345,9.8,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
118,17.0,0.4161120157398441,22.378,1.34243,62.233000000000004,10.7,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
120,17.0,0.4161120157398441,22.378,1.34243,62.233000000000004,10.7,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
122,17.0,0.4161120157398441,22.378,1.34243,62.233000000000004,9.8,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
124,14.0,0.10534088714427588,26.0687,0.478149,62.1223,12.2,-0.3154827110295114,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
126,14.0,0.10534088714427588,26.0687,0.478149,62.1223,13.0,-0.14951588907672045,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
128,14.6,0.1720063959001845,23.1147,0.5275075714285715,58.9636,8.4,-1.260636570296184,83.53163333333333,0,0.0,0,75.0,0,9.4,17.9,0,0,0,0,1,1,0,1
130,6.3,-1.11197544380422,24.3586,0.547251,55.6623,11.3,-0.5137235184415546,77.26243333333333,0,0.0,0,82.0,0,4.92,14.1,1,1,1,1,1,1,1,0
132,29.7,1.3430201483369262,22.2767,2.28783,48.8558,11.4,-0.4910425931648721,66.4606,0,0.03,1,86.0,1,7.16,17.9,1,1,1,1,1,1,0,1
134,7.2,-0.915028547848984,21.3312,0.126272,56.1524,11.8,-0.4019887589687948,81.30216666666666,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,0,1
136,7.2,-0.915028547848984,21.3312,0.126272,56.1524,10.0,-0.8253954256300836,82.5151,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,0,1
138,7.7,-0.8150192700312987,21.0381,0.281717,57.854,11.8,-0.4019887589687948,81.30216666666666,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,1,0
140,7.7,-0.8150192700312987,21.0381,0.281717,57.854,10.0,-0.8253954256300836,82.5151,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,1,0
142,19.1,0.6054224587831242,23.1544,0.5598069999999999,57.0827,16.5,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
144,19.1,0.6054224587831242,23.1544,0.5598069999999999,57.0827,15.1,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
146,24.1,0.9899207021808568,25.265,0.38079,55.5523,16.5,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
148,24.1,0.9899207021808568,25.265,0.38079,55.5523,15.1,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
150,9.0,-0.5800641082791119,23.2338,2.81359,57.5722,7.8,-1.4423507820233294,86.63943333333332,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
152,9.0,-0.5800641082791119,23.2338,2.81359,57.5722,7.8,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
154,4.1,-1.728223354853016,24.4254,0.34146,58.3109,7.8,-1.4423507820233294,86.63943333333332,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
156,4.1,-1.728223354853016,24.4254,0.34146,58.3109,7.8,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
158,13.3,0.024228973517135242,21.1,0.253218,65.3775,13.3,-0.08952748773147502,85.27776666666666,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
160,13.3,0.024228973517135242,21.1,0.253218,65.3775,12.7,-0.21070130380541008,85.16000000000003,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
162,35.3,1.64049087016447,24.6028,0.420976,65.3775,13.3,-0.08952748773147502,85.27776666666666,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
164,35.3,1.64049087016447,24.6028,0.420976,65.3775,12.7,-0.21070130380541008,85.16000000000003,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
166,29.1,1.3082075369074453,27.1119,1.36628,58.8187,17.5,0.6477224019313664,82.85186666666667,0,0.0,0,85.0,0,5.82,17.0,1,1,1,1,1,1,0,1
168,14.9,0.20441805778432048,26.4412,0.310734,56.2051,34.0,2.5572238364304325,73.32636666666667,0,0.0,0,88.0,0,6.49,15.0,1,1,1,1,1,1,0,1
170,31.6,1.4492255420081923,22.8033,0.27261799999999997,58.1554,9.5,-0.954575720908975,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
172,31.6,1.4492255420081923,22.8033,0.27261799999999997,58.1554,8.9,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
174,14.9,0.20441805778432048,18.8607,8.21359,53.2114,9.5,-0.954575720908975,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
176,14.9,0.20441805778432048,18.8607,8.21359,53.2114,8.9,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
178,4.8,-1.5051181686798063,24.0313,0.303397,56.8291,9.7,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
180,4.8,-1.5051181686798063,24.0313,0.303397,56.8291,8.7,-1.1739133584424342,76.2585,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
182,11.3,-0.23076014372440154,23.1874,0.303397,47.4841,9.7,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
184,11.3,-0.23076014372440154,23.1874,0.303397,47.4841,8.7,-1.1739133584424342,76.2585,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
186,8.0,-0.7577890920114846,23.7225,0.294078,62.6054,11.3,-0.5137235184415546,82.45730000000002,0,1.17,0,72.0,1,8.28,23.0,1,1,1,1,1,1,1,0
188,13.6,0.05945141846073659,23.9931,0.118973,80.2465,16.3,0.4540887454366254,80.88463333333334,0,0.0,0,86.0,0,2.68,15.0,1,1,1,1,1,1,1,0
190,10.2,-0.3889254817562992,24.6585,0.7427050000000001,54.2515,13.5,-0.05017558273372187,62.19006666666667,0,0.0,0,87.0,0,12.75,29.1,0,0,0,0,1,1,1,0
192,19.4,0.6309182607109279,26.3099,2.44601,61.8658,18.0,0.7250622736928393,72.97103333333331,0,0.0,0,87.0,0,2.91,12.1,1,1,1,1,1,1,1,0
194,34.8,1.6157313933375186,23.4536,0.74341,59.8385,21.8,1.2593060828192524,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
196,34.8,1.6157313933375186,23.4536,0.74341,59.8385,19.4,0.9322271171389668,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
198,4.2,-1.6943404232573709,23.5758,0.348138,55.5268,8.1,-1.3500529813693587,88.9061,0,0.66,0,84.0,1,7.83,25.1,1,1,1,1,1,1,1,0
200,3.0,-2.160230496417772,23.89,0.630101,55.5268,8.1,-1.3500529813693587,88.9061,0,0.66,0,84.0,1,7.83,25.1,1,1,1,1,1,1,1,0
202,16.2,0.3384019786590634,26.3992,5.14979,54.8187,13.0,-0.14951588907672045,81.8385,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,0,1
204,16.2,0.3384019786590634,26.3992,5.14979,54.8187,10.6,-0.6774854471282621,82.2182,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,0,1
206,13.4,0.03604865425810756,26.4258,0.463663,55.0619,13.0,-0.14951588907672045,81.8385,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,1,0
208,13.4,0.03604865425810756,26.4258,0.463663,55.0619,10.6,-0.6774854471282621,82.2182,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,1,0
210,12.3,-0.0985889243611721,24.7305,0.322916,52.7599,14.6,0.15774048353569786,79.5532,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
212,12.3,-0.0985889243611721,24.7305,0.322916,52.7599,14.4,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
214,12.4,-0.08590996806244955,28.64,4.30264,70.5701,14.6,0.15774048353569786,79.5532,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
216,12.4,-0.08590996806244955,28.64,4.30264,70.5701,14.4,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
218,26.5,1.1494546584984902,23.5487,0.502602,46.9829,15.7,0.3526528053678009,76.39583333333333,0,0.0,0,85.0,0,7.61,16.1,0,0,0,0,1,1,1,0
220,37.3,1.7364690478608509,26.1156,0.525918,21.5908,12.5,-0.2521826246278519,78.97386666666667,0,0.0,0,89.0,0,12.75,21.9,0,0,0,0,1,1,1,0
222,12.7,-0.048418525053385016,26.4379,2.7444599999999997,58.5448,13.2,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
224,12.7,-0.048418525053385016,26.4379,2.7444599999999997,58.5448,18.6,0.8154787813015615,74.0,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
226,10.9,-0.2866010463557133,24.1808,0.285222,53.0197,13.2,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
228,10.9,-0.2866010463557133,24.1808,0.285222,53.0197,18.6,0.8154787813015615,74.0,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
230,12.3,-0.0985889243611721,26.3203,0.495558,49.4128,19.0,0.8743790059067239,81.89856666666667,0,0.0,0,85.0,0,6.49,13.0,0,0,0,0,1,1,0,1
232,5.6,-1.2835538165857818,25.4047,0.7578229999999999,45.3683,9.2,-1.034905337636049,76.45703333333334,0,0.0,0,91.0,0,5.82,15.0,0,0,0,0,1,1,0,1
234,4.4,-1.628701505452436,25.1701,0.4682939999999999,52.3049,14.6,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
236,4.4,-1.628701505452436,25.1701,0.4682939999999999,52.3049,17.4,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
238,7.2,-0.915028547848984,25.1701,0.34738600000000003,52.3049,14.6,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
240,7.2,-0.915028547848984,25.1701,0.34738600000000003,52.3049,17.4,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
242,5.5,-1.3096265264936615,25.0646,0.38508000000000003,47.72000714285714,17.1,0.5844764218894448,75.44446666666666,0,0.0,0,95.0,1,4.25,19.9,0,0,0,0,1,1,0,1
244,5.4,-1.3361300607243836,24.8747,0.364092,39.4672,12.8,-0.190169963859311,69.10415,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
248,5.4,-1.3361300607243836,24.8747,0.364092,39.4672,12.8,-0.190169963859311,71.9348,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
252,5.4,-1.3361300607243836,24.8747,0.364092,39.4672,13.1,-0.12938927200626102,69.20835,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
254,5.4,-1.3361300607243836,24.8747,0.364092,39.4672,13.1,-0.12938927200626102,73.3488,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
268,5.7,-1.2578974191457737,25.6,0.38139,41.2052825,16.4,0.4706829423375144,63.8889,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
270,5.7,-1.2578974191457737,25.6,0.38139,41.2052825,16.0,0.4037778383204212,63.82636666666667,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
272,4.0,-1.7628595050063174,25.6,0.273528,41.2052825,16.4,0.4706829423375144,63.8889,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
274,4.0,-1.7628595050063174,25.6,0.273528,41.2052825,16.0,0.4037778383204212,63.82636666666667,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
276,4.8,-1.5051181686798063,23.89,0.5463,42.44677,12.7,-0.21070130380541008,69.29076666666667,0,0.0,0,99.0,0,6.04,17.9,0,0,0,0,1,1,0,1
278,15.9,0.308366385038459,29.5,0.586394,44.184852500000005,22.9,1.399007160971696,67.80953333333333,0,0.0,0,95.0,0,3.58,10.1,1,1,1,1,1,1,0,1
280,15.9,0.308366385038459,29.5,0.586394,44.184852500000005,24.4,1.580527437333074,67.80953333333333,0,0.0,0,95.0,0,3.58,10.1,1,1,1,1,1,1,0,1
282,9.0,-0.5800641082791119,23.9,0.112474,44.6814475,16.0,0.4037778383204212,69.34723333333334,0,0.0,0,97.0,0,6.26,17.9,1,1,1,1,1,1,0,1
284,10.3,-0.37392725415033773,25.114285714285717,0.8497425714285713,45.922935,16.3,0.4540887454366254,78.4583,0,0.23,0,93.0,1,4.25,28.0,1,1,1,1,1,1,0,1
286,10.3,-0.37392725415033773,25.6,1.14465,46.41953,14.2,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
288,10.3,-0.37392725415033773,25.6,1.14465,46.41953,11.1,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
290,5.9,-1.2077791300486382,25.6,1.14465,46.41953,14.2,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
292,5.9,-1.2077791300486382,25.6,1.14465,46.41953,11.1,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
294,25.3,1.0713933795171269,23.9,0.406812,47.6610175,11.1,-0.5596056773548868,75.98666666666666,0,0.0,0,95.0,0,5.59,17.0,1,1,1,1,1,1,1,0
296,16.7,0.3873648536389208,28.1,0.232073,48.1576125,16.2,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
298,16.7,0.3873648536389208,28.1,0.232073,48.1576125,15.6,0.3354252245787829,66.99273333333333,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
300,4.3,-1.6611769692940692,28.1,0.43239099999999997,48.1576125,16.2,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,0,1
302,4.3,-1.6611769692940692,28.1,0.43239099999999997,48.1576125,15.6,0.3354252245787829,66.99273333333333,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,0,1
304,4.3,-1.6611769692940692,27.1,0.0819875,49.3991,10.8,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
306,4.3,-1.6611769692940692,27.1,0.0819875,49.3991,10.3,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
308,9.4,-0.5139247560200151,27.1,0.754034,49.3991,10.8,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
310,9.4,-0.5139247560200151,27.1,0.754034,49.3991,10.3,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
312,25.3,1.0713933795171269,26.7,0.530459,49.895695,20.3,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
314,25.3,1.0713933795171269,26.7,0.530459,49.895695,21.5,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
316,12.3,-0.0985889243611721,26.7,0.519149,49.895695,20.3,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
