,pm25_in,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_ou,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
76,18.0,0.5087414861943569,23.0962,1.18258,43.0145,13.8,0.00792657012808151,75.2517,0,0.0,0,58.0,0,6.93,17.0,0,0,0,0,1,1,0,1
78,34.5,1.60072136175541,26.6618,0.587917,61.7229,9.5,-0.954575720908975,86.38516666666666,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
80,34.5,1.60072136175541,26.6618,0.587917,61.7229,10.1,-0.8002252313803804,84.25169999999999,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
82,10.7,-0.31521763002525915,22.3189,0.942037,38.7948,14.3,0.10240342693237453,50.85713333333333,0,0.0,0,81.0,0,7.61,19.9,1,1,1,1,1,1,0,1
84,32.0,1.4708487728605182,19.1203,0.317498,55.5876,19.2,0.9034320252813308,70.2153,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
86,32.0,1.4708487728605182,19.1203,0.317498,55.5876,19.2,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
88,8.2,-0.7207008995803426,22.1981,0.200699,37.3222,19.2,0.9034320252813308,70.2153,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
90,8.2,-0.7207008995803426,22.1981,0.200699,37.3222,19.2,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
92,22.3,0.8605783441147765,22.7699,0.618762,40.8744,23.3,1.4483853263797135,68.1915,0,0.02,0,58.0,0,4.92,15.0,0,0,0,0,1,1,0,1
94,13.3,0.024228973517135242,21.1,0.344464,54.22433333333333,9.5,-0.954575720908975,80.57823333333333,0,0.0,1,75.0,0,5.82,16.1,1,1,1,1,1,1,1,0
96,17.0,0.4161120157398441,24.1536,0.508026,60.0728,19.2,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
98,17.0,0.4161120157398441,24.1536,0.508026,60.0728,15.5,0.3181028461582728,87.61806666666666,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
