,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
362,-0.5800641082791119,25.3,0.30522699999999997,53.37186,0.3526528053678009,53.85060000000001,0,0.0,0,104.0,0,4.7,12.1,0,0,0,0,1,1,0,1
364,0.2778155930930957,25.3,0.30522699999999997,53.37186,0.3526528053678009,53.85060000000001,0,0.0,0,104.0,0,4.7,12.1,0,0,0,0,1,1,0,1
366,1.4383212550838165,29.4,0.583501,54.861645,2.2029580459346745,61.38193333333334,0,0.0,0,108.0,0,4.92,21.0,0,0,0,0,1,1,0,1
368,1.56011180779375,28.1,0.583501,54.861645,2.2029580459346745,61.38193333333334,0,0.0,0,108.0,0,4.92,21.0,0,0,0,0,1,1,1,0
370,-0.300849632068263,15.56,0.538365,56.5997275,-1.95532484351693,87.94443333333334,0,0.34,0,96.0,1,5.59,25.1,1,1,1,1,1,1,0,1
372,0.308366385038459,26.7,0.20369600000000002,58.33781000000001,-1.2314383316975908,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
374,0.308366385038459,26.7,0.20369600000000002,58.33781000000001,-1.3500529813693587,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
376,-0.8542999511344173,27.2,0.998901,58.33781000000001,-1.2314383316975908,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
378,-0.8542999511344173,27.2,0.998901,58.33781000000001,-1.3500529813693587,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
380,-0.011716979911226435,18.33,2.38446,49.3269,-0.06978868503678777,63.29166666666666,0,0.0,0,74.0,0,6.04,15.0,0,0,0,0,1,1,0,1
382,0.03604865425810756,23.9,0.794978,61.813975,-1.1455742615287652,85.3856666666667,0,0.0,0,90.0,0,6.49,17.0,1,1,1,1,1,1,1,0
384,0.2362467819846143,21.1,0.17683800000000002,49.3269,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
386,0.2362467819846143,21.1,0.17683800000000002,49.3269,0.5684671975991121,75.80556666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
388,1.181043126185355,21.7,2.59249,49.3269,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
390,1.181043126185355,21.7,2.59249,49.3269,0.5684671975991121,75.80556666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
392,2.110263346123432,26.3974,1.15336,69.2629,-0.14951588907672045,91.16326666666669,0,0.09,1,85.0,1,5.82,16.1,1,1,1,1,1,1,1,0
394,-1.909703258918637,24.1246,0.158442,54.5864,-2.4029601876647466,79.9291,0,0.0,0,67.0,0,8.05,19.9,0,0,0,0,1,1,0,1
396,-0.5302182488527046,23.88071578947369,0.1414091142857143,49.3269,-0.030686458060293163,78.05553333333334,0,0.0,0,62.0,0,6.49,17.0,0,0,0,0,1,1,1,0
398,1.4383212550838165,23.271005263157893,0.0988269,53.6175447368421,-0.06978868503678777,82.02173333333333,0,0.0,0,60.0,0,4.47,16.1,0,0,0,0,1,1,1,0
400,0.4350238264290638,19.4908,2.46537,49.3269,-3.2269795423751466,61.35333333333333,0,0.02,0,61.0,0,5.82,16.1,1,1,1,1,1,1,0,1
402,-0.19003687107855685,22.553657407407414,1.7137900000000001,56.720342592592594,-1.9931240920050544,90.75186666666669,0,0.0,0,60.0,0,5.37,13.0,0,0,0,0,1,1,1,0
404,-0.2724697984752212,24.8261,1.7137900000000001,62.2058,-0.4240070619333462,90.75186666666669,0,0.0,0,73.0,0,9.62,21.0,1,1,1,1,1,1,0,1
