,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
32,-0.2724697984752212,24.17052,0.440217,48.761959999999995,1.6389126954678297,77.32666666666665,0,0.0,0,90.0,0,3.36,13.0,1,1,1,1,1,1,0,1
34,0.3184345852451161,23.14,0.159971,48.3,-0.08952748773147502,66.25196666666666,0,0.21,0,61.0,0,8.05,17.9,1,1,1,1,1,1,0,1
36,1.2305045139366415,23.0495,0.429332,54.5284,2.0216341894575898,84.6884,0,0.0,1,79.0,0,2.68,11.0,1,1,1,1,1,1,0,1
38,1.2305045139366415,23.0495,0.429332,54.5284,2.4946027551738577,84.84443333333333,0,0.0,1,79.0,0,2.68,11.0,1,1,1,1,1,1,0,1
40,1.3256938880911264,23.8209,0.268331,49.8858,2.0216341894575898,84.6884,0,0.0,1,79.0,0,2.68,11.0,1,1,1,1,1,1,0,1
42,1.3256938880911264,23.8209,0.268331,49.8858,2.4946027551738577,84.84443333333333,0,0.0,1,79.0,0,2.68,11.0,1,1,1,1,1,1,0,1
44,0.3284462277664384,21.1,2.48779,50.5321,1.436109223489407,63.2687,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
46,0.3284462277664384,21.1,2.48779,50.5321,0.9034320252813308,64.87196666666667,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
48,0.3284462277664384,22.5091,0.18366300000000002,50.5321,1.436109223489407,63.2687,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
50,0.3284462277664384,22.5091,0.18366300000000002,50.5321,0.9034320252813308,64.87196666666667,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
52,0.3284462277664384,25.9881,0.315384,58.453,-0.5596056773548868,72.0,0,0.35,0,81.0,1,10.29,28.0,1,1,1,1,1,1,0,1
54,1.957512199404753,22.8939,13.3432,45.9869,1.6619860910457402,59.98613333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
56,1.957512199404753,22.8939,13.3432,45.9869,1.399007160971696,59.53473333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
58,1.181043126185355,22.8939,0.689389,45.9869,1.6619860910457402,59.98613333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
60,1.181043126185355,22.8939,0.689389,45.9869,1.399007160971696,59.53473333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
62,0.5968436121488389,22.55,0.980056,66.33,-1.089713427896705,84.63663333333334,0,0.0,0,73.0,0,6.93,17.0,1,1,1,1,1,1,0,1
64,-0.16341218608917482,20.76,1.06988,38.0,-0.14951588907672045,61.97223333333333,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
66,-0.16341218608917482,20.76,1.06988,38.0,-0.27313675764105705,62.46099999999999,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
68,1.3023426352227314,18.4841,1.41117,50.06399999999999,-0.14951588907672045,61.97223333333333,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
70,1.3023426352227314,18.4841,1.41117,50.06399999999999,-0.27313675764105705,62.46099999999999,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
72,-1.11197544380422,23.9768,0.49498400000000004,35.3738,-0.3368789794093656,49.08726666666666,0,0.01,0,76.0,0,10.74,19.9,0,0,0,0,1,1,0,1
74,-1.11197544380422,23.9768,0.49498400000000004,35.3738,0.694349742359301,47.7878,0,0.01,0,76.0,0,10.74,19.9,0,0,0,0,1,1,0,1
76,0.5087414861943569,23.0962,1.18258,43.0145,0.00792657012808151,75.2517,0,0.0,0,58.0,0,6.93,17.0,0,0,0,0,1,1,0,1
78,1.60072136175541,26.6618,0.587917,61.7229,-0.954575720908975,86.38516666666666,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
80,1.60072136175541,26.6618,0.587917,61.7229,-0.8002252313803804,84.25169999999999,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
82,-0.31521763002525915,22.3189,0.942037,38.7948,0.10240342693237453,50.85713333333333,0,0.0,0,81.0,0,7.61,19.9,1,1,1,1,1,1,0,1
84,1.4708487728605182,19.1203,0.317498,55.5876,0.9034320252813308,70.2153,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
86,1.4708487728605182,19.1203,0.317498,55.5876,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
88,-0.7207008995803426,22.1981,0.200699,37.3222,0.9034320252813308,70.2153,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
90,-0.7207008995803426,22.1981,0.200699,37.3222,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
92,0.8605783441147765,22.7699,0.618762,40.8744,1.4483853263797135,68.1915,0,0.02,0,58.0,0,4.92,15.0,0,0,0,0,1,1,0,1
94,0.024228973517135242,21.1,0.344464,54.22433333333333,-0.954575720908975,80.57823333333333,0,0.0,1,75.0,0,5.82,16.1,1,1,1,1,1,1,1,0
96,0.4161120157398441,24.1536,0.508026,60.0728,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
