,co
86318,0.6
573230,1.1
199050,0.8
562457,0.2
359529,0.2
147560,0.3
354138,0.1
177593,0.1
393045,0.1
253083,0.2
535337,0.2
63536,0.2
441672,0.3
296686,0.5
260477,0.2
564419,0.2
144390,0.3
270933,0.3
347796,0.2
161486,0.5
540287,0.3
244316,0.2
283539,0.2
455637,0.4
214867,0.4
404909,0.2
395206,0.1
431756,0.3
286456,0.6
185081,0.4
333931,0.3
297912,0.3
23711,0.2
10494,0.2
560462,0.5
467062,0.5
42458,0.4
308248,0.1
566687,1.1
45869,0.3
319746,0.3
470637,0.2
151426,0.4
191007,0.3
494087,0.7
551287,0.2
122284,0.2
11021,0.1
351212,0.4
405553,0.4
267035,0.2
436274,1.0
569081,0.6
20309,0.1
430906,0.4
55908,0.3
20998,0.3
258609,0.2
178475,0.2
172640,0.1
292557,0.6
468737,0.2
6385,0.2
333421,0.2
565814,0.7
447437,0.2
348574,0.1
38834,0.4
328478,0.2
258490,0.2
1780,0.6
166928,0.3
248824,0.6
478287,0.1
440333,0.3
350823,0.2
286301,0.6
286420,0.7
231064,0.2
532812,0.2
133533,0.4
70660,0.2
43010,0.2
159646,0.2
203761,0.3
564626,0.5
40226,0.5
1661,0.6
464837,0.3
269174,0.2
93909,0.3
263773,0.3
17825,0.4
46762,0.3
547062,0.4
6706,0.3
109349,0.3
12698,0.2
197454,0.3
80997,0.4
183247,0.1
239090,0.3
521662,0.6
380550,0.3
466162,0.2
368964,0.4
163504,0.7
28197,0.3
102090,0.2
155574,0.6
486087,0.4
156999,0.2
14530,0.2
402614,0.2
170761,0.2
216728,0.2
72683,0.2
100949,0.1
298082,0.3
133652,0.4
197869,0.8
416711,0.2
191876,0.1
422102,0.2
28114,0.2
153126,0.3
414671,0.2
563663,0.9
142739,0.1
297353,0.3
10458,0.2
415642,0.6
466687,0.3
523737,0.2
88307,0.4
259406,0.2
244742,0.3
508512,0.4
454112,0.4
81473,0.3
134451,0.3
487587,0.2
17706,0.4
302315,0.1
532612,0.2
172283,0.1
90831,0.2
517437,0.3
280982,0.1
508562,0.7
533637,0.6
432910,0.2
137480,0.5
269783,0.7
566804,1.0
211577,0.3
91139,0.3
435035,0.3
447387,0.4
279792,0.3
274909,0.2
153638,0.5
440242,0.3
6376,0.3
386111,0.2
86760,0.4
209316,0.3
219310,0.3
269887,0.5
200750,0.2
563051,0.7
236283,0.3
554387,0.5
524587,0.3
256119,0.3
38071,0.7
110941,0.5
254630,0.5
404618,0.3
464637,0.1
391175,0.2
219737,0.2
93967,0.4
488112,0.4
440554,0.2
539837,0.3
268832,0.4
53791,0.3
304884,0.4
287408,0.4
556037,0.2
548212,1.5
549162,1.1
193100,0.3
26735,0.6
437585,0.3
545862,0.2
508087,0.5
131595,0.3
558912,0.3
567776,0.4
386330,0.3
516562,0.4
271409,0.3
533562,0.9
162022,0.3
70273,0.2
85689,0.3
30482,0.6
546312,0.4
499037,0.3
491487,0.4
211898,0.5
431501,0.2
218596,0.4
155610,0.3
220556,0.2
331891,0.2
120457,0.6
495887,1.1
475337,0.2
492887,0.9
438775,0.2
31178,0.1
574310,0.6
543412,0.4
369850,0.1
272327,0.1
569189,0.7
202986,0.2
371465,0.3
156348,0.3
144594,0.2
122104,0.3
472337,0.3
575867,0.6
542187,0.3
74279,0.7
285791,0.5
519687,0.7
267392,0.3
405334,0.5
55093,0.2
197811,0.4
186936,0.4
182057,0.2
165668,0.3
455612,0.4
141052,0.4
288488,0.3
439710,0.2
40464,0.2
499087,0.3
239258,0.4
543337,0.2
60301,0.2
150843,0.3
454187,0.8
516012,0.3
569297,0.8
27519,0.4
78895,0.2
255250,0.3
77086,0.2
459262,0.2
536612,0.3
464762,0.1
459912,0.4
549137,1.1
81260,0.4
569531,1.0
386706,0.2
253025,0.2
25460,0.4
539437,0.3
112082,0.3
502962,0.3
21584,0.3
268594,1.3
162794,0.4
442082,0.3
231823,0.3
567569,1.2
577220,0.5
490137,0.5
192898,0.1
2326,0.9
520212,0.1
8040,0.4
363694,0.2
250405,0.6
557137,0.3
294682,0.2
11259,0.3
550012,0.2
288122,0.5
342673,0.3
123413,0.3
419807,0.3
331162,0.3
569927,0.4
255463,0.1
59141,0.1
482887,0.3
462312,0.3
170880,0.2
571700,0.8
275147,0.2
566273,0.8
466137,0.2
570971,0.8
184080,0.5
402578,0.1
275003,0.3
364714,0.2
115234,0.2
369729,0.3
440606,0.2
575903,0.8
86437,1.0
559887,0.3
549337,1.0
159823,0.0
570296,0.3
31407,0.1
328612,0.4
470862,0.4
263144,0.4
323280,0.3
148521,0.2
566813,1.0
268356,0.5
146330,0.1
553287,0.3
92768,0.2
549787,0.3
360294,0.2
483287,0.8
126712,0.2
279269,0.1
141921,0.1
46951,0.2
567794,0.8
211397,0.2
171203,0.7
490287,0.3
577187,0.5
542162,0.0
200905,0.3
261240,0.6
572537,0.8
127859,0.6
405929,0.6
217036,0.2
52328,0.3
28700,0.3
256177,0.7
77858,0.3
435084,0.7
68342,0.4
559062,0.4
33643,0.3
164368,0.4
113321,0.5
41517,1.2
339394,0.4
433299,0.2
340074,0.2
274588,0.0
511187,0.7
125973,0.8
452787,0.3
509187,0.5
192471,0.1
14624,0.2
144722,0.1
566381,0.6
511312,0.3
372400,0.3
121653,0.2
145223,0.2
570143,1.6
138136,0.1
501312,0.4
415011,0.2
295872,0.3
330227,0.3
383051,0.2
537637,0.0
354357,0.2
80155,0.3
386366,0.2
462962,0.3
555937,0.3
561437,0.5
517262,0.6
101876,0.2
560762,0.3
387095,0.3
133688,0.2
284253,0.4
495112,0.2
60826,0.2
419176,0.2
574553,0.6
212340,0.2
556812,0.2
177081,0.3
19253,0.4
532162,0.1
75588,0.3
184486,0.4
565166,0.1
205189,0.8
6089,0.2
572933,0.4
495712,0.3
542262,0.1
357515,0.2
269539,0.6
60231,0.2
107562,0.3
344723,0.1
51423,0.3
517212,0.9
374780,0.2
465187,0.3
154945,0.4
471962,0.4
206617,0.3
119386,0.3
539762,0.6
143404,0.3
576200,0.6
192837,0.2
13663,0.5
423037,0.2
572222,0.8
427725,0.2
12664,0.5
142858,0.2
558487,0.4
128454,0.4
475137,0.6
68580,0.3
507137,0.2
435545,0.2
25341,0.3
199764,0.6
156550,0.5
450762,0.3
236674,0.3
519312,0.2
568802,0.8
28078,0.3
437415,0.1
336334,0.2
422187,0.2
540087,0.2
541787,0.2
205973,0.2
126678,0.3
90068,0.1
6529,0.2
285553,0.6
327713,0.1
121985,0.4
543237,0.4
552762,1.0
19512,0.2
84807,0.2
558862,0.4
106400,0.4
562628,0.5
279520,0.5
556137,0.2
462187,0.2
574355,0.8
516812,0.3
406439,0.2
368271,0.3
511062,0.3
576695,0.2
163845,0.4
71017,0.2
575318,0.7
555162,0.2
231358,0.2
225072,0.3
489262,0.5
219582,0.2
440469,0.3
543637,0.2
123166,0.4
135046,0.6
389645,0.2
540962,0.1
521312,0.4
191815,0.2
37714,0.2
278079,0.7
480387,0.2
258335,0.6
466587,0.2
460087,0.2
548612,0.3
154350,0.2
541862,0.3
276851,0.5
487412,0.4
162056,0.2
276109,0.5
47308,0.3
575048,0.6
376493,0.4
486962,0.2
95694,0.3
333627,0.2
213857,0.2
441522,0.3
230445,0.2
400319,0.4
318082,0.8
291877,0.5
362710,0.1
495237,0.7
195956,0.4
576101,0.2
467437,0.2
41151,0.5
64003,0.3
182344,0.3
3534,0.3
188041,0.2
174295,0.2
402493,0.2
125378,0.4
191696,0.2
48934,0.4
147441,0.3
182497,0.2
184913,0.1
450712,0.5
117113,0.3
352997,0.2
437330,0.2
285861,0.1
308333,0.1
252751,0.2
574229,0.0
63799,0.3
441373,0.2
379651,0.1
576443,1.5
440658,0.3
36097,0.3
564770,0.5
372449,0.3
562178,0.6
76787,1.4
246314,0.4
318677,0.3
83056,0.2
496937,0.4
168484,0.6
328903,0.1
491862,0.7
531662,1.3
233336,0.3
480637,0.4
211696,0.3
567560,0.8
456137,0.2
512112,0.3
122010,0.3
339940,0.1
255524,0.2
24712,0.4
1219,0.5
33634,0.5
52029,0.2
445912,0.2
533837,0.2
454737,0.1
309863,0.2
526912,0.5
193967,0.2
505362,0.4
471287,0.3
65971,0.3
260239,0.2
105695,0.2
349741,0.1
181511,0.2
214510,0.3
221923,0.3
83651,0.5
376542,0.7
528912,1.1
248952,0.2
265275,0.2
458037,0.2
576398,0.5
218046,0.2
479587,0.3
440729,0.2
413056,0.3
569198,0.7
576047,0.8
494312,1.5
272648,0.2
224347,0.3
440742,0.2
405298,0.7
293662,0.4
576407,1.0
466987,0.3
131247,0.3
489162,0.6
329158,0.2
270280,0.1
256678,0.4
225714,0.1
179989,0.2
29476,0.9
343072,0.3
135199,0.3
404229,0.4
343157,0.2
333591,0.2
535262,0.3
449062,0.5
63179,0.1
566957,1.0
563915,0.7
506962,0.2
68971,0.4
441711,0.2
153553,0.3
140109,0.2
283921,0.5
33823,0.2
137303,0.2
237244,0.8
559862,0.4
312145,0.3
541012,0.1
404314,0.3
464687,0.5
70626,0.2
344213,0.2
439674,0.3
567470,0.8
209401,0.3
204188,0.5
572717,0.7
71969,0.2
129761,0.3
198168,0.2
152329,0.2
36869,0.8
484837,0.4
554537,0.2
560012,0.9
97537,0.2
386961,0.2
118175,0.5
96704,0.5
573905,0.5
20632,0.5
109419,0.3
489187,0.3
144783,0.1
480612,0.0
119658,0.4
60777,0.2
460237,0.3
43810,0.6
48141,0.2
150129,0.1
497687,0.5
53944,0.2
519087,0.1
515237,0.9
212102,0.3
361824,0.2
563564,1.2
175579,0.5
59498,0.3
564383,0.8
33524,0.6
391515,0.2
223099,0.1
14029,0.3
454712,0.2
174499,0.4
255405,0.2
395971,0.3
425855,0.2
460337,0.6
139788,0.2
107800,0.2
80582,0.4
187055,0.3
371635,0.2
198821,0.2
259727,0.2
211992,0.6
134723,0.2
452137,0.3
454512,0.3
38630,0.4
363900,0.1
467587,0.2
556862,0.2
357940,0.2
439164,0.3
223337,0.1
421386,0.2
23284,0.3
525287,0.1
495187,0.3
102364,0.3
12377,0.2
6944,0.2
567605,0.8
521537,0.5
382116,0.3
160678,0.3
128250,0.3
51971,0.2
32038,0.4
187421,0.2
178594,0.4
149855,0.2
503862,0.4
191101,0.1
165107,0.6
29070,1.5
548062,0.6
451237,0.7
493987,0.7
199834,0.2
28876,1.0
318337,0.5
181273,0.2
303109,0.0
242660,0.3
429595,0.3
310628,0.3
521262,0.4
317183,0.5
254096,0.2
571070,0.8
504737,0.1
577028,0.7
430870,0.6
467412,0.2
286157,0.5
185780,0.4
202867,0.1
543437,0.3
33704,0.3
360974,0.3
145937,0.2
464337,0.2
72741,0.7
498912,0.3
236045,0.3
572780,1.0
441015,0.2
354393,0.1
9899,0.2
191162,0.1
142977,0.1
139348,0.1
484112,0.3
91504,0.3
285742,0.1
470987,0.1
300782,0.1
305407,0.2
474237,0.7
179527,0.3
3229,0.2
288607,0.3
184556,0.2
418107,0.2
32444,0.9
563717,1.1
98812,0.2
384715,0.2
221959,0.2
139029,0.4
487937,0.5
401594,0.2
435800,0.5
207093,0.4
158153,0.5
14020,0.6
242148,0.2
57987,0.2
221701,0.4
206092,0.2
269329,0.5
115200,0.3
564338,1.4
270091,0.5
575732,0.8
106638,0.4
572924,0.4
337256,0.2
288369,0.2
239734,0.3
574985,0.5
105482,0.2
155693,0.4
486137,0.3
334755,0.1
483537,0.3
429036,0.2
274289,0.3
343242,0.3
284278,0.3
569009,0.7
73516,0.5
197894,0.6
528312,0.3
77050,0.3
532712,0.4
15562,0.2
191757,0.2
51531,0.4
282578,0.5
528437,0.3
191339,0.0
220260,0.2
339649,0.4
117946,1.1
460187,0.2
224645,0.3
190497,0.3
39261,0.1
475087,0.5
372109,0.2
189197,0.2
524762,0.2
509212,0.5
296601,0.4
489562,0.5
521462,0.5
426365,0.2
561712,0.3
211626,0.5
461312,0.2
462162,0.6
360124,0.2
483012,0.7
143950,0.1
479087,0.3
562502,0.4
254392,0.3
530762,0.4
419091,0.2
484712,0.3
196621,0.1
572231,0.8
148189,0.2
109989,0.3
231466,0.3
101315,0.2
391041,0.1
556262,0.2
289822,0.2
321835,0.3
298798,0.2
558037,0.3
531162,0.5
312364,0.5
114733,0.6
530812,0.5
210946,0.3
563240,0.8
111368,0.3
455687,0.3
213004,0.4
199322,0.5
314718,0.2
114639,0.4
445412,0.2
457912,0.8
226403,0.2
529087,1.4
400404,0.3
518462,0.3
151045,0.3
84652,0.3
6172,0.3
72979,0.2
223456,0.1
572528,0.9
67543,0.5
134094,0.5
251912,0.4
164191,0.4
184248,0.6
326062,0.2
507812,0.4
522887,0.1
576977,0.6
301426,0.1
510312,0.2
507162,0.1
387556,0.2
11082,0.2
74526,0.3
557587,0.3
419892,0.2
19952,0.0
251412,0.3
467737,0.2
341738,0.3
288845,0.2
131070,0.4
229197,0.1
440716,0.2
543112,0.2
214119,0.5
73123,0.4
164963,0.3
129965,0.5
534587,0.5
566390,0.7
124103,0.2
205259,0.6
493212,0.5
329292,0.2
350130,0.2
573545,0.2
377065,0.5
429000,0.2
112677,0.3
59226,0.3
573590,0.3
226226,0.2
137184,0.1
269981,0.2
526012,0.3
397004,0.2
179801,0.3
574886,0.7
111188,0.3
490712,0.7
496737,0.3
347966,0.1
40745,0.2
73931,1.2
63240,0.1
536687,0.6
68708,0.1
302668,0.2
429121,0.2
251376,0.3
107029,0.2
243901,0.2
534487,0.5
538562,0.1
85936,1.3
338119,0.2
441828,0.2
77739,0.3
556762,0.2
395255,0.2
96347,0.2
279069,0.6
441314,0.2
471587,0.4
105457,0.1
333457,0.1
323316,0.2
76302,0.5
162684,0.3
275742,0.2
483512,0.2
181688,0.1
412049,0.2
572339,0.9
71899,0.3
440528,0.2
496687,0.3
175366,0.3
488762,0.5
335095,0.1
492387,1.2
18786,0.4
572690,0.9
562160,0.6
510612,0.4
273685,0.5
572807,0.8
548087,0.4
297111,0.4
512662,0.2
70154,0.2
394660,0.2
285504,0.2
532962,0.2
357685,0.2
81226,0.4
99164,0.3
572609,0.9
467712,0.1
267417,0.3
209080,0.7
221591,0.2
157762,0.4
306973,0.4
227569,0.4
440573,0.3
567056,0.9
96884,0.3
34119,2.3
203523,0.6
298968,0.1
504112,0.3
362079,0.2
42543,0.3
552337,0.2
549212,1.1
575687,0.7
496487,0.5
297232,0.4
541062,0.1
290759,0.5
270875,0.1
441587,0.3
22759,0.2
463337,0.2
196740,0.2
408564,0.3
213951,0.3
137114,0.2
117827,1.1
2683,0.3
206925,0.2
573635,0.8
494612,0.5
303864,0.1
246994,1.4
97086,0.1
254502,0.6
62492,0.3
513837,0.3
39142,0.2
474612,1.6
546987,0.6
139431,0.1
167651,0.2
146687,0.1
467612,0.2
19631,0.2
557387,0.4
203413,0.3
529687,0.7
576749,1.1
250133,0.4
97562,0.1
168747,0.5
379700,0.3
225799,0.3
411235,0.7
565895,0.7
217952,0.2
136663,0.2
552562,0.4
116186,0.2
398328,0.3
537087,0.2
280827,0.3
81498,0.3
213821,0.2
169140,0.6
298288,0.2
233013,0.4
385310,0.2
92719,0.2
568739,0.7
524937,0.2
460437,0.3
473112,0.4
486262,0.3
117888,0.5
9030,0.4
88103,0.5
83929,0.1
259253,0.4
16909,0.5
283802,0.3
199477,0.2
302962,0.1
544737,0.2
75716,1.0
122129,0.3
5790,0.3
574607,0.6
576308,0.9
421046,0.2
571016,0.7
317657,0.3
546462,0.2
107443,0.4
503112,0.2
512862,1.3
379906,0.2
576353,1.0
152497,0.3
272684,0.1
372825,0.5
84737,0.4
169854,0.1
576218,0.4
118651,0.3
174652,0.3
427251,0.2
352693,0.1
527687,0.4
482812,0.3
505062,0.3
326693,0.1
502862,0.2
501237,0.2
17715,0.1
19750,0.2
15636,0.6
60469,0.2
85579,0.4
385565,0.2
80036,0.5
184962,0.4
346763,0.2
209114,0.3
248180,0.4
566651,0.8
562943,0.5
147987,0.1
19393,0.3
547837,0.4
411745,0.2
539112,0.1
201082,0.8
24721,0.2
341045,0.2
3168,0.2
466337,0.1
573833,0.5
291622,0.8
471137,0.0
473387,0.2
226513,0.2
531312,0.6
258182,0.5
448187,0.3
87032,0.2
331283,0.1
76183,0.5
239804,0.2
555662,0.2
379190,0.3
115032,0.2
495587,0.8
251946,0.2
548187,0.9
127774,0.3
208555,1.0
330858,0.2
92218,0.8
481362,0.1
318592,0.6
484287,0.5
84627,0.3
215700,0.2
471362,0.3
576911,0.7
34797,0.6
268628,0.2
284552,0.2
481587,0.9
476537,0.5
91376,0.1
266431,0.5
518837,0.1
527662,0.4
164988,0.3
418787,0.2
66200,0.3
15789,0.1
495987,0.3
290383,0.3
517237,0.5
381266,0.3
549187,0.8
197027,0.3
274231,0.2
70367,0.3
55670,0.4
74050,1.5
274884,0.2
444587,0.3
525087,0.0
214189,0.2
155372,0.1
438435,0.3
474962,0.8
338835,0.2
493012,0.4
309706,0.2
271196,0.2
178783,0.2
61015,0.1
101196,0.3
203096,0.3
112998,0.6
565175,0.4
445787,0.6
187125,0.2
131510,0.3
492487,0.7
567191,0.7
418957,0.3
269817,0.4
179140,0.5
512637,0.3
289263,0.2
358159,0.2
73922,0.5
43388,0.2
535862,0.3
504312,0.3
382590,0.1
520137,0.3
496587,0.8
64834,0.2
524912,0.3
227297,0.2
569306,0.9
81235,0.5
224654,0.2
173260,0.2
441067,0.2
477662,0.3
201345,0.8
194241,0.2
452087,0.4
374525,0.3
394526,0.2
148546,0.2
569018,0.6
269677,0.3
297742,0.4
164716,0.5
291998,0.3
339260,0.2
155134,0.1
238306,0.3
58512,0.3
469312,0.1
333287,0.1
529812,0.2
132260,0.1
13340,0.2
87117,0.4
521737,0.3
39106,0.3
263263,0.4
465562,0.1
308078,0.2
214952,0.3
22249,0.5
462337,0.3
404108,0.3
296176,0.2
114019,0.5
469387,0.1
36656,0.2
565346,0.3
369559,0.3
75359,0.2
464562,0.2
507837,0.6
45833,0.2
206330,0.2
21831,0.1
531937,0.4
521762,0.3
561037,1.3
476487,0.6
40022,0.6
265955,0.5
95862,0.2
68852,0.3
62813,0.3
143712,0.1
85341,0.3
73812,0.9
211779,0.5
49352,0.3
224917,0.2
110346,0.6
516512,0.7
515387,0.2
577091,0.5
36393,0.1
240933,0.3
18429,0.1
291233,0.5
460112,0.2
440515,0.4
403039,0.2
64513,0.3
250014,2.0
384666,0.2
572015,1.0
78013,0.2
174176,0.3
21261,0.2
178628,0.3
313165,0.4
367676,0.2
51614,0.2
98242,0.3
177413,0.1
448062,1.0
182472,0.1
469662,0.3
244767,0.5
237067,0.2
436905,0.3
255454,0.5
298543,0.1
543862,0.6
187363,0.1
310373,0.1
15944,0.2
469837,0.3
199679,0.4
350532,0.3
421726,0.2
329207,0.2
186826,0.5
571511,0.8
563762,1.3
168832,0.9
185566,0.1
45238,0.9
569459,0.6
485812,0.2
553237,0.9
12058,0.7
99025,0.4
143154,0.2
373675,0.2
571691,0.8
377951,0.2
5314,0.2
512987,1.5
415181,0.2
491362,0.7
111536,0.4
440287,0.2
571988,1.0
295532,0.3
107242,0.2
128726,0.2
41270,0.5
169021,0.4
288513,0.5
198965,0.6
151698,0.4
518012,0.5
200429,0.1
56049,0.2
542337,0.2
333032,0.1
339090,0.2
447787,0.4
319442,0.2
153364,0.4
201439,0.5
71814,0.2
458987,1.2
499937,0.2
98013,0.5
300024,0.1
291913,0.6
126568,0.3
87627,0.6
288668,0.2
391,0.3
419467,0.2
541137,0.3
282374,0.7
418702,0.2
303779,0.2
547162,0.2
577250,0.8
284635,0.2
565049,0.2
216023,0.6
217512,0.2
470462,0.2
257776,0.3
414367,0.2
175045,0.2
284363,0.6
446037,0.3
565715,0.7
534712,0.2
437245,0.2
320122,0.2
180678,0.1
244922,0.3
519037,0.0
467987,0.1
403549,0.3
38486,0.2
52862,0.2
275351,0.4
498112,0.2
513187,0.4
193542,0.4
84286,0.4
249062,0.6
447637,0.4
78453,0.5
397429,0.2
195361,0.5
562979,0.8
253703,0.4
529837,0.3
22734,0.4
287051,0.6
151011,0.4
312995,0.4
259015,0.5
29402,5.2
497837,0.5
41746,0.7
185438,0.3
5375,0.2
303354,0.1
562313,0.6
370275,0.2
210674,0.4
51816,0.3
484762,0.4
330652,0.2
45561,0.3
248263,0.5
121061,0.4
42806,0.4
198574,0.3
30933,0.3
192709,0.3
494162,0.5
222756,0.2
42433,0.5
143914,0.2
302047,0.3
547962,0.3
192599,0.2
383221,0.2
334500,0.2
45799,0.4
172512,0.3
404739,0.2
200191,0.3
302364,0.3
552837,0.2
344092,0.4
106196,0.2
549987,0.2
267453,0.2
91565,0.3
569621,0.9
460062,0.1
383610,0.2
20394,0.8
409790,0.3
112165,0.6
456962,0.6
203651,0.2
133057,0.2
464362,0.3
56395,0.4
408940,0.4
