,pm10
158220,20
66855,4
59339,22
38392,32
761,9
12659,12
169195,27
129978,6
13494,33
5335,40
47341,55
970,12
160145,19
39271,14
138745,30
37576,39
155670,21
18062,23
386,10
37990,26
150795,22
64851,16
5274,72
169745,33
156645,18
1080,18
141920,23
46046,10
20947,41
812,16
81823,23
207,40
1009,9
21872,23
116392,21
122164,6
90840,33
42188,12
26896,15
11455,17
72019,51
136557,8
36324,20
118120,18
191,41
64022,21
1098,8
106614,19
146195,21
49527,59
103859,15
58728,10
168770,13
170270,24
3621,13
85126,15
30053,22
159495,23
129942,7
139920,30
99855,27
125315,8
91353,22
26968,12
59767,44
169520,36
88,26
98230,13
157170,13
80736,13
23822,26
96090,17
56990,19
42786,16
32870,15
12025,36
40467,30
43531,16
73178,15
88507,67
137309,12
6657,45
66097,32
20257,20
146770,18
130579,8
67391,13
96839,20
78612,31
50539,20
22558,98
19532,25
106846,14
9907,24
959,19
7581,33
111958,15
94533,32
139270,26
144595,7
78220,22
21717,27
130527,12
40529,54
4507,17
135224,20
35554,20
79906,10
76097,64
820,29
48367,67
992,11
63996,17
86678,23
801,19
2771,17
49697,24
104960,40
167070,28
392,18
434,18
1104,22
563,13
60609,63
79726,11
164645,52
4817,32
79710,15
572,18
9724,71
53761,22
378,18
119922,15
17829,13
169170,27
121872,23
5189,51
118452,21
1064,16
165320,22
42106,13
737,10
352,39
49955,35
33431,45
114262,16
63032,27
159920,14
140120,49
167595,19
147245,38
103480,26
152845,20
118488,20
4176,12
774,19
137679,16
144695,25
100783,22
54957,42
600,16
4078,20
84829,9
141970,28
81017,12
46168,12
162495,31
159420,33
137583,10
138870,20
71676,15
149370,23
15211,14
903,17
156820,17
135490,10
72225,44
78478,54
8685,18
15404,20
93457,8
142395,22
97534,15
54456,12
90245,17
66133,23
125811,35
1071,17
31612,13
66597,15
156670,18
74643,32
71090,19
99329,36
138295,22
75999,22
246,20
821,30
154320,8
65280,41
154445,16
141445,9
20368,20
72140,14
42152,23
39918,12
159,14
20714,21
29598,25
168670,15
149970,19
100293,30
56425,20
1366,13
105433,25
54920,24
944,15
2919,27
152870,23
84598,53
446,17
118817,18
23182,36
229,29
334,15
161445,22
941,17
49295,39
74888,21
98535,18
3151,83
54261,11
133514,26
606,22
55152,15
128142,21
129897,5
76365,23
980,25
114076,21
137436,32
5763,7
84360,33
1093,15
169695,26
161770,20
121076,6
63630,11
22296,10
66829,6
338,17
99390,25
594,33
43861,41
20282,30
724,22
141670,23
164870,79
62898,37
5424,38
200,35
46400,15
137442,33
367,17
88752,43
87778,12
54216,11
71444,11
693,52
69749,36
114515,18
124239,25
151795,9
129296,14
71761,21
160695,19
24419,32
892,18
33493,60
135066,55
146670,22
145745,30
165245,18
683,21
98303,13
137328,41
324,33
145620,26
138070,11
1037,8
77772,17
91072,12
149645,13
145995,21
78896,25
869,14
34,16
54627,8
1005,102
130466,10
94219,20
34689,40
38856,27
137315,18
65816,14
55457,8
104006,34
65512,12
120361,31
30965,47
94594,21
116172,18
88275,17
149,24
143845,18
81824,90
155720,20
131901,15
21284,25
13787,30
39088,12
135393,18
166145,7
1006,18
90255,24
98901,35
14918,20
74375,107
28145,44
56242,20
214,26
76231,18
733,22
153495,24
984,26
136945,8
71261,57
138595,15
2514,42
102149,15
86,34
597,19
43397,70
63,12
3065,16
85276,16
127,23
743,14
601,15
121726,25
163920,23
937,11
104568,14
37843,34
144995,18
99845,11
124909,19
63398,11
47393,13
140520,17
499,13
