,ozone
3471,55.99999999999999
5648,37.00000000000001
3026,40.0
4593,21.0
4699,36.00000000000001
7644,28.0
4050,44.00000000000001
5437,31.0
5626,32.0
4264,38.0
1496,35.0
2028,44.00000000000001
2628,35.0
4964,23.0
8148,74.00000000000001
4681,57.99999999999999
5492,26.0
4258,26.0
6824,46.0
3271,43.0
4857,12.0
8155,78.0
1996,29.0
7180,55.0
6596,21.0
6692,19.0
4996,40.99999999999999
3688,67.0
5919,37.00000000000001
8332,31.0
2055,75.0
5176,42.0
4484,35.0
2716,25.0
8534,22.0
8558,12.0
1877,45.0
7364,24.0
1968,22.0
2008,23.0
4004,9.000000000000002
7145,40.0
2151,51.0
6664,16.0
4437,40.99999999999999
2639,29.0
5598,34.0
3646,37.00000000000001
3344,30.0
4196,46.0
3913,40.0
8626,22.0
4334,54.00000000000001
4890,44.00000000000001
1966,22.0
7624,5.0
4806,25.0
6125,48.0
8189,30.0
6495,40.0
8370,33.0
8438,48.0
5935,64.0
6235,52.00000000000001
2014,24.0
6871,45.0
6516,31.0
7625,5.0
3215,35.0
7642,28.0
1574,34.0
4537,61.0
3464,54.00000000000001
7674,18.0
3855,11.0
7374,27.0
5634,34.0
6226,46.0
4436,40.99999999999999
2570,32.0
3839,37.00000000000001
1533,37.00000000000001
2644,91.0
6182,57.0
4362,20.0
1671,48.0
4848,17.0
8554,37.00000000000001
3097,37.00000000000001
3896,20.0
7566,88.00000000000001
6089,24.0
6725,18.0
3337,62.0
5912,40.99999999999999
3266,51.0
2685,55.0
2330,19.0
2169,32.0
2301,19.0
2200,32.0
6615,28.0
6242,48.0
7526,29.0
3268,53.0
3628,52.00000000000001
4241,61.0
6538,46.0
5797,44.00000000000001
8622,31.0
4858,12.0
3062,26.0
2909,40.99999999999999
8027,44.00000000000001
1982,22.0
2164,42.0
2223,14.0
5950,20.0
2313,32.0
2064,57.0
4711,38.0
7341,48.0
2277,31.0
8284,29.0
6700,27.0
1805,37.00000000000001
3865,22.0
4179,40.0
7229,47.0
5768,53.0
3682,86.0
4687,86.0
4043,29.0
8479,35.0
3137,31.0
7617,45.0
5929,32.0
2172,31.0
6295,40.0
6297,25.0
4268,43.0
8065,49.0
1690,47.0
2832,24.0
4656,22.0
1662,43.0
4999,33.0
3412,45.0
6052,36.00000000000001
5947,18.0
8179,23.0
3833,28.0
6675,32.0
8656,29.0
8144,60.0
8428,43.0
4585,28.0
4008,23.0
4189,49.0
5143,32.0
6092,22.0
2253,21.0
3470,32.0
7053,29.0
8116,39.0
6854,49.0
7077,21.0
2162,42.0
4574,57.99999999999999
4562,26.0
5403,50.0
6599,27.0
8594,42.0
4160,40.99999999999999
6397,40.0
7044,29.0
3547,38.0
4091,13.0
7394,23.0
6075,31.0
6307,13.0
2498,23.0
1836,28.0
4821,16.0
4603,12.0
5829,36.00000000000001
5800,51.0
6859,33.0
5713,31.0
6603,26.0
5908,18.0
5205,28.0
2228,31.0
6138,24.0
4209,42.0
5272,21.0
4599,15.0
1794,55.0
4303,54.00000000000001
7589,23.0
7529,37.00000000000001
4679,54.00000000000001
5074,39.0
4192,44.00000000000001
8021,57.99999999999999
4102,46.0
8241,64.0
2386,22.0
2986,42.0
7237,53.0
6357,28.0
4447,57.0
5067,40.0
8177,22.0
2446,33.0
1754,61.0
3695,26.0
1965,23.0
6877,44.00000000000001
8044,59.00000000000001
3223,40.0
1815,34.0
4124,26.0
2655,57.0
7185,37.00000000000001
2467,33.0
2100,40.0
4260,26.0
7198,55.0
2342,33.0
3355,49.0
6838,48.0
3902,27.0
8403,35.0
1827,55.99999999999999
6149,39.0
8427,43.0
7546,21.0
6310,20.0
8153,68.0
7381,23.0
7315,42.0
3588,22.0
8583,24.0
3143,18.0
6458,28.0
4059,19.0
3860,10.0
6084,21.0
4698,39.0
1729,53.0
1884,28.0
8105,25.0
5096,73.0
3260,40.99999999999999
8520,33.0
3351,55.0
3138,31.0
2913,15.0
7573,37.00000000000001
1998,29.0
7492,21.0
5827,47.0
4111,30.0
5694,32.0
3570,20.0
5957,26.0
6070,24.0
2352,22.0
2225,11.0
4501,52.00000000000001
3269,53.0
3424,57.0
6535,35.0
2787,74.00000000000001
6849,38.0
5482,34.0
6337,36.00000000000001
2851,32.0
5175,42.0
7602,40.0
2229,31.0
4745,30.0
5476,38.0
7223,28.0
4478,34.0
5030,30.0
8133,48.0
8546,39.0
2241,22.0
4768,20.0
4237,64.0
2369,36.00000000000001
4014,23.0
6789,27.0
3616,34.0
2897,43.0
5515,2.0
7391,23.0
8400,43.0
6395,36.00000000000001
6630,25.0
5629,33.0
3425,57.0
5761,42.0
4978,40.99999999999999
6653,21.0
3357,31.0
4651,32.0
4193,44.00000000000001
6457,49.0
2353,22.0
4504,57.99999999999999
5128,26.0
7244,55.0
5456,37.00000000000001
6140,23.0
5258,27.0
2274,32.0
1488,30.0
4350,18.0
3740,29.0
5681,35.0
2863,32.0
5318,77.0
1771,33.0
8333,31.0
5963,34.0
6872,45.0
8106,25.0
3041,34.0
2701,67.0
4145,42.0
7305,26.0
2682,38.0
6808,52.00000000000001
4663,35.0
6712,28.0
5142,32.0
3923,27.0
4834,2.0
6681,18.0
8331,35.0
2573,32.0
7334,30.0
4650,28.0
7450,85.0
7232,24.0
5233,19.0
5509,39.0
6247,33.0
3904,33.0
6097,18.0
4988,13.0
3949,31.0
8096,26.0
5177,54.00000000000001
8496,30.0
2487,44.00000000000001
1995,27.0
3213,22.0
2254,21.0
1673,42.0
7050,29.0
5891,42.0
8518,36.00000000000001
3320,45.0
3585,24.0
7072,39.0
7466,67.0
2474,53.0
4243,59.00000000000001
4225,54.00000000000001
3507,18.0
4736,36.00000000000001
5536,47.0
3415,33.0
8357,79.0
7278,57.0
4324,28.0
8389,30.0
5900,43.0
8202,21.0
8243,59.00000000000001
3091,36.00000000000001
3043,31.0
2159,34.0
2074,55.99999999999999
3295,40.99999999999999
5914,51.0
2145,40.99999999999999
8245,47.0
2821,53.0
3939,36.00000000000001
6669,21.0
2177,47.0
4180,40.0
6716,55.0
7587,36.00000000000001
8580,42.0
6826,31.0
2092,54.00000000000001
3127,25.0
5406,47.0
6579,31.0
2339,39.0
8122,38.0
4312,55.99999999999999
8278,29.0
6253,34.0
3721,46.0
2437,40.0
7600,34.0
8252,46.0
3236,26.0
3346,19.0
5491,26.0
3007,40.99999999999999
8265,31.0
2261,15.0
3761,38.0
8653,44.00000000000001
2712,22.0
4673,47.0
8288,24.0
2929,50.0
6393,36.00000000000001
8662,57.99999999999999
1615,32.0
3059,27.0
6483,25.0
8467,22.0
6550,31.0
4704,40.0
5969,38.0
4524,20.0
1551,40.99999999999999
4582,18.0
2911,26.0
7490,18.0
4765,15.0
1558,28.0
5639,30.0
2406,27.0
3753,66.0
5270,21.0
5202,16.0
3611,52.00000000000001
7487,25.0
2548,43.0
8511,40.99999999999999
1522,24.0
3336,62.0
3781,35.0
3577,68.0
5167,60.0
3636,33.0
4255,25.0
2281,40.99999999999999
8151,68.0
5525,28.0
5050,24.0
3354,55.0
1906,16.0
4917,33.0
1814,34.0
7688,28.0
8637,40.0
4808,27.0
2318,25.0
4817,35.0
5858,40.99999999999999
5157,51.0
2745,38.0
5878,43.0
1653,36.00000000000001
4803,15.0
1501,38.0
3313,55.0
3447,31.0
8434,15.0
3419,43.0
8650,47.0
4528,27.0
5980,54.00000000000001
7352,29.0
6043,27.0
4149,23.0
6718,25.0
4780,29.0
3034,31.0
3835,31.0
3281,50.0
4329,19.0
7184,53.0
1531,36.00000000000001
7054,29.0
3146,24.0
8203,37.00000000000001
4927,35.0
7613,37.00000000000001
3924,27.0
6348,19.0
3751,51.0
2893,53.0
4553,21.0
7413,38.0
2646,40.99999999999999
8081,31.0
6004,21.0
7040,26.0
3774,36.00000000000001
2739,30.0
7069,35.0
4954,20.0
4632,27.0
6474,32.0
7300,36.00000000000001
4720,23.0
3314,55.0
5904,25.0
5425,47.0
5802,48.0
6257,48.0
3416,43.0
2472,46.0
6151,35.0
3526,71.0
8392,37.00000000000001
3988,31.0
8279,29.0
4576,57.99999999999999
4208,42.0
3834,31.0
2233,37.00000000000001
7685,21.0
2319,25.0
5866,59.00000000000001
6057,25.0
5373,62.0
3323,34.0
7064,35.0
3737,29.0
5530,45.0
2024,55.0
2192,40.0
3270,53.0
7572,37.00000000000001
8422,45.0
3812,38.0
3492,22.0
2268,28.0
5846,32.0
5326,57.99999999999999
2120,55.0
8461,48.0
