,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
182,23.1874,0.303397,47.4841,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
8,26.41,0.269475,40.01,-0.27313675764105705,69.21526666666666,0,0.0,0,98.0,0,2.46,13.0,1,1,1,1,1,1,0,1
124,26.0687,0.478149,62.1223,-0.3154827110295114,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
120,22.378,1.34243,62.233000000000004,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
300,28.1,0.43239099999999997,48.1576125,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,0,1
96,24.1536,0.508026,60.0728,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
40,23.8209,0.268331,49.8858,2.0216341894575898,84.6884,0,0.0,1,79.0,0,2.68,11.0,1,1,1,1,1,1,0,1
70,18.4841,1.41117,50.06399999999999,-0.27313675764105705,62.46099999999999,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
100,23.8387,0.508026,63.76,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
114,22.8406,0.685132,61.6345,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
134,21.3312,0.126272,56.1524,-0.4019887589687948,81.30216666666666,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,0,1
194,23.4536,0.74341,59.8385,1.2593060828192524,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
298,28.1,0.232073,48.1576125,0.3354252245787829,66.99273333333333,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
280,29.5,0.586394,44.184852500000005,1.580527437333074,67.80953333333333,0,0.0,0,95.0,0,3.58,10.1,1,1,1,1,1,1,0,1
72,23.9768,0.49498400000000004,35.3738,-0.3368789794093656,49.08726666666666,0,0.01,0,76.0,0,10.74,19.9,0,0,0,0,1,1,0,1
222,26.4379,2.7444599999999997,58.5448,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
106,24.1298,0.181107,49.8267,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
236,25.1701,0.4682939999999999,52.3049,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
306,27.1,0.0819875,49.3991,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
370,15.56,0.538365,56.5997275,-1.95532484351693,87.94443333333334,0,0.34,0,96.0,1,5.59,25.1,1,1,1,1,1,1,0,1
52,25.9881,0.315384,58.453,-0.5596056773548868,72.0,0,0.35,0,81.0,1,10.29,28.0,1,1,1,1,1,1,0,1
398,23.271005263157893,0.0988269,53.6175447368421,-0.06978868503678777,82.02173333333333,0,0.0,0,60.0,0,4.47,16.1,0,0,0,0,1,1,1,0
130,24.3586,0.547251,55.6623,-0.5137235184415546,77.26243333333333,0,0.0,0,82.0,0,4.92,14.1,1,1,1,1,1,1,1,0
312,26.7,0.530459,49.895695,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
50,22.5091,0.18366300000000002,50.5321,0.9034320252813308,64.87196666666667,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
274,25.6,0.273528,41.2052825,0.4037778383204212,63.82636666666667,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
288,25.6,1.14465,46.41953,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
94,21.1,0.344464,54.22433333333333,-0.954575720908975,80.57823333333333,0,0.0,1,75.0,0,5.82,16.1,1,1,1,1,1,1,1,0
26,25.9376,0.237783,39.2986,1.4237877392566607,50.96453333333333,0,0.0,0,93.0,0,6.26,15.0,0,0,0,0,1,1,0,1
74,23.9768,0.49498400000000004,35.3738,0.694349742359301,47.7878,0,0.01,0,76.0,0,10.74,19.9,0,0,0,0,1,1,0,1
144,23.1544,0.5598069999999999,57.0827,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
