,aqi_pm25
773554,safe
1156198,safe
1011741,unhealthy for sensitive groups
1142122,safe
37836,safe
954587,unhealthy for sensitive groups
33786,safe
990335,safe
50070,unhealthy for sensitive groups
469985,safe
118935,unhealthy for sensitive groups
1033579,unhealthy for sensitive groups
39429,safe
170281,safe
110285,safe
41130,safe
685080,safe
303260,safe
346268,unhealthy for sensitive groups
511054,unhealthy for sensitive groups
1067715,safe
135666,safe
9774,safe
699224,safe
12348,safe
816084,safe
1074416,unhealthy for sensitive groups
135828,safe
621979,safe
1150266,safe
1157721,safe
531077,safe
177986,unhealthy for sensitive groups
391718,safe
739192,unhealthy for sensitive groups
1011811,safe
38988,safe
928336,unhealthy for sensitive groups
138209,unhealthy for sensitive groups
17919,safe
11808,safe
1022233,unhealthy for sensitive groups
613572,safe
1114343,safe
1129250,safe
1131088,unhealthy for sensitive groups
780765,safe
4149,unhealthy for sensitive groups
1076062,unhealthy for sensitive groups
869596,safe
455000,safe
372984,unhealthy for sensitive groups
387064,unhealthy for sensitive groups
814780,safe
1062,safe
1082024,unhealthy for sensitive groups
415754,safe
476491,safe
154430,safe
1039127,unhealthy for sensitive groups
724077,safe
756196,unhealthy for sensitive groups
1077511,unhealthy for sensitive groups
1051630,unhealthy
1048553,unhealthy for sensitive groups
307670,unhealthy for sensitive groups
325332,safe
587018,safe
34065,safe
183269,safe
316923,unhealthy for sensitive groups
74176,safe
403945,unhealthy for sensitive groups
702541,safe
1013352,unhealthy for sensitive groups
790543,safe
938022,safe
327431,safe
1025577,unhealthy for sensitive groups
760998,safe
181120,safe
161248,safe
562966,unhealthy for sensitive groups
444403,unhealthy for sensitive groups
1123145,safe
1040002,safe
29952,safe
1350,safe
912960,safe
1052042,unhealthy for sensitive groups
683457,safe
1042730,safe
228254,unhealthy for sensitive groups
144220,unhealthy for sensitive groups
1161075,safe
970968,unhealthy for sensitive groups
116391,safe
91332,unhealthy for sensitive groups
427872,safe
606511,safe
44750,safe
344578,safe
512362,safe
678004,safe
946889,safe
292355,safe
254998,safe
655573,safe
229403,unhealthy for sensitive groups
330352,safe
323459,unhealthy for sensitive groups
187593,unhealthy for sensitive groups
347236,safe
985871,safe
247746,unhealthy for sensitive groups
1160914,safe
125931,unhealthy for sensitive groups
162557,unhealthy for sensitive groups
1056860,safe
394404,safe
365783,unhealthy for sensitive groups
63747,safe
143596,safe
1066057,safe
354292,safe
107251,safe
1079581,safe
488016,safe
1084924,unhealthy for sensitive groups
241393,safe
361317,safe
270722,safe
1089692,unhealthy for sensitive groups
517078,safe
261269,safe
75001,safe
26883,safe
282304,unhealthy for sensitive groups
737675,safe
1084104,safe
931039,safe
345538,safe
56575,safe
856092,safe
103806,unhealthy for sensitive groups
1102455,safe
447981,unhealthy for sensitive groups
564191,safe
529201,safe
20538,safe
599759,safe
268270,safe
1004905,safe
756,safe
102432,unhealthy for sensitive groups
1003332,safe
111361,unhealthy for sensitive groups
1092418,safe
548298,safe
1026758,safe
152709,unhealthy for sensitive groups
222478,safe
1149281,safe
252523,safe
1073476,safe
433369,safe
1100762,unhealthy for sensitive groups
1120122,safe
70104,safe
652747,safe
1032768,safe
997752,safe
859375,safe
936245,unhealthy for sensitive groups
88977,unhealthy for sensitive groups
780361,safe
1002490,safe
353285,safe
1069913,safe
1089877,unhealthy for sensitive groups
289659,unhealthy for sensitive groups
23931,safe
965650,unhealthy for sensitive groups
245515,unhealthy for sensitive groups
974469,safe
229560,unhealthy for sensitive groups
739549,unhealthy for sensitive groups
28008,safe
385172,unhealthy for sensitive groups
455318,safe
1013986,unhealthy for sensitive groups
677814,safe
618698,safe
1027254,safe
1107224,safe
671192,unhealthy for sensitive groups
723199,safe
205088,safe
445070,unhealthy for sensitive groups
193674,safe
794713,safe
1122529,safe
99189,unhealthy for sensitive groups
39051,safe
1079278,safe
1078573,safe
973378,safe
227945,unhealthy for sensitive groups
402741,unhealthy for sensitive groups
846211,safe
422481,safe
1155030,safe
263005,safe
1016529,unhealthy for sensitive groups
1038746,safe
341167,safe
1032543,safe
1099069,safe
1026784,safe
616541,safe
54516,safe
472808,safe
1157168,safe
347122,safe
1055100,safe
1099401,unhealthy for sensitive groups
354137,unhealthy for sensitive groups
958152,unhealthy for sensitive groups
203667,safe
721496,safe
667668,safe
462804,safe
322848,unhealthy for sensitive groups
846581,safe
997491,safe
13212,unhealthy for sensitive groups
257024,safe
608747,safe
685096,safe
493199,unhealthy for sensitive groups
1056990,safe
200524,safe
308342,unhealthy for sensitive groups
372039,unhealthy for sensitive groups
867414,safe
34272,safe
1016363,safe
104402,unhealthy for sensitive groups
17910,safe
370228,safe
148226,safe
1099706,unhealthy for sensitive groups
72862,safe
1130057,safe
263299,safe
17388,safe
335950,unhealthy for sensitive groups
1145734,unhealthy for sensitive groups
1053724,safe
437361,safe
453207,safe
807384,safe
1063747,safe
1153589,safe
912961,safe
305213,safe
561939,safe
15372,unhealthy for sensitive groups
952924,unhealthy for sensitive groups
660899,unhealthy for sensitive groups
774279,safe
624364,safe
8559,safe
734784,safe
1157449,safe
751613,safe
963063,safe
752834,safe
1093977,safe
23328,safe
870791,safe
649851,unhealthy for sensitive groups
932038,safe
788768,safe
933796,safe
483213,unhealthy for sensitive groups
391006,unhealthy for sensitive groups
564657,safe
941384,safe
891860,unhealthy for sensitive groups
1014333,safe
765659,safe
1141277,safe
308501,safe
480468,safe
1104821,safe
424984,safe
976517,safe
126590,safe
706838,safe
595251,safe
394884,unhealthy for sensitive groups
239387,unhealthy for sensitive groups
238067,safe
673002,unhealthy for sensitive groups
421353,safe
1053217,unhealthy for sensitive groups
249726,safe
143373,safe
40275,safe
327658,unhealthy for sensitive groups
590848,safe
1103163,unhealthy for sensitive groups
477308,safe
372089,unhealthy for sensitive groups
466531,unhealthy for sensitive groups
8748,safe
1000560,safe
319506,unhealthy for sensitive groups
311614,unhealthy for sensitive groups
471140,safe
329694,safe
605790,safe
999628,unhealthy for sensitive groups
1083974,safe
102569,safe
1105988,unhealthy for sensitive groups
885687,unhealthy for sensitive groups
272068,safe
690718,safe
403312,unhealthy for sensitive groups
739274,unhealthy for sensitive groups
966785,safe
108304,safe
913907,safe
95667,unhealthy for sensitive groups
956466,safe
1021814,safe
264105,safe
190804,safe
642607,safe
31401,safe
1024738,unhealthy for sensitive groups
55929,safe
1111363,safe
1045036,unhealthy for sensitive groups
17343,safe
943420,safe
1242,safe
603447,unhealthy for sensitive groups
851463,safe
820147,safe
35091,safe
323747,unhealthy for sensitive groups
245873,unhealthy for sensitive groups
93737,unhealthy for sensitive groups
352355,safe
1014902,safe
725007,safe
682907,safe
744105,safe
502688,safe
408893,safe
525145,unhealthy for sensitive groups
88072,unhealthy for sensitive groups
1089067,unhealthy for sensitive groups
329425,safe
286931,safe
96025,safe
1162820,safe
986530,safe
93472,safe
151078,unhealthy for sensitive groups
454356,safe
294628,unhealthy for sensitive groups
213131,unhealthy for sensitive groups
1100167,safe
773143,safe
330108,safe
34623,safe
36828,safe
178854,safe
1025227,unhealthy for sensitive groups
1051888,unhealthy for sensitive groups
868024,safe
259865,unhealthy for sensitive groups
209111,unhealthy for sensitive groups
1108053,safe
629060,unhealthy for sensitive groups
693429,safe
887884,unhealthy for sensitive groups
1140955,safe
618952,safe
41805,safe
11016,safe
947433,safe
817244,unhealthy for sensitive groups
566888,safe
561560,safe
471535,safe
1165558,unhealthy for sensitive groups
1048838,safe
1165561,safe
848189,safe
429818,unhealthy for sensitive groups
1037562,safe
889427,safe
306365,safe
955228,safe
594127,safe
174509,safe
1111195,safe
28989,safe
375922,unhealthy for sensitive groups
392893,safe
1076296,safe
47281,unhealthy for sensitive groups
578401,safe
1035430,safe
981525,safe
1015303,safe
875693,unhealthy for sensitive groups
206986,safe
403178,unhealthy for sensitive groups
742313,safe
605285,safe
896191,safe
459094,unhealthy for sensitive groups
1025201,unhealthy for sensitive groups
999762,safe
1053819,safe
1132508,unhealthy for sensitive groups
1088912,unhealthy for sensitive groups
797052,safe
1144266,unhealthy for sensitive groups
1035976,unhealthy for sensitive groups
666042,unhealthy for sensitive groups
454964,safe
149015,safe
1000659,safe
809536,safe
1054595,safe
49834,safe
547936,safe
477136,safe
1000236,safe
316932,safe
190482,safe
542088,safe
1165121,safe
180433,unhealthy for sensitive groups
1085159,unhealthy for sensitive groups
537312,safe
1121467,safe
1165062,safe
662881,safe
1002766,safe
1071100,safe
1018233,safe
291040,unhealthy for sensitive groups
284576,unhealthy for sensitive groups
684283,unhealthy for sensitive groups
1145521,safe
22401,safe
1125110,safe
25578,safe
1047316,unhealthy for sensitive groups
503409,safe
1054255,safe
1105636,safe
1094037,unhealthy for sensitive groups
311816,unhealthy for sensitive groups
1008061,unhealthy for sensitive groups
216432,unhealthy for sensitive groups
433394,safe
43409,safe
1141048,safe
1093687,safe
678410,safe
1118902,safe
206648,safe
139870,unhealthy for sensitive groups
1111345,safe
363363,safe
1001120,safe
545368,safe
711113,safe
343027,safe
4464,safe
664689,safe
436224,safe
256356,safe
1054489,safe
650961,safe
3177,unhealthy for sensitive groups
895700,safe
41265,safe
1165789,unhealthy for sensitive groups
1051708,safe
92365,safe
290751,unhealthy for sensitive groups
54801,safe
1030628,safe
871011,safe
956564,safe
1001773,safe
496403,safe
1036587,safe
232270,unhealthy for sensitive groups
73902,safe
1142827,safe
205707,unhealthy for sensitive groups
986088,safe
593715,safe
450995,safe
1089937,safe
539697,safe
290282,unhealthy for sensitive groups
991402,safe
673153,safe
1000923,safe
895903,safe
39969,unhealthy for sensitive groups
36009,safe
30249,safe
7596,safe
738822,safe
235215,unhealthy for sensitive groups
916234,safe
831880,safe
548526,safe
1162675,safe
2637,safe
389870,safe
8433,safe
1033813,safe
746398,safe
993897,unhealthy for sensitive groups
992067,safe
1121894,safe
1139004,safe
999646,safe
30627,safe
782112,safe
776141,unhealthy for sensitive groups
388911,safe
113770,safe
708023,safe
20835,safe
170632,safe
1024068,unhealthy for sensitive groups
58768,unhealthy for sensitive groups
66100,safe
394098,safe
39195,safe
1050802,safe
141167,unhealthy for sensitive groups
929704,safe
604988,safe
521435,safe
214245,unhealthy for sensitive groups
484634,unhealthy for sensitive groups
1101364,unhealthy for sensitive groups
65219,unhealthy for sensitive groups
42470,safe
334113,safe
38934,safe
1037022,unhealthy for sensitive groups
591941,safe
388415,safe
39150,safe
1053138,safe
3744,unhealthy for sensitive groups
674699,unhealthy for sensitive groups
687719,safe
452262,safe
371656,safe
761170,safe
889662,safe
1117671,safe
1156155,safe
660699,unhealthy for sensitive groups
59400,safe
26811,safe
644925,unhealthy for sensitive groups
25614,safe
9054,safe
1035421,safe
889391,safe
523706,safe
454173,safe
1100029,unhealthy for sensitive groups
254964,safe
121812,safe
649389,safe
643229,safe
1059334,safe
884320,unhealthy for sensitive groups
75893,safe
371889,unhealthy for sensitive groups
1070086,safe
982598,safe
1027149,safe
683224,safe
65576,unhealthy for sensitive groups
840090,safe
555906,unhealthy for sensitive groups
1165020,unhealthy for sensitive groups
577028,unhealthy for sensitive groups
616265,safe
1147402,safe
452735,safe
62551,safe
5346,safe
520564,unhealthy for sensitive groups
1112532,unhealthy for sensitive groups
157998,unhealthy for sensitive groups
1116399,safe
150177,safe
564077,safe
611988,safe
731462,safe
1057835,safe
444833,safe
108230,safe
1012081,unhealthy for sensitive groups
956784,unhealthy for sensitive groups
163398,unhealthy for sensitive groups
61322,safe
788109,safe
25083,safe
1108594,safe
346886,safe
1160490,unhealthy for sensitive groups
815275,safe
181665,safe
114007,unhealthy for sensitive groups
1166424,unhealthy for sensitive groups
436700,safe
442163,safe
708121,safe
931128,safe
1057224,unhealthy for sensitive groups
1011950,safe
403766,safe
1092488,safe
416254,safe
790478,safe
303422,safe
950328,safe
380488,unhealthy for sensitive groups
23886,safe
996860,safe
379312,safe
1047107,safe
1107895,safe
1090572,unhealthy for sensitive groups
468550,safe
1001999,safe
26541,safe
1029578,safe
1017328,safe
900798,safe
122272,safe
1007746,safe
804328,safe
1011201,safe
1064847,safe
1001713,safe
506099,safe
298627,unhealthy for sensitive groups
395144,unhealthy for sensitive groups
999399,safe
247487,safe
237757,unhealthy for sensitive groups
1038127,safe
135657,safe
232864,unhealthy for sensitive groups
1005316,safe
1065312,safe
1071272,safe
352689,safe
259339,safe
1157134,safe
1000363,safe
1014386,unhealthy for sensitive groups
1029918,unhealthy for sensitive groups
747550,safe
620217,safe
630396,safe
486929,safe
634482,safe
219301,unhealthy for sensitive groups
984753,safe
575993,unhealthy for sensitive groups
70678,unhealthy for sensitive groups
63560,safe
338297,safe
506464,safe
1023364,unhealthy for sensitive groups
284885,unhealthy for sensitive groups
421649,safe
969963,safe
222793,safe
1044671,safe
370653,safe
182273,safe
582799,unhealthy for sensitive groups
1035080,safe
286459,unhealthy for sensitive groups
1053783,safe
781082,safe
341925,safe
807636,safe
465715,safe
156509,unhealthy for sensitive groups
728358,safe
1086222,safe
726428,unhealthy for sensitive groups
1066161,safe
25884,safe
629246,unhealthy for sensitive groups
10008,safe
663539,safe
932002,safe
239321,safe
564709,safe
840972,safe
6561,safe
1124131,safe
146737,safe
1059074,safe
1165499,safe
810406,safe
35568,safe
1109730,safe
1063607,safe
998058,safe
297344,unhealthy for sensitive groups
489075,unhealthy for sensitive groups
1136093,safe
526713,safe
180942,safe
891526,safe
627524,safe
427465,unhealthy for sensitive groups
637801,safe
696172,unhealthy for sensitive groups
424390,safe
379729,safe
1260,safe
382012,safe
660735,unhealthy for sensitive groups
1083199,safe
144746,safe
890223,safe
830211,safe
1138594,safe
436799,safe
994192,safe
776242,safe
1163228,safe
40437,safe
37998,safe
402332,unhealthy for sensitive groups
966939,unhealthy for sensitive groups
623352,unhealthy for sensitive groups
553950,safe
695920,safe
1103555,safe
644582,safe
815950,safe
505059,safe
1045418,unhealthy for sensitive groups
1150521,safe
176769,unhealthy for sensitive groups
1160388,safe
938087,safe
19530,safe
29448,safe
945387,safe
1093203,safe
893330,unhealthy for sensitive groups
1022974,safe
498173,unhealthy for sensitive groups
365413,safe
926260,safe
128190,safe
912758,unhealthy for sensitive groups
665587,unhealthy for sensitive groups
407866,safe
726871,unhealthy for sensitive groups
838371,unhealthy for sensitive groups
948258,safe
726667,safe
617395,safe
576261,unhealthy for sensitive groups
1086831,safe
71829,unhealthy for sensitive groups
962012,unhealthy for sensitive groups
573567,unhealthy for sensitive groups
1165231,safe
463663,safe
5589,safe
754685,safe
1113786,safe
481287,safe
1088047,unhealthy for sensitive groups
105795,safe
1021849,safe
441160,safe
894024,safe
922339,safe
275277,safe
38286,safe
1100962,unhealthy for sensitive groups
330604,unhealthy for sensitive groups
1159749,safe
778574,safe
60030,unhealthy for sensitive groups
1006788,safe
428893,safe
842258,safe
1007277,safe
35460,safe
1062922,unhealthy for sensitive groups
1129386,unhealthy for sensitive groups
799778,safe
971276,safe
85034,unhealthy for sensitive groups
41793,safe
272458,unhealthy for sensitive groups
1017,safe
374283,unhealthy for sensitive groups
509164,safe
1160098,safe
868431,unhealthy for sensitive groups
1056755,safe
516446,unhealthy for sensitive groups
747906,safe
18450,safe
261,safe
680974,unhealthy for sensitive groups
195092,safe
79449,unhealthy for sensitive groups
1118370,unhealthy for sensitive groups
391129,safe
1032413,safe
831563,safe
219139,unhealthy for sensitive groups
370079,safe
721581,safe
712157,safe
511461,unhealthy for sensitive groups
85319,unhealthy for sensitive groups
310807,unhealthy for sensitive groups
164085,unhealthy for sensitive groups
937649,safe
1110018,safe
764796,safe
957913,safe
537328,safe
1090312,unhealthy for sensitive groups
1088493,unhealthy for sensitive groups
629588,unhealthy for sensitive groups
1013777,unhealthy for sensitive groups
89164,safe
1028877,safe
901171,safe
175827,safe
1082999,safe
1151901,unhealthy for sensitive groups
108007,safe
1117287,unhealthy for sensitive groups
824912,safe
997792,safe
717643,unhealthy for sensitive groups
1094203,unhealthy for sensitive groups
370156,safe
444995,unhealthy for sensitive groups
1036116,unhealthy for sensitive groups
391207,unhealthy for sensitive groups
207979,safe
427449,unhealthy for sensitive groups
269138,safe
842526,safe
339873,safe
1001703,safe
262151,safe
1076437,unhealthy for sensitive groups
34578,safe
25740,safe
306576,safe
663238,safe
460370,unhealthy for sensitive groups
698068,safe
207384,safe
971699,safe
5463,safe
635737,safe
409868,unhealthy for sensitive groups
41724,safe
1091782,safe
782516,safe
14634,safe
540158,safe
133909,safe
46126,safe
114213,safe
143494,safe
255151,safe
737416,safe
716509,safe
88630,safe
295780,safe
93986,unhealthy for sensitive groups
1105327,unhealthy for sensitive groups
50306,safe
39555,safe
767067,unhealthy for sensitive groups
617689,safe
444336,safe
8316,safe
410582,safe
503068,safe
171898,safe
284005,unhealthy for sensitive groups
496810,safe
390601,safe
5382,safe
1149093,unhealthy for sensitive groups
1058270,unhealthy for sensitive groups
1088317,unhealthy for sensitive groups
1071383,safe
4671,safe
440658,safe
36459,safe
1147411,safe
380647,safe
257675,safe
864258,safe
761779,safe
553689,safe
1006065,safe
30132,safe
652545,safe
820459,safe
1001597,unhealthy for sensitive groups
7407,safe
40950,safe
1069163,unhealthy for sensitive groups
17028,safe
225625,unhealthy for sensitive groups
1120559,safe
1128509,safe
83625,safe
1133872,unhealthy for sensitive groups
20889,unhealthy for sensitive groups
1012055,unhealthy for sensitive groups
1039058,unhealthy for sensitive groups
21249,safe
14157,safe
10764,safe
267538,safe
87707,unhealthy for sensitive groups
847953,safe
29232,unhealthy for sensitive groups
1152907,safe
1127351,safe
1113227,unhealthy for sensitive groups
98617,unhealthy for sensitive groups
32985,safe
1055455,unhealthy for sensitive groups
512019,safe
465983,unhealthy for sensitive groups
682529,safe
543627,unhealthy for sensitive groups
526045,safe
1090772,safe
716201,safe
304220,safe
1049482,safe
23652,unhealthy for sensitive groups
285367,safe
36549,safe
1132490,unhealthy for sensitive groups
997153,safe
940880,safe
206209,unhealthy for sensitive groups
1042764,safe
1122871,safe
1548,unhealthy for sensitive groups
806181,safe
623925,safe
40482,safe
647691,safe
392808,safe
61729,safe
181781,safe
487166,safe
1136084,safe
786794,safe
219621,safe
918244,unhealthy for sensitive groups
1042634,safe
735072,safe
73535,safe
1123024,unhealthy for sensitive groups
23949,safe
1131607,safe
237566,safe
584953,unhealthy for sensitive groups
2736,safe
571470,safe
47803,safe
536376,safe
360422,unhealthy for sensitive groups
1050931,safe
821955,safe
782210,safe
1121406,safe
37755,unhealthy
912099,safe
603737,safe
1114029,safe
715559,safe
772605,safe
883914,safe
964065,safe
265064,unhealthy for sensitive groups
1127734,safe
1148658,unhealthy for sensitive groups
997977,safe
11754,safe
242107,unhealthy for sensitive groups
458724,safe
201970,unhealthy for sensitive groups
1031299,safe
15543,unhealthy for sensitive groups
4941,safe
1026278,safe
976146,safe
458328,safe
1105549,safe
239880,safe
383629,safe
1032813,unhealthy for sensitive groups
1080790,safe
210251,safe
1032933,safe
356946,safe
1098548,safe
981066,safe
703439,unhealthy for sensitive groups
909277,safe
735000,safe
1161832,safe
213686,unhealthy for sensitive groups
223434,safe
410128,unhealthy for sensitive groups
1020307,safe
434626,safe
709541,safe
598070,safe
937377,safe
570921,safe
512003,safe
962045,safe
276466,safe
1036352,safe
281238,safe
19692,safe
349244,safe
776771,safe
1089597,unhealthy for sensitive groups
592348,unhealthy for sensitive groups
804514,safe
129708,unhealthy for sensitive groups
29088,safe
198946,safe
605724,safe
470497,safe
737809,unhealthy for sensitive groups
278274,unhealthy for sensitive groups
35343,safe
1134357,safe
255958,safe
1015173,safe
1061174,unhealthy for sensitive groups
216904,unhealthy for sensitive groups
1012412,unhealthy for sensitive groups
1004521,safe
294031,unhealthy for sensitive groups
1071449,safe
269300,safe
1001568,safe
213372,unhealthy for sensitive groups
676765,unhealthy for sensitive groups
521027,safe
1158360,safe
1079477,safe
709302,safe
756653,safe
404579,unhealthy for sensitive groups
37800,safe
300794,unhealthy for sensitive groups
411910,unhealthy for sensitive groups
852900,safe
219164,unhealthy for sensitive groups
964366,safe
1004052,safe
1132587,safe
1008616,safe
596712,safe
466709,safe
13545,safe
557364,unhealthy for sensitive groups
1165309,safe
1683,safe
1063478,safe
272409,unhealthy for sensitive groups
38349,safe
1028878,safe
346690,safe
379594,safe
942931,safe
268445,safe
1090197,safe
258990,safe
1090467,unhealthy for sensitive groups
129733,unhealthy for sensitive groups
350857,safe
1098643,safe
250863,safe
731311,safe
646429,safe
1075357,safe
1122339,safe
1069576,safe
1165185,safe
912100,safe
1131045,safe
836546,unhealthy for sensitive groups
1142589,safe
971682,safe
851597,safe
13041,unhealthy for sensitive groups
798144,safe
416306,safe
1123769,safe
495153,unhealthy for sensitive groups
1133362,unhealthy for sensitive groups
617502,safe
1118053,safe
309785,safe
1166048,safe
963940,safe
766529,safe
411528,safe
1094107,safe
1048284,safe
27711,safe
1161968,safe
565528,safe
909313,safe
11745,safe
758080,safe
1143482,safe
146041,safe
307548,unhealthy for sensitive groups
823747,safe
474646,safe
165951,safe
287639,safe
421466,unhealthy for sensitive groups
41943,safe
1148343,safe
1045568,unhealthy for sensitive groups
437838,safe
969416,safe
998486,safe
312545,safe
761543,safe
504585,unhealthy for sensitive groups
833435,safe
286980,safe
1087021,safe
60409,safe
845684,safe
1140291,safe
813196,unhealthy for sensitive groups
577977,safe
32175,safe
720192,safe
443525,safe
800460,safe
840074,safe
998589,safe
829468,safe
373476,safe
836042,unhealthy for sensitive groups
1140146,safe
424626,safe
120167,safe
816766,safe
953582,safe
798607,safe
1026678,safe
1019043,unhealthy for sensitive groups
1159484,safe
1086517,unhealthy for sensitive groups
37287,safe
327931,safe
567080,safe
1153383,unhealthy for sensitive groups
233900,safe
70178,unhealthy for sensitive groups
497080,safe
986921,safe
19935,unhealthy for sensitive groups
1090207,safe
898048,safe
625022,safe
1008686,safe
1164998,safe
798794,safe
1020874,safe
1058865,unhealthy for sensitive groups
121353,safe
699408,safe
977080,safe
1016763,safe
998611,safe
504895,safe
1005655,safe
1166406,unhealthy for sensitive groups
74650,safe
1008236,safe
1152796,safe
6192,unhealthy for sensitive groups
196984,safe
679673,unhealthy for sensitive groups
887972,unhealthy for sensitive groups
305249,safe
415263,unhealthy for sensitive groups
1104786,safe
24075,unhealthy for sensitive groups
1047517,unhealthy for sensitive groups
720552,safe
1005480,unhealthy for sensitive groups
828993,safe
1062146,safe
329933,safe
1088677,unhealthy for sensitive groups
1102857,safe
1134783,safe
778469,safe
690515,safe
1085045,safe
141952,safe
214306,unhealthy for sensitive groups
32148,safe
11277,safe
684892,safe
375090,unhealthy for sensitive groups
166769,unhealthy for sensitive groups
127753,safe
703236,safe
882020,unhealthy for sensitive groups
443411,safe
693920,safe
469232,safe
1087421,safe
951539,safe
47704,safe
958286,safe
487666,safe
840481,unhealthy for sensitive groups
445577,safe
1102490,safe
735442,safe
1130168,unhealthy for sensitive groups
1122435,safe
619138,safe
860099,unhealthy for sensitive groups
965702,unhealthy for sensitive groups
880717,safe
868008,safe
1082695,safe
33723,safe
63052,safe
631684,safe
198261,safe
1142369,safe
1044157,safe
886718,safe
1075356,unhealthy for sensitive groups
395916,unhealthy for sensitive groups
282068,unhealthy for sensitive groups
1158249,safe
1041188,unhealthy for sensitive groups
1156146,unhealthy for sensitive groups
915227,safe
28287,safe
132838,unhealthy for sensitive groups
340121,safe
1059368,safe
32571,safe
158304,safe
1019033,unhealthy for sensitive groups
1108813,safe
1020378,safe
1050310,unhealthy for sensitive groups
346756,safe
1131138,unhealthy for sensitive groups
213634,unhealthy for sensitive groups
880393,unhealthy for sensitive groups
126952,unhealthy for sensitive groups
464369,safe
625936,unhealthy for sensitive groups
302915,safe
976942,safe
853371,safe
1165633,safe
731108,safe
1042834,safe
1078443,safe
877320,safe
997673,safe
1103958,safe
1110942,safe
101536,unhealthy for sensitive groups
401002,unhealthy for sensitive groups
1117444,unhealthy for sensitive groups
674814,safe
392499,unhealthy for sensitive groups
1163382,safe
218908,unhealthy for sensitive groups
699020,safe
303285,safe
731347,safe
574696,unhealthy for sensitive groups
620492,safe
1026949,safe
1148692,safe
731917,safe
1086647,safe
1017129,safe
472482,safe
968306,safe
149476,unhealthy for sensitive groups
870215,unhealthy for sensitive groups
1153018,unhealthy for sensitive groups
527076,safe
22113,safe
13086,safe
235638,safe
409250,safe
82197,unhealthy for sensitive groups
511726,unhealthy for sensitive groups
1162156,safe
625733,safe
871509,unhealthy for sensitive groups
23121,safe
1138868,safe
1011140,unhealthy for sensitive groups
1022573,safe
925566,safe
574591,unhealthy for sensitive groups
4221,safe
992780,safe
557038,safe
166334,safe
950678,safe
1140887,safe
1030663,unhealthy for sensitive groups
623555,unhealthy for sensitive groups
18981,safe
957880,safe
238092,safe
454928,safe
1087431,safe
1015354,safe
937852,safe
996198,safe
5832,safe
1077546,safe
245524,unhealthy for sensitive groups
622841,safe
1073791,safe
1001405,unhealthy for sensitive groups
1113037,safe
734475,unhealthy for sensitive groups
1063356,unhealthy for sensitive groups
1058104,safe
893314,unhealthy for sensitive groups
401117,unhealthy for sensitive groups
8793,safe
750890,safe
1071659,safe
1114317,unhealthy for sensitive groups
219872,safe
925720,safe
22851,safe
697235,safe
351712,unhealthy for sensitive groups
360700,unhealthy for sensitive groups
293382,unhealthy for sensitive groups
406571,safe
632866,unhealthy for sensitive groups
884524,unhealthy for sensitive groups
1032508,safe
238478,safe
328354,safe
1081859,safe
1042304,safe
1140742,safe
194259,unhealthy for sensitive groups
1001035,safe
806912,safe
250788,safe
951742,safe
745523,safe
357372,safe
1155354,safe
25866,safe
7398,safe
11997,safe
587535,unhealthy for sensitive groups
1137101,unhealthy for sensitive groups
1117078,safe
1035586,unhealthy for sensitive groups
70800,safe
830038,safe
1001230,unhealthy for sensitive groups
631498,safe
578829,unhealthy for sensitive groups
236375,safe
862688,safe
1136965,safe
626631,safe
337825,safe
184709,safe
430267,unhealthy for sensitive groups
88122,unhealthy for sensitive groups
1058560,safe
75641,safe
882885,safe
514452,safe
164848,safe
117985,safe
205759,unhealthy for sensitive groups
10368,unhealthy for sensitive groups
856128,safe
740830,safe
1019433,safe
1137570,safe
1007067,safe
562454,safe
641583,safe
808179,safe
433378,safe
1046527,unhealthy for sensitive groups
526461,safe
1112758,safe
725855,safe
1142496,safe
957327,safe
654099,safe
296799,unhealthy for sensitive groups
32904,safe
1078679,safe
1135540,unhealthy for sensitive groups
131565,safe
1152694,safe
541575,safe
1139593,safe
26181,safe
27819,safe
609817,safe
44827,safe
173191,safe
159784,unhealthy for sensitive groups
426155,safe
101449,unhealthy for sensitive groups
907365,safe
93463,safe
1073947,safe
738061,safe
995841,safe
310994,unhealthy for sensitive groups
602965,unhealthy for sensitive groups
254390,safe
188712,safe
933966,safe
680000,safe
576877,unhealthy for sensitive groups
1077850,unhealthy for sensitive groups
1131795,safe
741453,safe
824343,safe
777723,unhealthy for sensitive groups
1145598,safe
1000906,unhealthy for sensitive groups
368158,unhealthy for sensitive groups
1057895,safe
821817,safe
266063,unhealthy for sensitive groups
1164277,safe
167257,unhealthy for sensitive groups
1041153,unhealthy for sensitive groups
1098702,safe
734678,unhealthy for sensitive groups
1164746,safe
35163,safe
705559,safe
1002351,unhealthy for sensitive groups
246567,safe
55852,safe
997478,safe
266910,safe
1131684,safe
664706,safe
1005061,safe
58242,unhealthy for sensitive groups
1021543,unhealthy for sensitive groups
501253,unhealthy for sensitive groups
1029579,safe
1163595,safe
2943,safe
874324,safe
998005,safe
500737,safe
1094773,safe
1061972,unhealthy for sensitive groups
674867,safe
10323,unhealthy for sensitive groups
696595,safe
247624,safe
768548,safe
217381,unhealthy for sensitive groups
143209,safe
555267,safe
1053306,unhealthy for sensitive groups
24273,safe
575200,safe
935436,safe
946739,safe
1056363,safe
1114657,safe
1073016,safe
999790,safe
885873,unhealthy for sensitive groups
1060247,unhealthy for sensitive groups
