,aqi_pm25
298611,unhealthy for sensitive groups
212183,unhealthy for sensitive groups
750004,unhealthy for sensitive groups
552341,safe
259015,unhealthy for sensitive groups
731900,safe
139362,unhealthy for sensitive groups
1000554,safe
34848,safe
892908,safe
1125536,safe
471526,safe
1072138,unhealthy for sensitive groups
840025,unhealthy for sensitive groups
498245,unhealthy for sensitive groups
404384,unhealthy for sensitive groups
1030119,unhealthy for sensitive groups
651772,safe
1136623,safe
22626,safe
986619,safe
494605,safe
406344,unhealthy for sensitive groups
1072068,unhealthy for sensitive groups
304898,safe
656251,unhealthy for sensitive groups
1025279,safe
691921,safe
1001567,safe
1142258,safe
583714,unhealthy for sensitive groups
1165735,safe
35190,safe
633105,unhealthy for sensitive groups
502134,safe
1156717,safe
970064,safe
624249,safe
133622,safe
1045288,unhealthy for sensitive groups
27594,safe
1166541,unhealthy for sensitive groups
792611,safe
223669,unhealthy for sensitive groups
318911,safe
151575,safe
675190,safe
677899,safe
774998,safe
1131301,safe
155834,unhealthy for sensitive groups
135707,unhealthy for sensitive groups
449781,safe
746264,safe
379603,safe
450014,safe
456886,safe
755332,safe
102594,unhealthy for sensitive groups
22221,safe
733407,safe
302319,unhealthy for sensitive groups
786409,safe
822056,safe
333270,safe
1165086,safe
572645,unhealthy for sensitive groups
1000532,safe
1096762,safe
249590,safe
646035,safe
611333,unhealthy for sensitive groups
1161798,safe
87137,unhealthy for sensitive groups
32049,safe
501556,unhealthy for sensitive groups
115696,unhealthy for sensitive groups
977565,safe
136912,unhealthy for sensitive groups
879568,unhealthy for sensitive groups
1053481,safe
142747,unhealthy for sensitive groups
773840,safe
1049073,unhealthy for sensitive groups
424239,safe
1015234,safe
1040765,safe
253385,safe
95504,safe
74976,safe
542911,safe
575673,unhealthy for sensitive groups
1881,safe
855064,safe
829416,safe
755230,safe
173054,safe
790868,unhealthy for sensitive groups
1006892,unhealthy for sensitive groups
1039372,safe
999867,safe
295394,safe
112667,safe
206682,safe
1123456,safe
1154860,safe
1006275,unhealthy for sensitive groups
157180,unhealthy for sensitive groups
329856,safe
606495,safe
915194,safe
14751,safe
1002358,safe
725226,safe
1084644,safe
1031168,safe
223506,safe
583852,unhealthy for sensitive groups
767973,safe
3897,unhealthy for sensitive groups
445528,safe
1101214,safe
563464,unhealthy for sensitive groups
908465,safe
1133720,safe
541364,safe
924165,safe
360499,safe
488104,safe
1160055,safe
1102524,safe
174550,safe
106329,safe
859846,unhealthy for sensitive groups
1067959,safe
243734,unhealthy for sensitive groups
73801,safe
1046168,safe
419436,unhealthy for sensitive groups
778724,safe
536087,safe
1043129,unhealthy for sensitive groups
1010870,safe
674815,safe
44117,safe
184819,safe
199628,safe
1060479,safe
536971,safe
1086717,safe
1073242,safe
974623,safe
998765,safe
1085761,safe
453677,safe
16353,safe
755043,safe
904117,safe
342518,safe
719366,safe
29286,unhealthy for sensitive groups
688783,safe
1006170,safe
1073007,unhealthy for sensitive groups
194250,unhealthy for sensitive groups
314259,safe
1093617,safe
88655,safe
501677,unhealthy for sensitive groups
656405,unhealthy
1137613,safe
301079,unhealthy for sensitive groups
1075836,safe
939643,safe
1009215,safe
960892,unhealthy for sensitive groups
27792,safe
159001,unhealthy for sensitive groups
18891,safe
1052328,safe
1056105,safe
757910,safe
1034341,safe
461534,safe
993950,unhealthy for sensitive groups
704304,safe
325170,unhealthy for sensitive groups
187667,unhealthy for sensitive groups
537084,safe
1100683,safe
1018739,safe
826027,unhealthy for sensitive groups
934218,safe
878314,unhealthy for sensitive groups
67643,unhealthy for sensitive groups
37620,safe
849453,safe
576445,unhealthy for sensitive groups
1062477,safe
17712,safe
33417,safe
724706,safe
308240,unhealthy for sensitive groups
1027734,unhealthy for sensitive groups
74389,safe
536319,safe
667148,unhealthy for sensitive groups
479510,safe
206885,safe
802926,safe
78762,unhealthy for sensitive groups
613459,safe
878265,unhealthy for sensitive groups
517385,unhealthy for sensitive groups
654285,safe
959655,unhealthy for sensitive groups
641985,unhealthy for sensitive groups
980201,safe
911169,safe
103765,unhealthy for sensitive groups
949922,unhealthy for sensitive groups
1031568,safe
34767,safe
35631,safe
55631,safe
600047,safe
153063,unhealthy for sensitive groups
1000726,unhealthy for sensitive groups
271893,safe
225165,unhealthy for sensitive groups
404881,safe
496811,unhealthy for sensitive groups
195517,unhealthy for sensitive groups
460841,safe
1001801,safe
1129352,safe
492544,unhealthy for sensitive groups
892655,safe
299256,safe
98905,unhealthy for sensitive groups
429266,safe
688899,safe
860521,safe
501905,unhealthy for sensitive groups
1016668,safe
853902,safe
40527,safe
191369,unhealthy for sensitive groups
1042904,unhealthy for sensitive groups
158538,safe
752406,safe
1026948,safe
589719,safe
230767,safe
446602,safe
911782,safe
759626,safe
999916,safe
1153632,safe
1122940,unhealthy for sensitive groups
1011025,unhealthy for sensitive groups
40023,safe
1136195,unhealthy for sensitive groups
1056027,safe
1060470,safe
965852,safe
26658,safe
144940,unhealthy for sensitive groups
1120777,unhealthy for sensitive groups
668695,unhealthy for sensitive groups
4932,safe
1135284,safe
350971,safe
492034,safe
690041,safe
