,aqi_pm10
158220,safe
66855,safe
59339,safe
38392,safe
761,safe
12659,safe
169195,safe
129978,safe
13494,safe
5335,safe
47341,unhealthy for sensitive groups
970,safe
160145,safe
39271,safe
138745,safe
37576,safe
155670,safe
18062,safe
386,safe
37990,safe
150795,safe
64851,safe
5274,unhealthy for sensitive groups
169745,safe
156645,safe
1080,safe
141920,safe
46046,safe
20947,safe
812,safe
81823,safe
207,safe
1009,safe
21872,safe
116392,safe
122164,safe
90840,safe
42188,safe
26896,safe
11455,safe
72019,safe
136557,safe
36324,safe
118120,safe
191,safe
64022,safe
1098,safe
106614,safe
146195,safe
49527,unhealthy for sensitive groups
103859,safe
58728,safe
168770,safe
170270,safe
3621,safe
85126,safe
30053,safe
159495,safe
129942,safe
139920,safe
99855,safe
125315,safe
91353,safe
26968,safe
59767,safe
169520,safe
88,safe
98230,safe
157170,safe
80736,safe
23822,safe
96090,safe
56990,safe
42786,safe
32870,safe
12025,safe
40467,safe
43531,safe
73178,safe
88507,unhealthy for sensitive groups
137309,safe
6657,safe
66097,safe
20257,safe
146770,safe
130579,safe
67391,safe
96839,safe
78612,safe
50539,safe
22558,unhealthy for sensitive groups
19532,safe
106846,safe
9907,safe
959,safe
7581,safe
111958,safe
94533,safe
139270,safe
144595,safe
78220,safe
21717,safe
130527,safe
40529,safe
4507,safe
135224,safe
35554,safe
79906,safe
76097,unhealthy for sensitive groups
820,safe
48367,unhealthy for sensitive groups
992,safe
63996,safe
86678,safe
801,safe
2771,safe
49697,safe
104960,safe
167070,safe
392,safe
434,safe
1104,safe
563,safe
60609,unhealthy for sensitive groups
79726,safe
164645,safe
4817,safe
79710,safe
572,safe
9724,unhealthy for sensitive groups
53761,safe
378,safe
119922,safe
17829,safe
169170,safe
121872,safe
5189,safe
118452,safe
1064,safe
165320,safe
42106,safe
737,safe
352,safe
49955,safe
33431,safe
114262,safe
63032,safe
159920,safe
140120,safe
167595,safe
147245,safe
103480,safe
152845,safe
118488,safe
4176,safe
774,safe
137679,safe
144695,safe
100783,safe
54957,safe
600,safe
4078,safe
84829,safe
141970,safe
81017,safe
46168,safe
162495,safe
159420,safe
137583,safe
138870,safe
71676,safe
149370,safe
15211,safe
903,safe
156820,safe
135490,safe
72225,safe
78478,safe
8685,safe
15404,safe
93457,safe
142395,safe
97534,safe
54456,safe
90245,safe
66133,safe
125811,safe
1071,safe
31612,safe
66597,safe
156670,safe
74643,safe
71090,safe
99329,safe
138295,safe
75999,safe
246,safe
821,safe
154320,safe
65280,safe
154445,safe
141445,safe
20368,safe
72140,safe
