,ozone
33501,36.00000000000001
411,32.0
9651,72.00000000000001
27353,17.0
7007,32.0
31016,39.0
32039,46.0
23394,18.0
4200,42.0
16664,16.0
14901,55.0
32047,32.0
21929,35.0
6856,62.0
28812,32.0
11439,57.99999999999999
4779,44.00000000000001
9723,52.00000000000001
14033,71.0
16375,50.0
29189,17.0
1838,37.00000000000001
23659,55.99999999999999
10997,24.0
9187,66.0
29424,29.0
19476,29.0
23696,68.0
35045,64.0
20247,57.99999999999999
22308,19.0
12979,30.0
13920,57.0
28743,34.0
34908,22.0
9747,39.0
22848,43.0
10554,40.99999999999999
28887,14.0
29334,32.0
25160,35.0
33072,24.0
15176,46.0
19237,21.0
370,35.0
27230,19.0
23330,45.0
13033,60.0
19597,44.00000000000001
6448,40.0
9177,51.0
18184,29.0
18338,37.00000000000001
16166,17.0
29370,24.0
22570,34.0
7573,43.0
28317,22.0
7521,29.0
15544,28.0
826,73.0
21529,44.00000000000001
31170,37.00000000000001
21389,50.0
3452,29.0
18470,40.0
6760,35.0
31226,40.99999999999999
9370,25.0
21137,33.0
19970,19.0
22498,22.0
23462,55.99999999999999
19416,42.0
29898,40.99999999999999
25354,27.0
22282,19.0
10297,31.0
10039,47.0
51,19.0
5021,33.0
20991,22.0
6850,44.00000000000001
28366,22.0
20126,16.0
17930,60.0
19689,25.0
17281,24.0
3356,21.0
27601,47.0
29891,34.0
5453,47.0
18087,32.0
26011,21.0
23266,28.0
67,55.99999999999999
6044,32.0
19222,30.0
12374,38.0
15847,19.0
29464,42.0
4539,27.0
7890,20.0
34439,49.0
17527,30.0
595,17.0
20853,34.0
24204,50.0
7165,30.0
4332,32.0
1784,18.0
17346,51.0
34463,38.0
34470,42.0
7753,36.00000000000001
21140,24.0
31217,32.0
18511,49.0
17835,20.0
20691,19.0
14826,45.0
7939,11.0
14830,46.0
34438,55.0
23224,28.0
1533,51.0
12058,29.0
29458,27.0
17144,16.0
12630,36.00000000000001
13601,18.0
27267,40.0
4812,22.0
8016,19.0
32505,44.00000000000001
34396,36.00000000000001
16830,14.0
30967,48.0
