,no2
909529,19.7
86205,66.0
108089,37.2
617039,21.2
695820,37.8
829789,13.4
154724,24.0
2583,23.0
193773,21.0
29808,8.8
120198,16.0
428607,30.6
756651,16.9
97705,33.0
180100,3.2
899604,26.0
860440,37.0
449237,26.5
546265,5.3
847221,32.5
308430,3.6
607121,6.9
498608,10.6
502256,5.6
985425,1.1
135493,23.6
116600,26.0
314523,18.2
609640,15.5
934306,5.8
962588,20.1
87895,21.0
767528,9.0
98382,14.0
998184,22.1
107486,8.5
248373,11.6
704968,44.1
445080,18.9
455625,3.4
947390,4.3
10305,0.7
934225,3.5
140725,14.5
418791,20.0
391962,3.3
997680,1.0
289846,4.6
234496,5.4
870077,9.6
836576,10.7
902418,9.9
138735,42.2
1025473,26.1
984620,8.7
492096,30.6
572212,13.2
702802,4.3
787448,11.7
510853,7.3
301658,4.6
709331,21.7
568061,14.8
479637,2.2
21780,1.3
279997,31.7
43935,33.0
441156,2.3
757749,20.5
537845,11.9
9531,1.7
425863,7.5
764463,6.8
627261,7.0
663476,22.2
920990,2.8
852061,33.0
664165,2.7
926587,6.5
118026,3.2
370177,4.2
326116,3.7
614546,3.7
109136,16.0
479015,53.0
889005,6.1
1040530,36.2
509262,28.2
762927,17.6
29952,2.9
694476,31.2
553380,16.8
1046511,15.6
81744,38.0
923229,28.5
416491,21.4
705103,33.3
238910,32.2
220155,27.8
696302,33.0
116789,41.0
798065,6.1
478132,43.5
27270,9.1
933010,14.2
278054,18.4
171684,41.6
655020,6.5
572709,28.7
932333,14.5
171147,2.6
644574,26.1
236794,8.4
175633,3.8
602213,20.5
601770,26.8
508226,7.5
765155,13.0
539579,32.6
1014653,6.3
634302,12.8
252061,14.3
759497,13.5
84999,13.0
510325,18.1
1046133,11.3
1005262,14.2
54579,52.0
748503,2.9
764762,12.2
864255,8.5
342608,9.3
517397,34.9
614217,34.1
639546,7.8
806500,10.8
964926,10.7
721056,12.7
1027036,18.9
422013,19.6
962062,14.5
76234,29.0
1027739,42.1
569084,29.4
359342,4.8
525341,54.9
806563,18.5
701040,20.4
481206,18.9
824753,3.0
532572,41.3
365104,17.0
663131,6.8
59651,24.0
439231,14.8
958528,5.0
680067,7.0
584414,15.0
54181,31.0
382048,9.5
318491,1.1
1042913,26.5
153177,12.5
970437,23.8
767692,20.0
306201,25.9
72270,25.0
157316,28.1
423802,0.4
811271,45.8
471655,28.7
314158,6.0
772594,6.0
296861,7.9
577249,10.4
301855,17.1
353612,17.5
492954,13.2
227443,21.5
498741,5.3
624430,0.9
701724,61.7
543289,15.3
111903,4.3
366348,15.2
139426,11.6
417268,10.3
710801,32.1
99070,40.9
144076,33.9
949840,36.9
555119,4.0
460138,39.7
300635,38.7
712137,10.0
1006182,9.9
666681,3.9
652905,17.4
796233,12.4
471487,17.8
45247,38.0
1004337,8.7
392494,13.9
917656,27.3
1044660,4.8
521068,16.6
90099,58.0
459041,8.9
449069,31.5
283211,42.2
1037261,8.3
465821,36.8
912570,3.6
704430,4.9
922095,20.6
149771,36.0
762837,4.6
909311,13.5
1046444,33.1
459446,52.0
234157,10.4
918198,40.9
58595,36.0
812876,22.8
745134,17.0
31734,0.5
782590,27.0
826552,34.4
565728,7.9
7461,4.6
718725,41.4
304845,22.3
1037765,7.5
235332,16.6
677347,23.0
457216,26.7
35973,10.0
758761,21.4
363647,47.6
980335,31.0
776140,14.0
771217,16.0
31761,8.5
581475,35.2
482635,11.2
352625,36.3
642710,20.1
738445,31.3
275525,25.6
130474,8.9
419574,18.5
223801,37.9
980917,35.4
237253,11.3
991155,8.8
359006,27.6
468308,24.6
152101,19.9
398244,19.4
424784,20.8
515405,32.4
672334,13.5
114027,5.8
883931,27.7
921532,11.8
151043,32.2
875653,3.7
1044386,36.1
316938,11.4
685424,10.4
997160,10.5
931451,24.7
1024152,41.4
997824,3.1
254677,3.9
350020,43.8
208217,16.5
923267,32.8
96465,17.8
680477,14.5
591600,16.3
438034,35.1
928305,1.0
269923,36.1
424211,16.8
269727,15.3
149514,34.8
1042960,10.8
578421,21.9
641051,9.5
292044,24.8
723157,5.9
762317,7.5
711010,10.8
348045,8.5
139946,24.0
849020,16.4
1001468,32.4
805433,26.2
973977,28.2
528578,3.6
856127,10.3
751800,48.4
305689,31.8
832242,47.4
971555,4.9
582110,31.2
531560,62.9
416298,5.3
536046,40.3
74951,12.0
799540,9.9
250720,17.6
714536,19.6
609656,11.1
517837,10.0
682908,17.3
541289,4.3
745172,31.5
239892,4.5
684014,6.7
264646,39.4
631856,15.5
664043,23.3
905971,12.5
900667,12.7
601872,3.0
552208,18.2
32112,0.5
763797,12.7
1011609,22.1
829697,4.6
523225,38.8
1023470,5.6
108214,25.6
925587,40.3
761512,33.2
885260,2.4
92127,10.0
508877,16.0
590256,2.2
121133,40.3
842745,5.2
982221,10.7
701556,34.8
471252,12.0
205277,8.8
316996,29.3
621667,5.6
859302,9.9
695966,47.6
638955,22.1
550841,3.2
722208,7.3
539848,17.9
861029,10.4
364863,8.0
519768,19.0
827022,25.9
898667,28.2
888715,4.2
705823,22.8
375162,8.8
202235,10.9
954623,11.9
27774,1.0
639210,23.7
32463,0.8
994023,18.7
928521,31.0
762659,9.9
11340,12.9
479468,18.4
34281,1.7
418006,10.8
401332,2.1
270624,39.1
806248,25.2
849851,9.6
103919,38.0
783405,33.0
671499,3.6
386161,6.8
543088,8.1
522433,27.9
1031907,9.3
690933,33.3
182217,15.3
322097,7.7
185698,24.3
219623,9.7
911289,25.5
385981,2.9
170117,42.4
761481,15.4
258356,7.0
19440,1.9
1014471,8.1
856345,33.3
642895,17.3
249856,7.9
585741,20.7
109348,6.1
1005678,11.4
630459,14.7
964503,23.5
832743,15.9
484878,49.4
87744,49.0
970729,8.4
259630,16.7
688020,28.4
965511,21.1
6579,1.9
932011,7.6
508361,6.9
430031,37.8
831243,14.1
35685,0.6
930112,8.9
108141,32.2
934009,5.1
250192,4.9
464442,29.0
712839,24.8
631364,13.6
59404,7.0
1022093,13.9
869863,36.7
32544,2.3
236585,18.0
867922,9.2
712830,30.5
520753,16.6
622734,18.9
476859,26.7
925709,13.8
763217,2.9
68442,32.0
631544,40.6
444852,2.5
470764,6.3
193622,5.2
737141,15.7
45989,26.0
756101,30.4
150626,14.3
143486,9.8
1046645,3.3
1017593,20.0
282021,28.4
530703,12.3
367643,14.2
321219,7.0
816232,21.7
574600,11.6
930515,26.9
596078,13.3
416522,29.7
661452,10.4
707894,4.1
737410,5.4
324011,12.6
130217,4.3
339048,52.3
668483,1.7
927551,32.3
609611,3.0
909374,18.8
59635,34.0
906282,13.2
481979,38.7
115318,29.2
1045197,13.5
893075,5.0
980137,9.9
634253,9.8
1046558,9.1
322654,14.6
922448,22.9
9594,1.2
399284,38.2
891945,5.3
411413,45.9
26892,7.2
41791,17.0
602032,15.7
224543,20.1
36690,17.4
907664,6.2
308853,14.7
750288,30.9
260227,6.4
759888,19.3
337806,9.8
873403,44.9
376025,4.5
235712,11.5
699822,6.2
396593,8.6
144056,17.7
537009,5.8
520395,21.4
155310,26.1
493437,8.3
7470,2.1
150205,33.3
326932,8.3
237273,17.1
456531,5.0
1020878,3.8
251084,14.4
951974,19.1
639188,34.5
243007,3.5
386568,31.8
1030971,6.5
531437,43.5
1039662,2.8
134834,10.9
639767,34.2
384296,33.0
381474,4.4
488613,16.6
927873,8.9
116143,7.7
172867,19.5
601482,12.6
905152,1.9
886719,4.1
958867,5.0
628527,21.8
880445,40.8
998112,19.9
147965,16.7
931316,10.4
581998,19.5
352580,32.1
601241,11.8
153718,17.3
278574,5.0
954,1.0
56584,6.0
114203,26.4
715839,52.9
1045035,31.4
721011,20.3
740592,11.7
7524,2.1
931795,1.1
1004346,14.9
608226,32.1
983101,2.1
1022140,28.2
382276,7.9
980497,2.5
973072,24.8
152473,7.4
432913,8.3
581895,32.4
587311,29.7
369,6.0
756905,31.5
132534,18.2
34056,7.1
876447,29.0
762464,15.3
749649,36.2
179621,48.6
420268,10.5
206135,57.2
8334,9.2
599635,25.7
760485,39.0
71147,7.0
568070,7.6
379715,29.2
466879,38.4
470284,9.6
9954,1.2
858672,8.1
356400,27.0
795666,10.8
872344,20.2
844790,9.5
268560,50.9
764321,16.0
33282,6.3
761077,16.8
991687,32.2
297543,38.2
941776,12.0
212599,28.4
425180,35.2
276867,20.7
360762,13.0
36315,11.2
535795,21.8
617796,0.7
1028286,2.5
396790,43.0
104888,42.4
12186,1.1
158715,26.6
12402,3.1
477637,38.7
866675,10.0
635434,36.7
348413,41.9
429977,40.4
356045,16.9
701498,32.7
432706,1.4
1046504,16.4
613562,10.0
821046,14.3
250208,14.4
125820,15.0
521572,13.5
741281,19.6
297150,5.5
808948,6.4
335981,46.2
12510,0.9
7038,1.1
117214,3.4
891378,5.2
823356,7.6
719718,4.9
983859,15.4
405552,59.5
289369,22.5
65870,13.0
24471,3.7
851552,27.4
386187,25.5
518831,42.4
1046642,15.8
583583,16.0
18648,12.0
691921,4.7
527677,23.1
355203,12.5
922851,11.6
678523,8.8
965061,30.0
181860,3.5
35343,9.0
1000316,6.1
106635,10.4
196838,8.7
36162,25.6
83000,27.0
624434,10.2
332198,27.6
629495,17.9
1039133,42.3
696965,22.2
93337,44.0
13059,1.2
321539,8.4
388108,7.0
343404,47.4
795162,8.3
687957,6.2
261532,20.5
586590,2.6
784348,21.0
795196,10.1
29790,6.3
22788,4.4
431072,26.4
325310,38.2
950522,10.2
226794,9.8
31437,1.0
899167,45.5
433715,14.9
376046,12.1
257109,2.0
558181,8.9
1030458,41.2
910067,16.9
716958,14.9
762779,15.0
155751,17.7
881028,3.1
537051,39.8
145608,8.9
488630,31.4
950196,8.8
93149,28.8
875041,14.6
514716,23.9
159574,29.1
226215,8.3
879559,17.3
64899,4.0
873365,19.9
435968,14.7
424565,36.7
909525,9.7
7065,1.1
708414,11.6
362334,21.8
764727,10.8
1024436,9.0
536337,0.3
299247,4.3
537660,15.0
294362,36.8
280144,23.0
533361,36.5
858080,20.6
761379,2.3
219942,25.9
1019438,0.9
850420,24.9
697536,46.5
164577,19.4
607200,24.7
236609,47.4
1004186,23.5
488298,31.7
891353,17.7
587998,28.1
156689,11.2
903455,15.7
114387,50.7
221982,27.2
913952,3.4
625125,16.6
330751,1.1
394562,32.3
865575,15.2
634372,9.6
454438,29.9
880558,11.4
939035,8.4
59299,12.0
759582,14.3
340165,31.8
405098,32.9
598851,11.1
492483,17.4
77219,8.0
507687,12.3
522765,30.1
670646,2.9
451632,7.6
971877,19.8
7632,2.8
690179,15.1
888416,27.3
333711,33.8
191484,24.4
862617,4.5
411869,24.2
780986,25.0
908017,16.3
784528,32.0
675564,5.3
303890,2.8
231085,8.4
78526,17.0
89411,28.0
763485,21.0
701872,38.5
116785,20.4
654199,13.1
647879,5.4
101804,6.0
6822,0.6
24147,16.1
1038150,14.7
398756,38.5
365440,6.9
340148,23.8
506087,3.0
82828,26.0
918828,27.8
515700,31.4
486481,19.4
656138,27.4
689930,33.2
543003,26.7
258017,14.0
762319,10.6
345127,24.6
33615,4.3
519944,39.1
804736,15.6
145960,21.1
637909,15.8
867800,20.8
385036,25.3
844547,7.5
819521,4.1
790897,6.3
760197,17.8
660371,25.7
637359,38.2
221482,8.2
74256,10.0
32787,2.0
706749,18.0
1007278,2.6
865377,11.3
104196,6.0
397838,24.8
272331,31.3
221729,38.8
523860,6.3
270947,6.3
935774,14.1
1013834,9.2
936777,30.6
404766,26.4
305328,9.0
352772,28.5
330601,7.3
719218,3.5
844799,5.3
53477,34.0
1030433,24.1
11268,7.2
1045341,8.4
176480,27.3
777472,18.0
354559,20.8
1000523,22.2
857727,7.2
1037909,20.5
238593,8.9
141002,6.5
378613,8.0
17478,7.7
185971,6.5
396945,14.5
910915,16.3
966285,33.0
1038658,17.3
708053,31.6
1025266,9.6
548086,9.8
609775,3.7
753774,1.9
339064,43.5
1045624,34.1
94851,24.0
136786,9.6
205441,31.9
522010,17.8
528894,5.0
657941,28.1
634614,14.6
32058,0.5
76602,37.0
934216,20.6
659936,46.0
158870,29.5
635205,29.8
451645,13.5
592453,43.5
732100,5.1
218595,38.5
659132,12.2
748998,18.5
546462,14.7
787536,6.3
500207,7.8
816014,21.7
153228,38.5
223903,16.7
700220,35.5
152700,38.4
525819,41.1
919903,30.5
552372,18.5
265485,26.5
655810,5.9
459766,36.9
116018,8.1
159604,30.1
895226,30.8
718952,11.5
53440,6.0
526008,16.0
936917,18.6
661518,16.0
1005892,1.0
618796,11.3
1001866,16.0
179499,56.4
770146,24.0
952829,10.1
380995,11.5
471109,10.4
83688,56.0
332123,9.2
925245,3.5
967120,12.7
546420,3.9
326474,16.3
575451,38.6
161179,40.3
219185,32.6
745663,9.0
989522,10.3
665337,6.5
381821,13.7
688631,8.6
848797,12.7
501126,8.6
697151,7.3
28512,0.2
48939,51.0
760309,38.8
287813,28.3
979374,36.2
832238,16.0
642063,34.8
231961,11.0
38873,33.0
460665,11.8
217972,41.6
763138,33.9
179331,46.7
697740,22.1
20466,18.9
220635,40.5
319442,19.5
3519,7.4
426394,8.3
764818,25.1
651339,21.5
960696,17.1
324535,5.4
72219,16.0
559406,0.9
417858,31.1
720399,14.4
704632,37.0
917647,16.8
15327,3.6
623735,26.2
169941,40.0
368919,11.1
1015305,17.6
402293,32.3
946670,17.5
585443,27.7
367245,2.6
741965,16.5
389271,13.3
181336,3.7
586409,0.4
762609,5.3
130122,6.4
96242,27.1
695630,25.7
963020,17.2
934331,4.3
963711,12.1
854325,12.6
504526,13.3
111974,26.9
383805,0.5
524833,32.6
574810,22.0
789263,49.2
628826,4.8
234111,8.8
230401,22.1
550664,12.9
87707,17.0
837924,22.0
369469,15.3
941344,23.6
175134,18.9
727917,10.1
106158,34.1
994749,23.7
857891,19.1
618469,5.2
885609,13.3
889950,13.8
172306,21.8
221130,1.7
450637,19.4
957752,23.6
380223,7.2
1028333,6.2
720736,14.3
668245,7.2
31113,41.9
520294,19.5
788973,22.3
151801,12.2
583579,9.9
147460,17.4
1007307,6.4
825607,17.4
497687,4.0
14454,22.3
359433,18.4
165919,36.5
977042,9.4
746163,1.5
322126,9.2
3339,10.0
732347,11.0
869472,21.5
454106,46.4
41605,12.0
356032,4.8
938641,28.5
540352,34.1
421706,14.4
960476,10.2
593276,38.9
996362,39.4
71970,19.0
175323,13.3
107557,26.3
351558,12.6
975924,3.7
320431,18.7
100122,47.5
915588,29.9
277366,12.9
991734,20.3
721326,21.2
598683,7.7
474789,26.2
1023173,39.8
566315,5.3
312981,25.2
443617,7.2
233259,28.6
422914,37.5
635919,23.1
195484,19.5
554445,9.3
42919,15.0
556705,12.0
1045527,25.5
35046,5.3
563070,5.5
890660,22.9
388640,22.1
628868,28.3
204465,15.2
861391,4.8
320583,3.4
695177,40.4
827942,10.2
500567,1.6
528247,3.3
700424,15.2
434143,17.1
150348,11.7
1008136,20.9
69423,4.0
480187,21.9
411598,32.0
374729,3.2
218566,38.2
993530,21.9
874915,31.8
592281,4.3
269798,26.4
696798,14.5
226043,49.6
1003390,16.0
58103,20.0
725495,9.0
27801,1.8
359895,22.3
99732,52.0
115595,8.5
811557,24.6
322755,3.9
300052,9.1
46290,5.0
425218,25.1
572442,8.6
849612,36.2
747843,9.1
525422,39.7
748171,8.9
93442,11.4
484025,19.2
814556,8.3
1045748,7.0
965392,22.9
1041419,50.3
169634,46.1
642912,30.6
967874,7.0
599257,5.1
695446,12.7
1018320,4.0
566212,7.2
846590,44.9
319618,14.6
168930,44.2
36396,10.2
958087,18.8
460113,46.2
649323,26.7
476023,22.0
486804,9.3
898314,9.3
17388,17.3
517548,27.8
1045280,12.8
504613,25.8
30591,12.6
1046743,10.1
302680,3.8
569867,11.6
140856,8.9
721224,11.4
5130,19.7
76007,22.0
423975,9.3
928944,4.4
76887,22.0
902645,10.1
51368,26.0
1045179,8.9
767319,13.0
725318,15.3
731281,7.1
668697,10.3
473051,9.6
301527,4.0
663637,13.2
83322,36.0
764147,17.4
920839,14.3
31248,1.6
889450,7.5
45133,42.0
841307,9.7
475793,6.0
978325,38.3
127179,17.0
855522,15.1
888349,15.1
863726,10.8
291990,19.1
573199,1.9
400544,15.0
702352,36.4
430969,27.7
870320,16.5
51278,51.0
406180,20.7
162935,8.5
261568,11.3
541272,6.4
521253,5.2
390246,14.1
426390,15.5
371822,11.1
1012849,12.2
830735,30.9
726297,13.5
681355,8.1
57468,6.0
585716,18.8
902028,27.6
414771,11.6
919777,29.8
859655,21.0
922162,48.8
559573,4.9
425039,29.8
806475,31.0
409845,44.7
934369,3.2
365725,15.3
646798,24.6
361434,8.9
20340,12.7
658600,42.1
177362,3.8
479851,8.5
238630,19.7
95293,14.7
765508,16.0
34740,3.1
760047,38.4
741629,20.1
999731,55.3
428324,12.6
241407,3.4
1038294,8.7
841874,4.3
9387,3.3
756109,24.3
456349,27.9
71671,4.0
733930,25.8
1006081,3.1
172737,42.0
968247,19.9
1045509,6.5
501182,6.6
350145,23.5
762737,24.8
80058,23.0
123342,37.0
308086,29.6
759881,8.2
772002,19.0
6300,4.6
113177,43.0
363015,14.1
552661,19.6
24003,19.0
920713,12.1
359542,27.0
467448,30.9
313832,39.0
942627,16.2
919874,27.7
200307,11.7
824564,4.1
8892,13.3
311069,39.6
513813,3.9
799666,23.0
438709,5.7
450928,8.0
543485,26.5
657105,13.0
580296,7.0
263786,49.4
936210,15.5
411153,46.8
638496,41.1
410495,48.0
657374,4.5
1045660,17.2
302484,24.2
211491,15.7
987973,24.8
729296,17.4
420263,47.8
859999,30.4
847404,40.6
11907,15.8
4932,2.2
868363,9.1
571918,17.1
145918,16.6
728065,21.7
243766,19.1
569140,26.9
410001,33.0
588252,7.1
956446,10.5
699835,7.3
714490,29.0
626718,5.4
595619,5.2
144956,11.7
90334,46.0
695397,27.4
265304,33.1
20493,8.3
480653,20.9
762949,5.9
258971,7.3
302852,16.5
789128,30.2
674291,7.6
26190,12.4
10737,1.3
890505,2.8
962622,3.0
412541,14.4
331690,41.9
362158,22.6
847429,11.8
906543,21.7
303769,6.7
79651,8.0
981090,6.8
111391,8.0
788040,16.4
624694,9.9
667352,14.6
1013418,0.9
653724,19.6
547518,9.4
403811,16.8
319045,16.7
309487,15.8
671765,16.8
592366,2.2
662342,26.5
912171,9.8
586749,8.9
988861,4.3
412046,34.3
252464,8.2
761740,11.7
805458,13.6
335277,15.4
496903,17.7
994940,8.0
761417,9.6
678145,0.8
144408,13.1
705443,28.0
797716,4.0
875032,6.0
308153,42.4
242356,40.6
267356,19.0
409177,14.5
485366,27.4
249785,1.8
309869,37.4
879975,20.8
836504,10.6
152896,54.5
85667,26.0
244573,3.3
300283,26.0
568367,7.1
423167,28.1
966692,32.3
95765,25.8
288098,32.9
986771,14.1
393432,46.1
33552,23.2
515527,28.9
55721,19.0
815438,9.3
714876,41.1
323107,4.0
1016403,18.0
264964,19.8
1000197,29.3
319032,9.1
8919,9.0
14922,24.1
451999,28.5
943961,13.1
748976,29.0
630101,20.4
522899,7.7
454792,30.6
10782,2.7
182892,22.1
15696,0.4
803417,18.9
114937,8.0
936109,12.7
152880,51.3
793989,47.0
990214,16.7
301976,9.3
919071,13.3
883612,5.5
508508,2.4
264822,31.1
253993,3.1
263610,20.4
604283,9.1
726314,21.3
524078,12.8
419439,18.0
290080,45.5
452483,9.7
924338,7.3
450252,10.5
859180,13.8
373638,5.3
307228,53.8
768192,32.0
61280,12.0
259666,5.3
761899,26.3
498609,10.0
29160,9.3
689622,10.4
370278,1.5
645422,34.9
476292,16.6
550341,44.4
909025,9.6
555847,17.0
198649,19.3
502591,3.4
710004,16.0
92480,34.0
548603,12.9
886143,7.7
278821,18.2
729426,3.3
89130,35.0
159157,25.8
11799,8.4
706807,13.4
684752,17.4
715494,5.1
181864,2.9
187246,2.5
953108,9.8
210741,29.6
888971,5.1
994323,2.8
31329,0.1
317959,5.4
753372,9.8
898600,5.6
1031792,7.9
737276,10.1
465326,35.0
285885,48.9
869627,10.0
487490,17.9
678879,11.7
797460,13.7
474276,42.2
833844,11.3
463984,17.1
584876,15.1
154401,22.9
617320,23.4
6462,3.3
27315,1.7
300756,8.9
597007,4.5
124205,3.7
594563,2.6
366126,5.0
132022,24.2
224530,14.7
261265,5.7
331518,33.5
168099,13.3
797208,3.1
1004312,14.3
247907,45.8
347084,24.4
904371,4.6
6678,12.4
795792,6.5
301163,37.2
766403,9.0
1011292,3.8
385880,10.8
5436,19.3
154938,20.2
907324,22.6
414590,3.6
897226,6.8
293131,15.0
155755,17.4
705275,36.7
214038,32.5
347721,15.2
25695,0.4
30447,4.5
636845,29.4
432019,14.7
137221,2.9
73418,12.0
229203,25.5
119071,13.0
764622,28.9
779649,17.0
158753,36.4
614873,8.7
584733,12.7
619146,11.3
575749,18.4
164437,7.2
14742,10.3
115142,35.9
955378,7.0
668823,17.9
170271,37.1
616013,6.2
685997,23.3
473671,51.6
409074,17.4
770578,5.0
746180,12.5
554135,35.0
760925,25.8
916874,6.9
883553,20.1
363806,13.1
725818,13.0
539516,28.5
103861,31.0
572831,24.2
218950,19.0
56463,23.0
29439,8.9
907009,7.1
887063,6.3
194759,12.6
1044339,28.7
97836,23.0
196175,11.0
99790,66.0
339208,34.1
308799,13.3
260485,20.4
526508,13.2
522395,30.0
788796,18.1
208938,33.9
238316,39.0
512296,3.7
501518,4.1
103779,31.4
882301,7.9
919361,9.7
665336,13.1
987250,18.0
131084,16.3
5760,31.6
864012,17.9
454810,13.2
651507,14.8
675725,24.2
96742,11.8
251189,2.1
348284,30.3
865789,15.9
345198,13.2
856656,23.2
587291,37.7
827724,3.5
484665,31.3
428393,4.0
8730,10.7
122089,7.7
953299,18.7
14490,17.6
866889,6.5
711969,10.6
690672,24.2
206285,8.0
108579,28.0
563132,22.0
303597,11.7
830924,7.1
1043210,18.9
458687,10.4
783842,23.0
44474,29.0
92820,25.0
343334,29.9
703594,8.0
250772,15.2
645397,17.9
769641,7.0
373780,12.6
221537,29.1
1001612,9.9
134763,1.2
310687,7.2
529863,17.4
298648,11.1
713671,19.5
3618,1.9
323182,22.5
700388,12.0
522416,9.4
492782,14.8
267193,21.5
13644,1.6
702036,14.5
930011,4.6
13149,12.5
814165,26.8
564959,18.1
857349,3.6
197912,8.1
818068,7.6
17037,11.5
586052,13.4
737427,8.9
888135,8.5
947995,32.8
394772,23.4
857353,18.0
146270,5.8
421883,15.9
352494,20.5
733410,12.1
58856,2.0
998506,6.1
374800,8.4
839141,11.4
562713,8.6
773955,11.0
830487,42.3
834992,37.5
563500,9.7
353733,7.7
454646,37.2
594965,29.3
62963,6.0
662226,20.3
240244,0.5
822604,21.4
962703,9.1
722228,9.0
999263,59.2
1008633,8.0
1031644,3.3
242423,43.2
1016873,2.6
264419,8.7
582670,20.0
604337,30.5
35730,1.0
645296,47.1
322931,3.6
354579,11.2
1030221,16.9
142393,8.8
922385,16.5
198238,4.5
227318,28.7
517002,36.9
179756,16.0
921251,47.9
391791,2.9
650725,18.3
238312,31.3
984071,5.5
417874,29.1
598249,2.9
565585,17.1
639358,43.0
516749,69.7
967993,25.8
103013,10.4
1003932,33.0
391276,6.5
1010500,19.4
763412,27.0
348804,9.7
625108,12.3
346917,17.1
539664,15.9
431315,1.9
506613,27.5
686165,26.7
398727,44.7
838880,5.7
28629,0.5
4752,10.1
218782,20.5
11187,3.5
787599,8.8
854707,11.0
705741,9.4
1030365,11.3
711244,13.7
968933,26.9
946636,16.4
943394,15.0
1005102,2.5
813090,10.1
206864,53.7
498117,11.6
694169,36.5
238114,12.8
892924,22.1
729213,7.2
765115,4.8
806286,19.4
899793,9.4
3861,6.4
586303,23.9
279264,15.7
24417,4.0
495897,2.8
910058,1.1
635209,25.0
628066,13.6
111764,18.0
1007913,17.2
71369,23.0
965680,11.8
542786,31.6
756609,2.9
279783,41.5
958595,9.0
593755,13.7
243163,2.3
265300,26.1
147335,31.8
716996,11.9
1046023,3.1
965502,11.2
367761,29.9
169563,13.9
53163,25.0
754093,14.2
32508,4.4
231785,42.8
487203,18.7
475183,49.1
685666,3.7
31311,1.0
82398,42.0
531018,12.6
947869,32.5
296978,1.2
832642,16.5
369489,19.7
417003,25.2
962656,8.2
913104,26.3
368448,7.9
793607,15.4
118329,2.5
557654,18.1
883616,40.6
782552,3.0
710294,13.7
198492,2.8
516581,38.6
449394,19.6
129348,6.9
664312,10.9
90941,12.0
732982,34.7
447011,14.7
1043903,28.5
1005930,6.8
323006,10.2
594080,21.0
9432,1.6
46393,20.0
411692,21.3
727374,5.0
954881,17.6
74751,5.0
853506,2.2
916912,33.1
108960,12.0
841115,22.7
637231,14.1
1021751,16.1
60003,19.0
927268,19.8
907702,24.5
279590,20.5
72368,6.0
450485,8.6
601154,9.3
862777,6.3
970941,6.4
576634,24.5
837168,5.3
203617,9.9
541465,11.4
411133,25.4
378000,16.7
868149,11.6
1014331,17.8
401118,20.2
440301,11.5
369525,13.9
1021319,7.2
219717,9.2
901188,24.3
632135,16.9
986621,4.5
1001117,22.5
550048,54.0
2997,8.4
156618,12.3
476731,23.7
770423,15.0
613091,16.9
216453,47.1
183946,0.2
232195,24.4
722826,2.9
836794,1.7
994139,14.1
500958,7.0
317615,23.1
643718,20.0
732428,24.6
813632,38.9
104565,24.0
773611,41.0
185141,40.8
588518,13.1
760476,16.0
64250,9.0
337155,12.9
480203,23.8
792258,16.0
577616,31.7
1004182,6.7
253469,10.7
550496,26.3
279821,30.2
150922,34.4
737473,13.4
39487,58.0
842983,14.4
8028,18.0
901478,13.7
409066,4.4
73732,9.0
113026,38.4
25362,6.3
811397,31.1
119980,7.5
98513,12.0
532841,29.9
255382,10.7
91502,53.0
889072,10.2
881876,30.0
159230,28.3
34632,0.3
348820,7.9
878148,45.8
845314,9.9
1019303,12.8
270276,35.1
242726,11.9
408229,25.9
16146,4.6
522084,19.5
813531,22.0
551323,8.5
455663,36.8
940106,30.7
11160,4.9
743394,4.1
501903,4.0
94838,28.6
993389,39.3
884654,8.3
264608,14.6
996015,28.8
275039,25.8
1026319,30.7
818551,15.1
79178,23.0
516191,4.1
34155,19.0
232632,5.8
469769,26.8
551008,13.2
383971,21.3
14679,7.8
183790,15.8
44383,18.0
61695,8.0
573684,21.1
147999,15.2
23445,27.4
940869,16.5
567570,8.1
573450,12.0
5535,27.9
46462,4.0
583746,24.9
543280,5.2
825985,9.5
5670,37.3
709864,9.1
653196,46.5
36558,14.2
334614,24.4
709269,6.7
243515,12.3
826451,7.7
57996,10.0
13779,3.8
537853,22.3
320453,8.5
40330,25.0
1006749,14.2
629167,25.7
938162,37.6
453488,13.5
820668,8.0
642899,16.7
607261,22.7
894839,20.7
807987,20.9
18603,1.0
249836,5.2
814880,23.7
971204,17.3
407391,43.3
436997,12.3
936134,11.1
761552,47.6
625486,22.5
673303,8.8
585909,8.4
125880,10.1
407743,23.1
745925,29.9
474092,19.4
803366,7.9
651999,28.2
646266,27.9
936282,22.4
645648,23.4
127394,18.4
806664,34.9
534751,27.2
163467,33.5
505310,17.9
885949,5.2
760901,6.1
631709,40.0
57343,130.0
40699,41.0
672437,10.5
371042,4.8
147948,3.8
490373,12.7
824762,10.7
139653,35.7
674009,15.6
268212,35.6
87572,38.0
599019,12.5
539680,41.9
633495,31.9
667403,13.5
1022280,16.3
627774,4.7
548573,3.4
602967,6.9
444782,13.6
263646,19.5
731061,20.8
446956,16.4
506206,4.7
242811,2.2
409001,32.5
434013,10.5
384508,23.9
94361,40.9
139967,31.5
230999,13.7
98251,5.5
711116,17.3
636493,10.1
191764,19.6
682587,29.4
870572,13.8
763953,14.6
1010970,22.8
992986,19.1
905530,10.0
201002,17.6
862365,9.6
424694,28.5
457315,36.8
573705,32.5
675530,3.7
710175,10.8
432794,12.0
870140,13.2
