,no2
193107,16.0
95821,13.9
28269,1.8
872726,52.0
62869,2.0
868804,3.2
314089,30.0
554975,8.1
127163,17.0
111274,39.0
69612,16.0
1036127,15.6
833201,5.2
697491,26.4
1018104,15.8
469222,27.4
796931,13.7
1028756,7.7
249253,11.1
435876,12.5
464320,27.3
981479,18.4
934648,13.7
942305,8.0
319736,5.4
119767,32.0
126736,3.0
503100,0.8
147511,21.5
28674,0.2
624242,4.7
789670,11.4
94709,34.8
783565,36.0
924455,4.4
28134,15.8
612094,3.7
28494,0.1
1043640,21.6
90778,25.0
903552,4.1
874663,13.8
268732,53.4
1010250,18.7
586283,21.7
441151,22.0
871264,4.4
133078,11.3
801044,20.4
29133,4.5
987538,11.3
684853,18.3
440124,31.3
1020023,23.7
151416,36.9
349617,17.6
670344,6.4
156845,20.0
381339,3.2
893084,13.9
155727,19.0
666857,12.0
581942,17.7
893491,35.9
263107,10.8
316107,18.3
976797,24.6
195986,5.6
595757,7.7
454283,25.6
360256,15.9
52048,2.0
760235,26.1
279645,40.8
799064,5.3
51983,11.0
128015,11.6
286694,13.0
198623,17.0
638258,32.1
109644,22.5
255877,4.7
89919,19.0
512415,12.8
566931,19.7
61641,8.0
218148,19.6
1009724,10.0
852939,6.0
216554,32.4
485656,2.2
441510,0.8
897882,14.5
967840,32.7
58152,14.0
191956,20.6
744500,23.3
580572,9.4
255386,30.2
704984,35.0
762817,15.1
1044516,9.3
448142,3.7
958973,7.2
774863,8.0
200826,10.9
565430,9.3
580499,7.9
884808,11.3
415982,28.3
720620,5.6
281581,12.4
896297,16.0
55397,55.0
321543,8.4
512855,33.8
916382,13.6
560075,10.4
344799,42.5
818198,11.7
805496,26.6
977749,39.3
43939,51.0
276360,13.6
652502,42.0
534037,13.8
373756,2.7
751849,39.7
603455,14.4
201024,27.3
514043,23.9
342487,27.9
188921,3.9
121397,18.7
21591,5.7
497116,7.0
663570,7.5
525005,33.6
449613,21.9
790490,15.8
465318,4.3
681747,10.8
670041,8.3
665887,7.9
474634,23.9
10080,1.5
9234,13.4
180964,20.9
72491,5.0
300232,16.1
926310,29.6
696340,20.9
7371,3.9
257125,8.2
244402,15.0
749784,22.3
33381,13.3
627816,21.0
175113,4.9
746537,10.7
320834,7.7
499637,10.1
306302,3.2
815825,30.2
592814,25.9
562897,5.0
894873,18.9
597917,33.0
792690,50.0
82132,10.0
908139,25.2
406335,31.2
397847,27.0
373772,6.6
824573,20.1
157345,40.9
1034258,9.0
17532,35.5
272034,27.8
186017,18.2
556466,4.9
957799,22.7
17370,31.1
806340,9.0
492147,25.5
473163,12.5
547649,20.5
137208,6.4
603553,19.8
972050,24.7
932020,10.0
165164,15.7
12915,1.7
126,32.0
950936,33.1
776678,11.0
894146,6.2
343559,11.9
820445,8.2
185304,10.6
75103,3.0
14850,3.6
361106,27.2
571554,15.3
125468,12.0
539689,13.2
993346,34.2
159558,29.8
246199,6.3
760397,23.2
610065,3.4
108893,19.8
689471,13.4
6093,8.9
627521,20.2
380480,6.7
426584,24.7
948976,33.5
84930,16.0
161389,53.1
684526,22.0
635476,32.1
790931,17.4
213987,12.8
889131,4.6
354734,25.4
889610,20.0
542269,26.9
598430,6.4
559105,16.4
1005552,5.3
415792,36.6
668160,12.1
494379,9.3
796897,21.0
158526,25.6
1019832,2.9
674845,14.7
932074,9.2
908269,12.9
580748,36.0
843285,6.8
114735,7.5
