,aqi_no2
290690,safe
123870,safe
532145,safe
331645,safe
129705,safe
462854,safe
884208,safe
435095,safe
465554,safe
259220,safe
521387,safe
8100,safe
479137,safe
610974,safe
753106,safe
513911,safe
891416,safe
91366,safe
764664,safe
621631,safe
288622,safe
448176,safe
834332,safe
329050,safe
36735,safe
303221,safe
855841,safe
352710,safe
472613,safe
544986,safe
460990,safe
153248,safe
563909,safe
110278,safe
625206,safe
951855,safe
18945,safe
5949,safe
766063,safe
785284,safe
451903,safe
752783,safe
303388,safe
719612,safe
1006904,safe
1032220,safe
766718,safe
162059,safe
1001099,safe
34290,safe
262693,safe
512977,safe
391256,safe
186540,safe
380746,safe
369997,safe
909815,safe
47853,safe
161188,safe
517971,safe
8325,safe
923573,safe
820546,safe
586807,safe
775985,safe
3285,safe
727353,safe
322882,safe
136734,safe
198345,safe
329725,safe
611640,safe
252405,safe
954097,safe
469576,safe
511985,safe
98676,safe
916033,safe
763003,safe
112146,safe
1030340,safe
203597,safe
600064,safe
372380,safe
472831,safe
487642,safe
931095,safe
692324,safe
233662,safe
1033376,safe
733292,safe
22923,safe
477314,safe
761065,safe
819975,safe
386693,safe
436941,safe
488453,safe
9342,safe
471839,safe
702965,safe
74432,safe
538849,safe
14229,safe
594329,safe
877581,safe
501080,safe
131792,safe
987610,safe
755269,safe
899104,safe
640642,safe
463188,safe
468640,safe
1037405,safe
761735,safe
38042,safe
856093,safe
308238,safe
786377,safe
936307,safe
464770,safe
497183,safe
153379,safe
108382,safe
195741,safe
519683,safe
1046393,safe
612312,safe
689520,safe
357153,safe
966404,safe
344984,safe
24012,safe
35397,safe
708362,safe
835782,safe
634219,safe
119176,safe
441359,safe
914112,safe
952118,safe
276175,safe
993202,safe
585582,safe
130560,safe
183891,safe
79018,safe
602914,safe
580614,safe
974932,safe
530871,safe
788015,safe
117374,safe
545002,safe
93782,safe
538034,safe
150192,safe
738432,safe
809137,safe
851257,safe
554749,safe
781868,safe
342281,safe
678812,safe
200697,safe
169282,safe
341364,safe
39466,safe
419282,safe
895545,safe
790267,safe
472175,safe
594227,safe
658764,safe
375338,safe
74298,safe
276695,safe
449271,safe
40712,unhealthy for sensitive groups
303446,safe
101602,safe
687010,safe
80205,safe
32265,safe
25110,safe
265099,safe
922133,safe
191642,safe
197706,safe
23193,safe
302165,safe
367744,safe
67562,safe
211264,safe
49636,unhealthy for sensitive groups
223133,safe
994070,safe
725461,safe
944067,safe
53829,safe
720973,safe
777211,safe
470916,safe
463760,safe
491659,safe
590822,safe
967336,safe
486190,safe
26019,safe
294777,safe
236961,safe
119705,safe
594,safe
587262,safe
655725,safe
13716,safe
501130,safe
940466,unhealthy for sensitive groups
587627,safe
77404,safe
256884,safe
450097,safe
50937,safe
336324,safe
138076,safe
785788,safe
722212,safe
3780,safe
148648,safe
99547,safe
846640,unhealthy for sensitive groups
787914,safe
251039,safe
693951,safe
362877,safe
420985,safe
701977,safe
414961,safe
518789,safe
762469,safe
585250,safe
617419,safe
19953,safe
885706,safe
820697,safe
294517,safe
499777,safe
1020590,safe
810212,safe
928242,safe
1033673,safe
634282,safe
202407,safe
1031720,safe
373241,safe
1032402,safe
954367,safe
206817,safe
436667,safe
581220,safe
644509,safe
32175,safe
72906,safe
579608,safe
18729,safe
985992,safe
699658,safe
23517,safe
738608,safe
617203,safe
548589,safe
317273,safe
63217,safe
7596,safe
444688,safe
344146,safe
747834,safe
244920,safe
107033,safe
379522,safe
340907,safe
563410,safe
760078,safe
593706,safe
26037,safe
928838,safe
217901,safe
62399,safe
753287,safe
1044490,safe
999706,safe
987901,safe
563255,safe
816824,safe
679367,safe
683345,safe
125893,safe
93545,safe
1029573,safe
946742,safe
603459,safe
634457,safe
482754,safe
120714,safe
680301,safe
883335,safe
835937,safe
767843,safe
59032,safe
947428,safe
355927,safe
296298,safe
1039205,safe
482992,safe
345525,safe
4833,safe
424510,safe
229897,safe
911692,safe
17883,safe
907160,safe
190254,safe
84220,safe
882797,safe
242004,safe
417298,safe
822667,safe
462274,safe
345512,safe
539180,safe
262220,safe
555165,safe
735511,safe
500281,safe
864873,safe
3627,safe
507730,safe
72355,safe
29088,safe
576955,safe
999407,safe
523528,safe
833941,safe
992683,safe
961315,safe
760830,safe
103496,safe
762535,safe
420972,safe
872537,safe
794351,safe
65607,safe
1013643,safe
585835,safe
421516,safe
973795,safe
231622,safe
681985,safe
785003,safe
925772,safe
764337,safe
716466,safe
18954,safe
639886,safe
460104,safe
80824,safe
423643,safe
68749,safe
933091,safe
870383,safe
419966,safe
430505,safe
20565,safe
980573,safe
967221,safe
763273,safe
96938,safe
663871,safe
837638,safe
739096,safe
647977,safe
264998,safe
645413,safe
952507,safe
678747,safe
771973,safe
660035,unhealthy for sensitive groups
449537,safe
21834,safe
66111,safe
78231,safe
91779,safe
695312,safe
603148,safe
208096,safe
402112,safe
579664,safe
371029,safe
217742,safe
548020,safe
565598,safe
82112,safe
745990,safe
983452,safe
263942,unhealthy for sensitive groups
885483,safe
513375,safe
389868,safe
246203,safe
108236,safe
876409,safe
243200,safe
749766,safe
445219,safe
909941,safe
102110,safe
391452,safe
120123,safe
339700,safe
426567,safe
277589,safe
529695,safe
857828,safe
165009,safe
824186,safe
422495,safe
544200,safe
111114,safe
771586,safe
474511,safe
966933,safe
38066,safe
109254,safe
570579,safe
591474,safe
324414,safe
644005,safe
408323,safe
141032,safe
674783,safe
507894,safe
614731,safe
295266,safe
38770,safe
127265,safe
823968,safe
500518,safe
1009085,safe
229383,safe
991678,safe
591949,safe
1018367,safe
99028,safe
962512,safe
287222,safe
2781,safe
34686,safe
533362,safe
819420,safe
973376,safe
47857,safe
503436,safe
363643,safe
281192,safe
912789,safe
38590,safe
658932,safe
536333,safe
512875,safe
517515,safe
962685,safe
379875,safe
754971,safe
368126,safe
253813,safe
907916,safe
80638,safe
258107,safe
273720,safe
761829,safe
623859,safe
103567,safe
258332,safe
898978,safe
799363,safe
61826,safe
37023,safe
642437,safe
564422,safe
329770,safe
1046720,safe
820643,safe
707642,safe
15534,safe
417621,safe
575496,safe
656047,safe
961027,safe
36234,safe
49144,safe
17064,safe
361681,safe
222334,safe
829310,safe
733569,safe
990261,safe
164695,safe
742570,safe
967527,safe
67709,safe
290283,safe
35361,safe
469097,safe
558758,safe
789414,safe
3249,safe
884916,safe
526966,safe
868556,safe
954448,safe
363802,safe
311891,safe
26055,safe
323586,safe
470941,safe
39320,safe
997612,safe
562057,safe
5814,safe
180711,safe
585573,safe
1015820,safe
107913,safe
927526,safe
856908,safe
1002752,safe
320805,safe
807571,safe
566716,safe
208599,safe
759243,safe
538063,safe
833651,safe
33201,safe
1006047,safe
99594,safe
997079,safe
1010034,safe
677049,safe
594006,safe
92657,safe
871714,safe
966366,safe
550673,safe
139594,safe
1043028,safe
129227,safe
37882,safe
171843,safe
974477,safe
349982,safe
587295,safe
449954,safe
527125,safe
425580,safe
670516,safe
810603,safe
380197,safe
597762,safe
343790,safe
231416,safe
936811,safe
1009991,safe
919197,safe
867292,safe
368096,safe
298849,safe
162993,safe
587081,safe
226146,safe
180187,safe
36675,safe
298395,safe
273892,safe
457344,safe
366980,safe
478683,safe
358061,safe
832629,safe
967937,safe
561554,safe
877165,safe
81134,safe
78702,safe
267062,safe
836387,safe
991503,safe
887601,safe
90782,safe
36834,safe
325432,safe
787574,safe
616500,safe
659853,safe
524517,safe
485932,safe
370193,safe
5490,safe
417959,safe
993844,safe
974011,safe
892353,safe
199242,safe
945036,safe
621224,safe
339829,safe
6633,safe
135799,safe
44454,safe
532862,safe
54492,safe
714658,safe
937061,safe
210057,safe
167028,safe
165915,safe
51421,safe
68598,safe
80586,safe
895944,safe
441086,safe
170439,safe
237764,safe
628666,safe
201506,safe
226232,safe
901507,safe
256773,safe
650389,safe
583792,safe
408878,safe
312591,safe
321400,safe
338740,unhealthy for sensitive groups
810389,safe
982669,safe
75823,safe
325969,safe
133020,safe
999929,safe
413359,safe
733654,safe
878648,safe
605518,safe
842594,safe
777413,safe
534033,safe
342159,safe
641719,safe
225177,safe
722760,safe
738758,safe
895129,safe
28053,safe
121401,safe
8397,safe
763349,safe
564741,safe
960912,safe
914553,safe
623987,safe
643445,safe
268543,safe
745302,safe
144862,safe
768255,safe
360161,safe
827497,safe
733782,safe
425176,safe
71499,safe
647592,safe
775493,safe
745049,safe
872848,safe
12708,safe
574977,safe
88462,safe
76159,safe
886315,safe
392024,safe
150978,safe
672352,safe
453234,safe
310347,safe
1018151,safe
298211,safe
476527,safe
366201,safe
822098,safe
189134,safe
579946,safe
139066,safe
1003318,safe
938493,safe
637892,safe
664379,safe
792443,safe
1033711,safe
175691,safe
202449,safe
416690,safe
702637,safe
95342,safe
920142,safe
548816,safe
588567,safe
496985,safe
668819,safe
24372,safe
120620,safe
282826,safe
290536,safe
84032,safe
400441,safe
374865,safe
839267,safe
356449,safe
319560,safe
440608,safe
775707,safe
326318,safe
308661,safe
513707,safe
455646,safe
209972,safe
475940,safe
67738,safe
483951,safe
202325,safe
556978,safe
31383,safe
36495,safe
534787,safe
344951,safe
763374,safe
798182,safe
307919,safe
926083,safe
172564,safe
865440,safe
9243,safe
643801,safe
902762,safe
323178,safe
253843,safe
361110,safe
415662,safe
767373,safe
924241,safe
525034,safe
444251,safe
247221,safe
312906,safe
237417,safe
203900,safe
718397,safe
891441,safe
711345,safe
273888,safe
574495,safe
417182,safe
657769,safe
666223,safe
803539,safe
932697,safe
667857,safe
239951,safe
722661,safe
505113,safe
284062,safe
510283,safe
349115,safe
296152,safe
519802,safe
245727,safe
64426,safe
737137,safe
860213,safe
606330,safe
760273,safe
893424,safe
337347,safe
584099,safe
499360,safe
243691,safe
877955,safe
764029,safe
607654,safe
713420,safe
510685,safe
264415,safe
765407,safe
291962,safe
822978,safe
954414,safe
680322,safe
1037819,safe
844727,safe
864318,safe
1036325,safe
173170,safe
317461,safe
190739,safe
971276,safe
485505,safe
981231,safe
705640,safe
749981,safe
794629,safe
542768,safe
112795,safe
850643,safe
1015730,safe
481148,safe
547935,safe
977148,safe
384221,safe
128266,safe
442054,safe
108210,safe
8415,safe
552683,safe
159685,safe
650893,safe
254710,safe
917055,safe
108034,safe
111408,safe
987926,safe
270280,safe
146388,safe
405581,unhealthy for sensitive groups
768410,safe
762388,safe
635545,safe
642399,safe
981363,safe
526564,safe
863004,safe
1034910,safe
605556,safe
93111,safe
810889,safe
428268,safe
349597,safe
943491,safe
27621,safe
1045524,safe
658567,safe
571471,safe
939458,safe
909529,safe
86205,unhealthy for sensitive groups
108089,safe
617039,safe
695820,safe
829789,safe
154724,safe
2583,safe
193773,safe
29808,safe
120198,safe
428607,safe
756651,safe
97705,safe
180100,safe
899604,safe
860440,safe
449237,safe
546265,safe
847221,safe
308430,safe
607121,safe
498608,safe
502256,safe
985425,safe
135493,safe
116600,safe
314523,safe
609640,safe
934306,safe
962588,safe
87895,safe
767528,safe
98382,safe
998184,safe
107486,safe
248373,safe
704968,safe
445080,safe
455625,safe
947390,safe
10305,safe
934225,safe
140725,safe
418791,safe
391962,safe
997680,safe
289846,safe
234496,safe
870077,safe
836576,safe
902418,safe
138735,safe
1025473,safe
984620,safe
492096,safe
572212,safe
702802,safe
787448,safe
510853,safe
301658,safe
709331,safe
568061,safe
479637,safe
21780,safe
279997,safe
43935,safe
441156,safe
757749,safe
537845,safe
9531,safe
425863,safe
764463,safe
627261,safe
663476,safe
920990,safe
852061,safe
664165,safe
926587,safe
118026,safe
370177,safe
326116,safe
614546,safe
109136,safe
479015,safe
889005,safe
1040530,safe
509262,safe
762927,safe
29952,safe
694476,safe
553380,safe
1046511,safe
81744,safe
923229,safe
416491,safe
705103,safe
238910,safe
220155,safe
696302,safe
116789,safe
798065,safe
478132,safe
27270,safe
933010,safe
278054,safe
171684,safe
655020,safe
572709,safe
932333,safe
171147,safe
644574,safe
236794,safe
175633,safe
602213,safe
601770,safe
508226,safe
765155,safe
539579,safe
1014653,safe
634302,safe
252061,safe
759497,safe
84999,safe
510325,safe
1046133,safe
1005262,safe
54579,safe
748503,safe
764762,safe
864255,safe
342608,safe
517397,safe
614217,safe
639546,safe
806500,safe
964926,safe
721056,safe
1027036,safe
422013,safe
962062,safe
76234,safe
1027739,safe
569084,safe
359342,safe
525341,safe
806563,safe
701040,safe
481206,safe
824753,safe
532572,safe
365104,safe
663131,safe
59651,safe
439231,safe
958528,safe
680067,safe
584414,safe
54181,safe
382048,safe
318491,safe
1042913,safe
153177,safe
970437,safe
767692,safe
306201,safe
72270,safe
157316,safe
423802,safe
811271,safe
471655,safe
314158,safe
772594,safe
296861,safe
577249,safe
301855,safe
353612,safe
492954,safe
227443,safe
498741,safe
624430,safe
701724,unhealthy for sensitive groups
543289,safe
111903,safe
366348,safe
139426,safe
417268,safe
710801,safe
99070,safe
144076,safe
949840,safe
555119,safe
460138,safe
300635,safe
712137,safe
1006182,safe
666681,safe
652905,safe
796233,safe
471487,safe
45247,safe
1004337,safe
392494,safe
917656,safe
1044660,safe
521068,safe
90099,unhealthy for sensitive groups
459041,safe
449069,safe
283211,safe
1037261,safe
465821,safe
912570,safe
704430,safe
922095,safe
149771,safe
762837,safe
909311,safe
1046444,safe
459446,safe
234157,safe
918198,safe
58595,safe
812876,safe
745134,safe
31734,safe
782590,safe
826552,safe
565728,safe
7461,safe
718725,safe
304845,safe
1037765,safe
235332,safe
677347,safe
457216,safe
35973,safe
758761,safe
363647,safe
980335,safe
776140,safe
771217,safe
31761,safe
581475,safe
482635,safe
352625,safe
642710,safe
738445,safe
275525,safe
130474,safe
419574,safe
223801,safe
980917,safe
237253,safe
991155,safe
359006,safe
468308,safe
152101,safe
398244,safe
424784,safe
515405,safe
672334,safe
114027,safe
883931,safe
921532,safe
151043,safe
875653,safe
1044386,safe
316938,safe
685424,safe
997160,safe
931451,safe
1024152,safe
997824,safe
254677,safe
350020,safe
208217,safe
923267,safe
96465,safe
680477,safe
591600,safe
438034,safe
928305,safe
269923,safe
424211,safe
269727,safe
149514,safe
1042960,safe
578421,safe
641051,safe
292044,safe
723157,safe
762317,safe
711010,safe
348045,safe
139946,safe
849020,safe
1001468,safe
805433,safe
973977,safe
528578,safe
856127,safe
751800,safe
305689,safe
832242,safe
971555,safe
582110,safe
531560,unhealthy for sensitive groups
416298,safe
536046,safe
74951,safe
799540,safe
250720,safe
714536,safe
609656,safe
517837,safe
682908,safe
541289,safe
745172,safe
239892,safe
684014,safe
264646,safe
631856,safe
664043,safe
905971,safe
900667,safe
601872,safe
552208,safe
32112,safe
763797,safe
1011609,safe
829697,safe
523225,safe
1023470,safe
108214,safe
925587,safe
761512,safe
885260,safe
92127,safe
508877,safe
590256,safe
121133,safe
842745,safe
982221,safe
701556,safe
471252,safe
205277,safe
316996,safe
621667,safe
859302,safe
695966,safe
638955,safe
550841,safe
722208,safe
539848,safe
861029,safe
364863,safe
519768,safe
827022,safe
898667,safe
888715,safe
705823,safe
375162,safe
202235,safe
954623,safe
27774,safe
639210,safe
32463,safe
994023,safe
928521,safe
762659,safe
11340,safe
479468,safe
34281,safe
418006,safe
401332,safe
270624,safe
806248,safe
849851,safe
103919,safe
783405,safe
671499,safe
386161,safe
543088,safe
522433,safe
1031907,safe
690933,safe
182217,safe
322097,safe
185698,safe
219623,safe
911289,safe
385981,safe
170117,safe
761481,safe
258356,safe
19440,safe
1014471,safe
856345,safe
642895,safe
249856,safe
585741,safe
109348,safe
1005678,safe
630459,safe
964503,safe
832743,safe
484878,safe
87744,safe
970729,safe
259630,safe
688020,safe
965511,safe
6579,safe
932011,safe
508361,safe
430031,safe
831243,safe
35685,safe
930112,safe
108141,safe
934009,safe
250192,safe
464442,safe
712839,safe
631364,safe
59404,safe
1022093,safe
869863,safe
32544,safe
236585,safe
867922,safe
712830,safe
520753,safe
622734,safe
476859,safe
925709,safe
763217,safe
68442,safe
631544,safe
444852,safe
470764,safe
193622,safe
737141,safe
45989,safe
756101,safe
150626,safe
143486,safe
1046645,safe
1017593,safe
282021,safe
530703,safe
367643,safe
321219,safe
816232,safe
574600,safe
930515,safe
596078,safe
416522,safe
661452,safe
707894,safe
737410,safe
324011,safe
130217,safe
339048,safe
668483,safe
927551,safe
609611,safe
909374,safe
59635,safe
906282,safe
481979,safe
115318,safe
1045197,safe
893075,safe
980137,safe
634253,safe
1046558,safe
322654,safe
922448,safe
9594,safe
399284,safe
891945,safe
411413,safe
26892,safe
41791,safe
602032,safe
224543,safe
36690,safe
907664,safe
308853,safe
750288,safe
260227,safe
759888,safe
337806,safe
873403,safe
376025,safe
235712,safe
699822,safe
396593,safe
144056,safe
537009,safe
520395,safe
155310,safe
493437,safe
7470,safe
150205,safe
326932,safe
237273,safe
456531,safe
1020878,safe
251084,safe
951974,safe
639188,safe
243007,safe
386568,safe
1030971,safe
531437,safe
1039662,safe
134834,safe
639767,safe
384296,safe
381474,safe
488613,safe
927873,safe
116143,safe
172867,safe
601482,safe
905152,safe
886719,safe
958867,safe
628527,safe
880445,safe
998112,safe
147965,safe
931316,safe
581998,safe
352580,safe
601241,safe
153718,safe
278574,safe
954,safe
56584,safe
114203,safe
715839,safe
1045035,safe
721011,safe
740592,safe
7524,safe
931795,safe
1004346,safe
608226,safe
983101,safe
1022140,safe
382276,safe
980497,safe
973072,safe
152473,safe
432913,safe
581895,safe
587311,safe
369,safe
756905,safe
132534,safe
34056,safe
876447,safe
762464,safe
749649,safe
179621,safe
420268,safe
206135,unhealthy for sensitive groups
8334,safe
599635,safe
760485,safe
71147,safe
568070,safe
379715,safe
466879,safe
470284,safe
9954,safe
858672,safe
356400,safe
795666,safe
872344,safe
844790,safe
268560,safe
764321,safe
33282,safe
761077,safe
991687,safe
297543,safe
941776,safe
212599,safe
425180,safe
276867,safe
360762,safe
36315,safe
535795,safe
617796,safe
1028286,safe
396790,safe
104888,safe
12186,safe
158715,safe
12402,safe
477637,safe
866675,safe
635434,safe
348413,safe
429977,safe
356045,safe
701498,safe
432706,safe
1046504,safe
613562,safe
821046,safe
250208,safe
125820,safe
521572,safe
741281,safe
297150,safe
808948,safe
335981,safe
12510,safe
7038,safe
117214,safe
891378,safe
823356,safe
719718,safe
983859,safe
405552,unhealthy for sensitive groups
289369,safe
65870,safe
24471,safe
851552,safe
386187,safe
518831,safe
1046642,safe
583583,safe
18648,safe
691921,safe
527677,safe
355203,safe
922851,safe
678523,safe
965061,safe
181860,safe
35343,safe
1000316,safe
106635,safe
196838,safe
36162,safe
83000,safe
624434,safe
332198,safe
629495,safe
1039133,safe
696965,safe
93337,safe
13059,safe
321539,safe
388108,safe
343404,safe
795162,safe
687957,safe
261532,safe
586590,safe
784348,safe
795196,safe
29790,safe
22788,safe
431072,safe
325310,safe
950522,safe
226794,safe
31437,safe
899167,safe
433715,safe
376046,safe
257109,safe
558181,safe
1030458,safe
910067,safe
716958,safe
762779,safe
155751,safe
881028,safe
537051,safe
145608,safe
488630,safe
950196,safe
93149,safe
875041,safe
514716,safe
159574,safe
226215,safe
879559,safe
64899,safe
873365,safe
435968,safe
424565,safe
909525,safe
7065,safe
708414,safe
362334,safe
764727,safe
1024436,safe
536337,safe
299247,safe
537660,safe
294362,safe
280144,safe
533361,safe
858080,safe
761379,safe
219942,safe
1019438,safe
850420,safe
697536,safe
164577,safe
607200,safe
236609,safe
1004186,safe
488298,safe
891353,safe
587998,safe
156689,safe
903455,safe
114387,safe
221982,safe
913952,safe
625125,safe
330751,safe
394562,safe
865575,safe
634372,safe
454438,safe
880558,safe
939035,safe
59299,safe
759582,safe
340165,safe
405098,safe
598851,safe
492483,safe
77219,safe
507687,safe
522765,safe
670646,safe
451632,safe
971877,safe
7632,safe
690179,safe
888416,safe
333711,safe
191484,safe
862617,safe
411869,safe
780986,safe
908017,safe
784528,safe
675564,safe
303890,safe
231085,safe
78526,safe
89411,safe
763485,safe
701872,safe
116785,safe
654199,safe
647879,safe
101804,safe
6822,safe
24147,safe
1038150,safe
398756,safe
365440,safe
340148,safe
506087,safe
82828,safe
918828,safe
515700,safe
486481,safe
656138,safe
689930,safe
543003,safe
258017,safe
762319,safe
345127,safe
33615,safe
519944,safe
804736,safe
145960,safe
637909,safe
867800,safe
385036,safe
844547,safe
819521,safe
790897,safe
760197,safe
660371,safe
637359,safe
221482,safe
74256,safe
32787,safe
706749,safe
1007278,safe
865377,safe
104196,safe
397838,safe
272331,safe
221729,safe
523860,safe
270947,safe
935774,safe
1013834,safe
936777,safe
404766,safe
305328,safe
352772,safe
330601,safe
719218,safe
844799,safe
53477,safe
1030433,safe
11268,safe
1045341,safe
176480,safe
777472,safe
354559,safe
1000523,safe
857727,safe
1037909,safe
238593,safe
141002,safe
378613,safe
17478,safe
185971,safe
396945,safe
910915,safe
966285,safe
1038658,safe
708053,safe
1025266,safe
548086,safe
609775,safe
753774,safe
339064,safe
1045624,safe
94851,safe
136786,safe
205441,safe
522010,safe
528894,safe
657941,safe
634614,safe
32058,safe
76602,safe
934216,safe
659936,safe
158870,safe
635205,safe
451645,safe
592453,safe
732100,safe
218595,safe
659132,safe
748998,safe
546462,safe
787536,safe
500207,safe
816014,safe
153228,safe
223903,safe
700220,safe
152700,safe
525819,safe
919903,safe
552372,safe
265485,safe
655810,safe
459766,safe
116018,safe
159604,safe
895226,safe
718952,safe
53440,safe
526008,safe
936917,safe
661518,safe
1005892,safe
618796,safe
1001866,safe
179499,unhealthy for sensitive groups
770146,safe
952829,safe
380995,safe
471109,safe
83688,unhealthy for sensitive groups
332123,safe
925245,safe
967120,safe
546420,safe
326474,safe
575451,safe
161179,safe
219185,safe
745663,safe
989522,safe
665337,safe
381821,safe
688631,safe
848797,safe
501126,safe
697151,safe
28512,safe
48939,safe
760309,safe
287813,safe
979374,safe
832238,safe
642063,safe
231961,safe
38873,safe
460665,safe
217972,safe
763138,safe
179331,safe
697740,safe
20466,safe
220635,safe
319442,safe
3519,safe
426394,safe
764818,safe
651339,safe
960696,safe
324535,safe
72219,safe
559406,safe
417858,safe
720399,safe
704632,safe
917647,safe
15327,safe
623735,safe
169941,safe
368919,safe
1015305,safe
402293,safe
946670,safe
585443,safe
367245,safe
741965,safe
389271,safe
181336,safe
586409,safe
762609,safe
130122,safe
96242,safe
695630,safe
963020,safe
934331,safe
963711,safe
854325,safe
504526,safe
111974,safe
383805,safe
524833,safe
574810,safe
789263,safe
628826,safe
234111,safe
230401,safe
550664,safe
87707,safe
837924,safe
369469,safe
941344,safe
175134,safe
727917,safe
106158,safe
994749,safe
857891,safe
618469,safe
885609,safe
889950,safe
172306,safe
221130,safe
450637,safe
957752,safe
380223,safe
1028333,safe
720736,safe
668245,safe
31113,safe
520294,safe
788973,safe
151801,safe
583579,safe
147460,safe
1007307,safe
825607,safe
497687,safe
14454,safe
359433,safe
165919,safe
977042,safe
746163,safe
322126,safe
3339,safe
732347,safe
869472,safe
454106,safe
41605,safe
356032,safe
938641,safe
540352,safe
421706,safe
960476,safe
593276,safe
996362,safe
71970,safe
175323,safe
107557,safe
351558,safe
975924,safe
320431,safe
100122,safe
915588,safe
277366,safe
991734,safe
721326,safe
598683,safe
474789,safe
1023173,safe
566315,safe
312981,safe
443617,safe
233259,safe
422914,safe
635919,safe
195484,safe
554445,safe
42919,safe
556705,safe
1045527,safe
35046,safe
563070,safe
890660,safe
388640,safe
628868,safe
204465,safe
861391,safe
320583,safe
695177,safe
827942,safe
500567,safe
528247,safe
700424,safe
434143,safe
150348,safe
1008136,safe
69423,safe
480187,safe
411598,safe
374729,safe
218566,safe
993530,safe
874915,safe
592281,safe
269798,safe
696798,safe
226043,safe
1003390,safe
58103,safe
725495,safe
27801,safe
359895,safe
99732,safe
115595,safe
811557,safe
322755,safe
300052,safe
46290,safe
425218,safe
572442,safe
849612,safe
747843,safe
525422,safe
748171,safe
93442,safe
484025,safe
814556,safe
1045748,safe
965392,safe
1041419,safe
169634,safe
642912,safe
967874,safe
599257,safe
695446,safe
1018320,safe
566212,safe
846590,safe
319618,safe
168930,safe
36396,safe
958087,safe
460113,safe
649323,safe
476023,safe
486804,safe
898314,safe
17388,safe
517548,safe
1045280,safe
504613,safe
30591,safe
1046743,safe
302680,safe
569867,safe
140856,safe
721224,safe
5130,safe
76007,safe
423975,safe
928944,safe
76887,safe
902645,safe
51368,safe
1045179,safe
767319,safe
725318,safe
731281,safe
668697,safe
473051,safe
301527,safe
663637,safe
83322,safe
764147,safe
920839,safe
31248,safe
889450,safe
45133,safe
841307,safe
475793,safe
978325,safe
127179,safe
855522,safe
888349,safe
863726,safe
291990,safe
573199,safe
400544,safe
702352,safe
430969,safe
870320,safe
51278,safe
406180,safe
162935,safe
261568,safe
541272,safe
521253,safe
390246,safe
426390,safe
371822,safe
1012849,safe
830735,safe
726297,safe
681355,safe
57468,safe
585716,safe
902028,safe
414771,safe
919777,safe
859655,safe
922162,safe
559573,safe
425039,safe
806475,safe
409845,safe
934369,safe
365725,safe
646798,safe
361434,safe
20340,safe
658600,safe
177362,safe
479851,safe
238630,safe
95293,safe
765508,safe
34740,safe
760047,safe
741629,safe
999731,unhealthy for sensitive groups
428324,safe
241407,safe
1038294,safe
841874,safe
9387,safe
756109,safe
456349,safe
71671,safe
733930,safe
1006081,safe
172737,safe
968247,safe
1045509,safe
501182,safe
350145,safe
762737,safe
80058,safe
123342,safe
308086,safe
759881,safe
772002,safe
6300,safe
113177,safe
363015,safe
552661,safe
24003,safe
920713,safe
359542,safe
467448,safe
313832,safe
942627,safe
919874,safe
200307,safe
824564,safe
8892,safe
311069,safe
513813,safe
799666,safe
438709,safe
450928,safe
543485,safe
657105,safe
580296,safe
263786,safe
936210,safe
411153,safe
638496,safe
410495,safe
657374,safe
1045660,safe
302484,safe
211491,safe
987973,safe
729296,safe
420263,safe
859999,safe
847404,safe
11907,safe
4932,safe
868363,safe
571918,safe
145918,safe
728065,safe
243766,safe
569140,safe
410001,safe
588252,safe
956446,safe
699835,safe
714490,safe
626718,safe
595619,safe
144956,safe
90334,safe
695397,safe
265304,safe
20493,safe
480653,safe
762949,safe
258971,safe
302852,safe
789128,safe
674291,safe
26190,safe
10737,safe
890505,safe
962622,safe
412541,safe
331690,safe
362158,safe
847429,safe
906543,safe
303769,safe
79651,safe
981090,safe
111391,safe
788040,safe
624694,safe
667352,safe
1013418,safe
653724,safe
547518,safe
403811,safe
319045,safe
309487,safe
671765,safe
592366,safe
662342,safe
912171,safe
586749,safe
988861,safe
412046,safe
252464,safe
761740,safe
805458,safe
335277,safe
496903,safe
994940,safe
761417,safe
678145,safe
144408,safe
705443,safe
797716,safe
875032,safe
308153,safe
242356,safe
267356,safe
409177,safe
485366,safe
249785,safe
309869,safe
879975,safe
836504,safe
152896,safe
85667,safe
244573,safe
300283,safe
568367,safe
423167,safe
966692,safe
95765,safe
288098,safe
986771,safe
393432,safe
33552,safe
515527,safe
55721,safe
815438,safe
714876,safe
323107,safe
1016403,safe
264964,safe
1000197,safe
319032,safe
8919,safe
14922,safe
451999,safe
943961,safe
748976,safe
630101,safe
522899,safe
454792,safe
10782,safe
182892,safe
15696,safe
803417,safe
114937,safe
936109,safe
152880,safe
793989,safe
990214,safe
301976,safe
919071,safe
883612,safe
508508,safe
264822,safe
253993,safe
263610,safe
604283,safe
726314,safe
524078,safe
419439,safe
290080,safe
452483,safe
924338,safe
450252,safe
859180,safe
373638,safe
307228,safe
768192,safe
61280,safe
259666,safe
761899,safe
498609,safe
29160,safe
689622,safe
370278,safe
645422,safe
476292,safe
550341,safe
909025,safe
555847,safe
198649,safe
502591,safe
710004,safe
92480,safe
548603,safe
886143,safe
278821,safe
729426,safe
89130,safe
159157,safe
11799,safe
706807,safe
684752,safe
715494,safe
181864,safe
187246,safe
953108,safe
210741,safe
888971,safe
994323,safe
31329,safe
317959,safe
753372,safe
898600,safe
