,aqi_no2
52048,safe
760235,safe
279645,safe
799064,safe
51983,safe
128015,safe
286694,safe
198623,safe
638258,safe
109644,safe
255877,safe
89919,safe
512415,safe
566931,safe
61641,safe
218148,safe
1009724,safe
852939,safe
216554,safe
485656,safe
441510,safe
897882,safe
967840,safe
58152,safe
191956,safe
744500,safe
580572,safe
255386,safe
704984,safe
762817,safe
1044516,safe
448142,safe
958973,safe
774863,safe
200826,safe
565430,safe
580499,safe
884808,safe
415982,safe
720620,safe
281581,safe
896297,safe
55397,unhealthy for sensitive groups
321543,safe
512855,safe
916382,safe
560075,safe
344799,safe
818198,safe
805496,safe
977749,safe
43939,safe
276360,safe
652502,safe
534037,safe
373756,safe
751849,safe
603455,safe
201024,safe
514043,safe
342487,safe
188921,safe
121397,safe
21591,safe
497116,safe
663570,safe
525005,safe
449613,safe
790490,safe
465318,safe
681747,safe
670041,safe
665887,safe
474634,safe
10080,safe
9234,safe
180964,safe
72491,safe
300232,safe
926310,safe
696340,safe
7371,safe
257125,safe
244402,safe
749784,safe
33381,safe
627816,safe
175113,safe
746537,safe
320834,safe
499637,safe
306302,safe
815825,safe
592814,safe
562897,safe
894873,safe
597917,safe
792690,safe
82132,safe
908139,safe
406335,safe
397847,safe
373772,safe
824573,safe
157345,safe
1034258,safe
17532,safe
272034,safe
186017,safe
556466,safe
957799,safe
17370,safe
806340,safe
492147,safe
473163,safe
547649,safe
137208,safe
603553,safe
972050,safe
932020,safe
165164,safe
12915,safe
126,safe
950936,safe
776678,safe
894146,safe
343559,safe
820445,safe
185304,safe
75103,safe
14850,safe
361106,safe
571554,safe
125468,safe
539689,safe
993346,safe
159558,safe
246199,safe
760397,safe
610065,safe
108893,safe
689471,safe
6093,safe
627521,safe
380480,safe
426584,safe
948976,safe
84930,safe
161389,safe
684526,safe
635476,safe
790931,safe
213987,safe
889131,safe
354734,safe
889610,safe
542269,safe
598430,safe
559105,safe
1005552,safe
415792,safe
668160,safe
494379,safe
796897,safe
158526,safe
1019832,safe
674845,safe
932074,safe
908269,safe
580748,safe
843285,safe
114735,safe
241141,unhealthy for sensitive groups
733071,safe
587845,safe
71360,safe
79878,safe
280873,safe
438527,safe
388179,safe
512330,safe
861357,safe
1046781,safe
290014,safe
856593,safe
117698,safe
783947,safe
143306,safe
761960,safe
82145,safe
64555,safe
384648,safe
853724,safe
978343,safe
62341,safe
1044642,safe
201522,safe
1034402,safe
551826,safe
597724,safe
954495,safe
909689,safe
942017,safe
273200,safe
858638,safe
408405,safe
492979,safe
754467,safe
118492,safe
626866,safe
277245,safe
350677,safe
163798,safe
21537,safe
220795,safe
25398,safe
360423,safe
239716,safe
1007698,safe
784915,safe
664350,safe
211667,safe
879937,safe
674782,safe
209598,safe
495775,safe
36711,safe
117145,safe
1042193,safe
521790,safe
853733,safe
246320,safe
862340,safe
102961,unhealthy for sensitive groups
978084,safe
491597,safe
1035292,safe
590638,safe
204356,safe
279255,safe
851459,safe
38309,safe
698072,safe
752700,safe
337398,safe
290247,safe
651733,safe
243058,safe
460454,safe
944224,safe
638254,safe
368915,safe
393944,safe
655398,safe
962494,safe
474798,safe
19062,safe
229568,safe
81013,safe
247212,safe
344469,safe
652654,safe
4158,safe
659076,safe
647773,safe
764492,safe
160106,safe
764015,safe
740257,safe
101774,safe
630016,safe
669831,safe
837386,safe
482483,safe
14688,safe
506002,safe
832819,safe
1026422,safe
90950,safe
185522,safe
130347,safe
154364,safe
721704,safe
687540,safe
384332,safe
568769,safe
547922,safe
397825,safe
406645,safe
339313,safe
588182,safe
656727,safe
1002035,safe
14553,safe
441489,safe
892672,safe
1005174,safe
304791,safe
764013,safe
379506,safe
7335,safe
408965,safe
1010581,safe
198293,safe
946458,safe
357477,safe
54787,safe
1046354,safe
993926,safe
261135,safe
723670,safe
36822,safe
794086,safe
34668,safe
806378,safe
341221,safe
363509,safe
521891,safe
1026795,safe
851720,safe
321059,safe
208049,safe
811645,safe
835269,safe
326099,safe
651671,safe
695005,safe
96590,safe
242835,safe
1003547,safe
126912,safe
128426,safe
450283,safe
926402,safe
958418,safe
647760,safe
911789,safe
1032674,safe
786213,safe
574935,safe
126224,safe
362701,safe
376084,safe
990163,safe
57992,safe
189373,safe
13914,safe
257481,safe
236262,safe
955857,safe
37723,safe
322612,safe
621262,safe
373029,safe
869274,safe
278578,safe
634712,safe
990545,safe
759743,safe
456232,safe
491471,safe
753148,safe
754933,safe
31518,safe
761400,safe
858924,safe
585918,safe
429307,safe
844862,safe
178602,safe
760564,safe
845771,safe
897066,safe
779742,safe
759845,safe
584254,safe
456626,safe
53863,safe
630281,safe
763609,safe
749750,safe
26181,safe
1004085,safe
760416,safe
852057,safe
761968,safe
934691,safe
1001252,safe
96305,safe
762281,safe
732834,safe
551490,safe
639316,safe
906820,safe
316586,safe
711835,safe
405027,safe
897356,safe
5571,safe
214708,safe
945988,safe
20439,safe
763291,safe
793418,safe
243724,safe
82467,safe
832557,safe
660207,safe
993245,safe
1015431,safe
887765,safe
304297,safe
422228,safe
103157,safe
762302,safe
274378,safe
169035,safe
759501,safe
780801,safe
297045,safe
457302,safe
764055,safe
299876,safe
361295,safe
265783,safe
940225,safe
878954,safe
942386,safe
318542,safe
350699,safe
11997,safe
747482,safe
321921,safe
4959,safe
673471,safe
484021,safe
596571,safe
124377,safe
5697,safe
162055,safe
256803,safe
407173,safe
774106,safe
80196,safe
691291,safe
185119,safe
559778,safe
215892,safe
363823,safe
891513,safe
981713,safe
664547,safe
387569,safe
351567,safe
259937,safe
351955,safe
979696,safe
641572,safe
116169,safe
194981,safe
742469,safe
910688,safe
717324,safe
520666,safe
916815,safe
20853,safe
738428,safe
320603,safe
897617,safe
652717,safe
369766,safe
461809,safe
324552,safe
988317,safe
572745,safe
93455,safe
475835,safe
598589,safe
67348,safe
552011,safe
21960,safe
350477,safe
386341,safe
1001722,safe
1040708,safe
742252,safe
48209,safe
786305,safe
648185,safe
138773,safe
60104,safe
731736,safe
341455,safe
960192,safe
18819,safe
35613,safe
755260,safe
115465,safe
207358,unhealthy for sensitive groups
656387,safe
438617,safe
658273,safe
621,safe
315738,safe
768914,safe
214167,safe
457015,safe
3213,safe
511783,safe
857542,safe
406301,safe
749296,safe
326494,safe
667529,safe
121129,safe
935519,safe
882330,safe
843692,safe
947788,safe
834790,safe
200753,safe
848205,safe
419540,safe
88686,safe
244256,safe
84337,safe
41621,safe
960044,safe
657559,safe
734438,safe
724548,safe
689630,safe
561730,safe
1043577,safe
259036,safe
307571,safe
654619,safe
674618,safe
647260,safe
1025635,safe
571639,safe
202641,safe
146584,safe
655352,safe
104075,safe
903367,safe
948308,safe
77236,safe
396975,safe
503427,safe
442564,safe
164875,safe
502022,safe
241531,safe
393592,safe
818034,safe
188967,safe
26748,safe
328681,safe
694389,safe
1041788,safe
979624,safe
846274,safe
681460,safe
188424,safe
639792,safe
678191,safe
207710,safe
710557,safe
614222,safe
776426,safe
77408,safe
310658,safe
657993,safe
411271,safe
874755,safe
595386,safe
792040,safe
494294,safe
233658,safe
111854,safe
507586,safe
269642,safe
341560,safe
537611,safe
470578,safe
1046990,safe
203512,safe
645099,safe
625240,safe
741797,safe
12456,safe
651397,safe
823909,safe
300807,safe
270435,safe
260419,safe
434696,safe
439407,safe
396316,safe
633159,safe
794885,safe
36333,safe
289717,safe
566221,safe
959938,safe
694606,safe
324196,safe
48893,safe
24579,safe
253220,safe
868237,safe
987944,safe
338420,safe
763856,safe
866108,safe
138945,safe
869526,safe
332843,safe
8964,safe
476301,safe
907601,safe
761329,unhealthy for sensitive groups
60928,safe
661498,safe
981958,safe
160471,safe
595924,safe
1043932,safe
292487,safe
429854,safe
261637,safe
198914,safe
548524,safe
810826,safe
234942,safe
966357,safe
324163,safe
335444,safe
1045164,safe
457909,safe
317980,safe
752812,safe
603782,safe
773224,safe
34182,safe
335959,safe
89630,safe
24237,safe
1001286,safe
64254,safe
112297,safe
535739,safe
764778,safe
103195,safe
417782,safe
796960,safe
721428,safe
755867,safe
447154,safe
244753,safe
449958,safe
824472,safe
427577,safe
867607,safe
381369,safe
191304,safe
855589,safe
529573,safe
794203,safe
464492,safe
806882,safe
831180,safe
288974,safe
322227,safe
15570,safe
1044760,safe
640879,safe
1004947,safe
78771,safe
839107,safe
819651,safe
30645,safe
823603,safe
167988,safe
295950,safe
297816,safe
255424,safe
349773,safe
583055,safe
472612,safe
192399,safe
216145,safe
246607,safe
1016407,safe
564220,safe
172938,safe
771939,safe
463912,safe
87830,safe
870987,safe
22842,safe
910155,safe
78474,safe
353061,safe
130418,safe
847915,safe
321556,safe
986183,safe
220069,safe
969649,safe
349278,safe
52159,safe
291648,safe
759705,safe
496325,safe
804072,safe
490151,safe
264432,safe
634134,safe
581778,safe
127589,safe
536858,safe
888324,safe
986574,safe
788674,safe
752053,safe
762426,safe
668077,safe
829033,safe
827081,safe
621241,safe
762151,safe
31149,safe
690094,unhealthy for sensitive groups
67558,safe
502445,safe
786469,safe
351612,safe
467043,safe
1027503,safe
309110,safe
19269,safe
444878,safe
154315,safe
422190,safe
584581,safe
733491,safe
375013,safe
755999,safe
862466,safe
317963,safe
928737,safe
1042571,safe
30051,safe
759994,safe
508016,safe
89424,safe
748011,safe
542100,safe
401384,safe
246128,safe
442745,safe
492114,safe
40008,safe
730380,safe
175671,safe
99539,safe
977821,safe
807701,safe
325646,safe
140533,safe
931354,safe
242672,safe
236455,safe
656382,safe
665009,safe
85046,safe
801703,safe
596784,safe
828,safe
1041356,safe
603454,safe
344280,safe
210233,safe
628049,safe
461640,safe
1039806,safe
131801,safe
501146,safe
502264,safe
474659,safe
119267,safe
751959,safe
975852,safe
627787,safe
448974,safe
701658,safe
338077,safe
448180,safe
734861,safe
906131,safe
244757,safe
398505,safe
573898,safe
999353,safe
37262,safe
1000613,safe
1010754,safe
530765,safe
698912,safe
255300,safe
456354,safe
530867,safe
800036,safe
583596,safe
470638,safe
362301,safe
955178,safe
555127,safe
461156,safe
17694,safe
785885,safe
485869,safe
147785,safe
196851,safe
336726,safe
578079,safe
987313,safe
968272,safe
557510,safe
4689,safe
985632,safe
762189,safe
588735,safe
637412,safe
29187,safe
695782,safe
808012,safe
13770,safe
399984,safe
540184,safe
274871,safe
217738,safe
663772,safe
326690,safe
251412,safe
310158,safe
242051,safe
355751,safe
578267,safe
36540,safe
764473,safe
1005077,safe
950729,safe
1045889,safe
41696,safe
20286,safe
276347,safe
432917,safe
69595,safe
229245,safe
250845,safe
2196,safe
429239,safe
969145,safe
224370,safe
594546,safe
914582,safe
1027189,safe
825859,safe
996858,safe
551998,safe
128090,safe
763488,safe
288283,safe
3096,safe
925986,safe
213082,safe
1021348,safe
745869,safe
469871,safe
65255,safe
103043,safe
935481,safe
563087,safe
607835,safe
469926,safe
939717,safe
698314,safe
918765,safe
25083,safe
709520,safe
433007,safe
802493,safe
332942,safe
916903,safe
454443,safe
505776,safe
1018421,safe
723334,safe
786276,safe
613873,safe
406158,safe
909050,safe
643501,safe
4662,safe
336311,safe
618797,safe
167676,unhealthy
324867,safe
844887,safe
824598,safe
150942,safe
346385,safe
261864,safe
820479,safe
153001,safe
841496,safe
192927,safe
153546,safe
913700,safe
741113,safe
960264,safe
10584,safe
443794,safe
769982,safe
675593,safe
945853,safe
676245,safe
23679,safe
683846,safe
424384,safe
870324,safe
544440,safe
5283,safe
761335,safe
385789,safe
923888,safe
224846,safe
150691,safe
1045200,safe
922540,safe
385835,safe
254576,safe
955933,safe
390220,safe
438886,safe
459977,safe
17739,safe
69625,safe
157537,safe
571750,safe
108768,safe
40184,safe
546798,safe
648055,safe
368080,safe
985031,safe
1003831,safe
1033304,safe
33822,safe
555868,safe
763186,safe
860906,safe
33795,safe
711990,safe
935240,safe
1845,safe
38293,safe
644764,safe
498655,safe
773665,safe
387704,safe
844639,safe
299771,safe
