"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/11/2014","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/17/2014","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/23/2014","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/29/2014","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/04/2014","AQS","482011034","1","0.001","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/10/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/16/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/04/2014","AQS","482011034","1","0.001","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/10/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/16/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/22/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/28/2014","AQS","482011034","1","0.001","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/04/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/10/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/16/2014","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/22/2014","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/28/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/03/2014","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/09/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/15/2014","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/21/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/27/2014","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/02/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/08/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/14/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/20/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/26/2014","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/02/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/08/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/14/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/20/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/26/2014","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"11/01/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"11/07/2014","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
