"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/13/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/19/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/25/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"01/31/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/06/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/12/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"02/24/2009","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"03/02/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"03/08/2009","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"03/14/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"03/20/2009","AQS","482011034","1","0.009","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"03/26/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"04/01/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"04/07/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"04/13/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"04/19/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"04/25/2009","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/01/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/07/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/13/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/19/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/25/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"05/31/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/06/2009","AQS","482011034","1","0.008","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/12/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"06/30/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/06/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/12/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/18/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/24/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"07/30/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/05/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/11/2009","AQS","482011034","1","0.006","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/17/2009","AQS","482011034","1","0.005","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/23/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"08/29/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/16/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/22/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"09/28/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/04/2009","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/10/2009","AQS","482011034","1","0.004","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/16/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/22/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"10/28/2009","AQS","482011034","1","0.002","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"11/03/2009","AQS","482011034","1","0.01","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"11/09/2009","AQS","482011034","1","0.007","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
"11/15/2009","AQS","482011034","1","0.003","ug/m3 LC",".","Houston East","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.767997","-95.220582"
