Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: TAMIS User, Run Date: 09/11/2020 15:16:16

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Pm2.5 - Local Conditions (ug/m3 (LC)) <88101>
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	26	20080126	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	27	20080127	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	26.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	29	20080129	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.4
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	01	29	20080129	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	8.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	30	20080130	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	9
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	01	30	20080130	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	5.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	31	20080131	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	31	20080131	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	12.6
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	01	31	20080131	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	7.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	01	20080201	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	02	20080202	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	03	20080203	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	04	20080204	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	05	20080205	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	15.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	06	20080206	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	7.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	06	20080206	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	8
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	02	06	20080206	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	5.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	07	20080207	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	08	20080208	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	09	20080209	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	10	20080210	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	18.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	11	20080211	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	12	20080212	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	7.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	12	20080212	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	8.5
