"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-11","3.13",",,W"," 1031",",,X"," 1049",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"66",",,0","38",",,0","  120",",,X","   90",",,X","0.0",",,0","12.1",",,X","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-12","7.61",",,W"," 2137",",,X"," 2136",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"73",",,0","39",",,0","  330",",,X","  330",",,X","0.0",",,0","23.0",",,X","29.1",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-13","8.28",",,W"," 1546",",,X"," 1536",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"65",",,0","44",",,0","   20",",,X","   30",",,X","0.0",",,0","17.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-14","2.91",",,W"," 1208",",,X"," 1213",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"65",",,0","36",",,0","   80",",,X","   90",",,X","0.0",",,0","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-15","3.36",",,W"," 2258",",,X"," 2259",",,W","0.45",",,0,2400","0.0",",,0","0.0",",,0",,,"60",",,0","45",",,0","   50",",,X","   60",",,X","0.0",",,0","12.1",",,X","14.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-16","5.37",",,W"," 0800",",,X"," 0758",",,W","0.84",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","46",",,0","   90",",,X","   80",",,X","0.0",",,0","19.9",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-17","8.50",",,W"," 0713",",,X"," 0712",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","44",",,0","  330",",,X","  330",",,X","0.0",",,0","17.0",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-18","12.75",",,W"," 1629",",,X"," 1628",",,W","0.76",",,0,2400","0.0",",,0","0.0",",,0",,,"45",",,0","40",",,0","   10",",,X","   10",",,X","0.0",",,0","23.0",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-19","12.08",",,W"," 1030",",,X"," 0705",",,W","0.97",",,0,2400","0.0",",,0","0.0",",,0",,,"53",",,0","36",",,0","  360",",,X","   10",",,X","0.0",",,0","21.0",",,X","28.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-20","9.84",",,W"," 1655",",,X"," 1437",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"51",",,0","29",",,0","  130",",,X","  140",",,X","0.0",",,0","19.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-21","12.97",",,W"," 1440",",,X"," 2026",",,W","0.02",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","42",",,0","  110",",,X","  130",",,X","0.0",",,0","19.9",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-22","7.61",",,W"," 2219",",,X"," 2219",",,W","0.10",",,0,2400","0.0",",,0","0.0",",,0",,,"71",",,0","49",",,0","   20",",,X","   30",",,X","0.0",",,0","17.9",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-23","8.28",",,W"," 0037",",,X"," 0036",",,W","0.53",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","43",",,0","   10",",,X","  360",",,X","0.0",",,0","17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-24","12.75",",,W"," 1035",",,X"," 1043",",,W","0.37",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","40",",,0","   30",",,X","   30",",,X","0.0",",,0","21.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-25","10.07",",,W"," 1029",",,X"," 1036",",,W","0.09",",,0,2400","0.0",",,0","0.0",",,0",,,"45",",,0","39",",,0","   50",",,X","   60",",,X","0.0",",,0","17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-26","3.80",",,W"," 1322",",,X"," 1313",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"64",",,0","40",",,0","  280",",,X","  300",",,X","0.0",",,0","8.9",",,X","12.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-27","4.92",",,W"," 1733",",,X"," 1945",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"62",",,0","40",",,0","  150",",,X","  120",",,X","0.0",",,0","13.0",",,X","14.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,
