"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-25","4.03"," 1544"," 0822","0.00","0.0","0.0","61","77","44","    0","  180","   90","0.0","13.0","17.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-26","6.26"," 1525"," 1522","0.00","0.0","0.0","60","77","42","    0","  170","  160","0.0","17.9","23.0","    1","    1",,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-27","8.05"," 1342"," 1341","0.00","0.0","0.0","68","77","58","    0","  150","  150","0.0","21.0","25.9",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-28","9.84"," 1204"," 1232","0.17","0.0","0.0","71","75","67",,"  140","  140","0.0","19.9","23.0","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-29","8.72"," 2247"," 2246","0.28","0.0","0.0","67","77","57",,"  300","  300","0.0","17.0","23.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-30","6.49"," 1309"," 1612","0.19","0.0","0.0","54","64","44",,"  290","  280","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-31","3.36"," 0959"," 1017","0.00","0.0","0.0","51","63","39",,"  330","  330","0.0","13.0","16.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-01","4.47"," 1745"," 1816","0.00","0.0","0.0","57","71","42",,"  140","  140","0.0","15.0","16.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-02","4.70"," 1336"," 1131","0.00","0.0","0.0","60","70","49","    0","  330","  330","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-03","4.25"," 1447"," 1545","0.00","0.0","0.0","63","77","49","    0","  240","  240","0.0","10.1","14.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-04","7.16"," 1005"," 1005","0.00","0.0","0.0","68","77","58",,"   80","   70","0.0","17.9","23.9","    1","    1",,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-05","8.72"," 1215"," 1630","0.00","0.0","0.0","66","74","57",,"  130","  140","0.0","15.0","17.0","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-06","8.50"," 1505"," 1425","0.00","0.0","0.0","75","80","69","    0","  160","  170","0.0","17.9","23.0","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-07","6.04"," 1515"," 1514","0.00","0.0","0.0","70","77","63",,"  200","  210","0.0","14.1","17.9","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-08","6.49"," 1245"," 1244","0.00","0.0","0.0","74","79","68",,"  200","  210","0.0","14.1","17.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-09","7.61"," 1132"," 1156","0.00","0.0","0.0","76","83","69","    0","  230","  220","0.0","16.1","23.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-10","10.51"," 2136"," 1426","0.00","0.0","0.0","73","82","64","    0","  160","  170","0.0","21.0","28.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-11","12.30"," 2310"," 2212","0.10","0.0","0.0","66","82","49",,"  350","  340","0.0","23.0","32.0",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-12","9.17"," 0144"," 0143","0.00","0.0","0.0","47","59","35","    0","  360","  340","0.0","23.0","32.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-02-13","2.91"," 1504"," 0631","0.00","0.0","0.0","50","68","31",,"  340","  230","0.0","13.0","21.9",,,,,,,,,,,,,,,,,,
