"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/2015","AQS","482011039","1","0.003","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"01/12/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"01/18/2015","AQS","482011039","1","0.002","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"01/24/2015","AQS","482011039","1","0.002","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"01/30/2015","AQS","482011039","1","0.002","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"02/05/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"02/11/2015","AQS","482011039","1","0.003","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"02/17/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"02/23/2015","AQS","482011039","1","0","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/01/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/07/2015","AQS","482011039","1","0.002","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/13/2015","AQS","482011039","1","0.003","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/19/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/25/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"03/31/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"04/06/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"04/12/2015","AQS","482011039","1","0","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"04/18/2015","AQS","482011039","1","0.001","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
"04/30/2015","AQS","482011039","1","0.002","ug/m3 LC",".","Houston Deer Park #2","1","100.0000","14129","Lead (TSP) LC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.670025","-95.128508"
